#,Name,Description,Icon,FCRank
0,,,0,0
1,부대 금고,부대 금고를 이용하실 수 있습니다.,64301,1
2,문장 편집,문장을 편집하실 수 있습니다.,64302,2
3,문장 장식,방어구에 문장을 장식하실 수 있습니다.,64303,4
4,부대 혜택,부대 혜택을 이용하실 수 있습니다.,64304,5
5,부대 금고 확장,부대 금고의 보관함이 2개 늘어납니다.,64305,3
6,문장 확장,이용 가능한 무늬가 늘어납니다.,64306,7
7,부대 혜택 확장,부대 혜택의 발동 수와 예약 수가 늘어납니다.,64307,8
8,토지 소유권,모험가 거주구의 토지를 구입하실 수 있습니다.,64308,6
9,부대 금고 확장,부대 금고 보관함이 1개 늘어납니다.,64305,9
10,부대 혜택 확장,부대 혜택의 예약 수가 늘어납니다.,64307,10
11,부대 금고 확장,부대 금고 보관함이 1개 늘어납니다.,64305,11
12,부대 혜택 확장,부대 혜택의 예약 수가 늘어납니다.,64307,12
13,부대 혜택 확장,부대 혜택의 예약 수가 늘어납니다.,64307,13
