key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"",0,0,1,0,0
1,"광맥",0,"",0,0,1,0,0
2,"바위터",0,"",0,0,1,0,0
3,"성목",0,"",0,0,1,0,0
4,"약초밭",0,"",0,0,1,0,0
5,"미지의 광맥",0,"",0,0,1,0,0
6,"미지의 바위터",0,"",0,0,1,0,0
7,"미지의 성목",0,"",0,0,1,0,0
8,"미지의 약초밭",0,"",0,0,1,0,0
9,"시간제 광맥",0,"",0,0,1,0,0
10,"시간제 바위터",0,"",0,0,1,0,0
11,"시간제 성목",0,"",0,0,1,0,0
12,"시간제 약초밭",0,"",0,0,1,0,0
13,"전설의 광맥",0,"",0,0,1,0,0
14,"전설의 바위터",0,"",0,0,1,0,0
15,"전설의 성목",0,"",0,0,1,0,0
16,"전설의 약초밭",0,"",0,0,1,0,0
17,"숨겨진 광맥",0,"",0,0,1,0,0
18,"숨겨진 바위터",0,"",0,0,1,0,0
19,"숨겨진 성목",0,"",0,0,1,0,0
20,"숨겨진 약초밭",0,"",0,0,1,0,0
21,"어장",0,"",0,0,1,0,0
22,"숨은 물고기",0,"",0,0,1,0,0
23,"환상의 광맥",0,"",0,0,1,0,0
24,"환상의 바위터",0,"",0,0,1,0,0
25,"환상의 성목",0,"",0,0,1,0,0
26,"환상의 약초밭",0,"",0,0,1,0,0
