#,Name,Question,PopRange,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,TerritoryType,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene
131072,,,0,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,148,2,2,0,0,False
131074,,'신궁부대 사령실'로 들어가시겠습니까?,3884000,590352,590353,0,204,3,1,0,0,False
131075,,'신궁부대 사령실'에서 나가시겠습니까?,3884182,0,0,0,132,1,1,0,0,False
131076,,'말없는 선인의 좌탁'에서 나가시겠습니까?,3878860,0,0,0,133,1,1,0,0,False
131077,'꽃꿀 나루'로 이동,'꽃꿀 나루'로 이동하시겠습니까?,1381039,590354,590355,0,152,4,1,0,0,False
131078,,'그리다니아 구시가지'로 이동하시겠습니까?,1381038,590356,590259,0,133,4,1,0,0,False
131079,,,4124796,0,0,0,177,5,3,0,0,False
131080,,,1359058,0,0,0,179,5,4,0,0,False
131081,,,4124801,0,0,0,178,5,5,0,0,False
131082,,나가시겠습니까?,4125264,0,0,0,128,1,1,0,0,False
131083,,나가시겠습니까?,2232680,0,0,0,132,1,1,0,0,False
131084,,나가시겠습니까?,4125288,0,0,0,130,1,1,0,0,False
131085,,'은갑옷단 총장실'에서 나가시겠습니까?,4107979,0,0,0,131,1,1,0,0,False
131086,,"'초승달 만'으로 이동하시겠습니까?
이용 요금: 40길",4143657,590441,590620,590448,140,6,1,0,0,False
131087,,"'은 장터'로 이동하시겠습니까?
이용 요금: 40길",4143677,590442,590621,590449,140,6,1,0,0,False
131088,,'모래의 집'으로 들어가시겠습니까?,4107477,0,590450,0,212,7,1,0,0,False
131089,,'모래의 집'에서 나가시겠습니까?,4132388,0,0,0,140,1,1,0,0,False
131090,,'새벽의 방'으로 들어가시겠습니까?,4148347,0,590564,0,212,21,1,0,0,False
131091,,'새벽의 방'에서 나가시겠습니까?,4148350,0,0,0,212,1,1,0,0,False
131092,'4층: 림사 로민사 비공정 승강장'으로 이동,'4층: 림사 로민사 비공정 승강장'으로 이동하시겠습니까?,4158063,0,0,0,128,1,1,0,0,False
131093,'2층: 모험가 길드 '물에 빠진 돌고래 주점''으로 이동,'2층: 모험가 길드 '물에 빠진 돌고래 주점''으로 이동하시겠습니까?,4158069,0,0,0,128,1,1,0,0,False
131094,'1층: 방파벽 회관'으로 이동,'1층: 방파벽 회관'으로 이동하시겠습니까?,4161445,0,0,0,129,1,1,0,0,False
131095,'4층: 울다하 비공정 승강장'으로 이동,'4층: 울다하 비공정 승강장'으로 이동하시겠습니까?,4164411,0,0,0,130,1,1,0,0,False
131096,'2층: 관청 구역'으로 이동,'2층: 관청 구역'으로 이동하시겠습니까?,4164414,0,0,0,131,1,1,0,0,False
131097,'1층: 루비길 국제시장'으로 이동,'1층: 루비길 국제시장'으로 이동하시겠습니까?,4164413,0,0,0,130,1,1,0,0,False
131098,,'은갑옷단 총장실'에 들어가시겠습니까?,4087066,590451,590452,0,210,8,1,0,0,False
131099,,해당 지역으로 이동하시겠습니까?,4165046,590611,0,0,146,1,1,0,0,False
131100,,물가에서 탈출하시겠습니까?,4165037,590610,0,0,145,1,1,0,0,False
131101,'그리다니아'로 이동,"'그리다니아'로 이동하시겠습니까?
이용 요금: 120길",4103382,0,590530,590453,132,9,1,227,232,True
131102,'림사 로민사'로 이동,"'림사 로민사'로 이동하시겠습니까?
이용 요금: 120길",4103399,0,590530,590453,128,9,1,227,230,True
131103,'울다하'로 이동,"'울다하'로 이동하시겠습니까?
이용 요금: 120길",4103339,0,589916,590454,130,9,1,231,228,True
131104,'림사 로민사'로 이동,"'림사 로민사'로 이동하시겠습니까?
이용 요금: 120길",4103399,0,589916,590454,128,9,1,231,230,True
131105,'울다하'로 이동,"'울다하'로 이동하시겠습니까?
이용 요금: 120길",4103339,0,590531,590455,130,9,1,229,228,True
131106,'그리다니아'로 이동,"'그리다니아'로 이동하시겠습니까?
이용 요금: 120길",4103382,0,590531,590455,132,9,1,229,232,True
131107,,"'림사 로민사'로 이동하시겠습니까?
이용 요금: 80길",4165398,0,591076,590456,129,10,1,235,234,True
131108,,"'저녁별 만'으로 이동하시겠습니까?
이용 요금: 80길",4165376,0,591077,590457,140,10,1,233,236,True
131109,'맥주 항구'로 이동,"'맥주 항구'로 이동하시겠습니까?
이용 요금: 40길",4165794,590514,590515,590622,138,11,1,0,0,False
131110,'림사 로민사'로 이동,"'림사 로민사'로 이동하시겠습니까?
이용 요금: 40길",4165749,590516,590517,590623,129,11,1,0,0,False
131111,'코스타 델 솔'로 이동,"'코스타 델 솔'로 이동하시겠습니까?
이용 요금: 40길",4165755,590518,590519,590624,137,12,1,0,0,False
131112,'림사 로민사'로 이동,"'림사 로민사'로 이동하시겠습니까?
이용 요금: 40길",4165749,590520,590521,590625,129,12,1,0,0,False
131113,'지지룬 교역상점'으로 이동,"'지지룬 교역상점'으로 이동하시겠습니까?
이용 요금: 40길",4165801,590510,0,590511,139,13,1,0,0,False
131114,'메메룬 교역상점'으로 이동,"'메메룬 교역상점'으로 이동하시겠습니까?
이용 요금: 40길",4165797,590512,0,590513,139,13,1,0,0,False
131115,'맥주 항구'로 이동,"'맥주 항구'로 이동하시겠습니까?
이용 요금: 40길",4165794,590522,590626,590628,138,14,1,0,0,False
131116,'촛불지기 부두'로 이동,"'촛불지기 부두'로 이동하시겠습니까?
이용 요금: 40길",4165877,590523,590627,590629,135,14,1,0,0,False
131117,'하얀 늑대 관문' 밖으로 이동,'하얀 늑대 관문'으로 나가시겠습니까?,1317627,590524,590525,0,148,15,1,0,0,False
131118,,'그리다니아'에 들어가시겠습니까?,1317561,590529,590526,0,132,15,1,0,0,False
131119,'빗물받이 숲'으로 이동,"'빗물받이 숲'으로 이동하시겠습니까?
이용 요금: 40길",4165759,590527,0,590630,137,16,1,0,0,False
131120,'숨겨진 폭포'로 이동,"'숨겨진 폭포'로 이동하시겠습니까?
이용 요금: 40길",4165758,590528,0,590631,137,16,1,0,0,False
131121,'말없는 선인의 좌탁'으로 이동,'말없는 선인의 좌탁'으로 이동하시겠습니까?,3877982,590535,590536,0,205,19,1,0,0,False
131122,'사령함교: 제독실'로 이동,'사령함교: 제독실'로 이동하시겠습니까?,4146949,590563,0,0,198,20,1,0,0,False
131123,,'사령함교: 제독실'에서 나가시겠습니까?,4169071,0,0,0,129,1,1,0,0,False
131124,,,4190590,0,0,0,134,2,2,0,0,False
131125,,,4189532,0,0,0,141,2,2,0,0,False
131126,,'미노타우로스 말름'으로 이동하시겠습니까?,4165939,590603,0,0,146,1,1,0,0,False
131127,,'날 사당'으로 이동하시겠습니까?,4165935,590604,0,0,146,1,1,0,0,False
131128,,'라운지'로 돌아가시겠습니까?,4103339,590607,0,0,130,1,1,0,0,False
131129,,'라운지'로 돌아가시겠습니까?,4103382,590608,0,0,132,1,1,0,0,False
131130,,'라운지'로 돌아가시겠습니까?,4103399,590609,0,0,128,1,1,0,0,False
131131,'늑대우리'로 이동,'늑대우리'로 이동하시겠습니까?,4264415,590632,0,0,250,1,1,0,0,False
131132,'모라비 조선소'로 이동,'모라비 조선소'로 이동하시겠습니까?,4264426,590633,0,0,135,1,1,0,0,False
131133,'맥주 항구'로 이동,'맥주 항구'로 이동하시겠습니까?,4165794,590634,0,0,138,1,1,0,0,False
131134,'환영 제도'로 이동,"'환영 제도'로 이동하시겠습니까?
이용 요금: 40길",4264587,590635,590636,590637,138,22,1,0,0,False
131135,'맥주 항구'로 이동,'맥주 항구'로 이동하시겠습니까?,4165794,0,0,0,138,1,1,0,0,False
131136,'바다뱀 소굴'로 이동,"'바다뱀 소굴'로 이동하시겠습니까?
이용 요금: 40길",4264605,590638,590639,590640,138,23,1,0,0,False
131137,,'비밀 공방'에서 나가시겠습니까?,4321669,0,0,0,156,1,1,0,0,False
131138,,'그리다니아'로 이동하시겠습니까?,4102803,590843,0,0,132,1,1,0,0,False
131139,,'대미궁 바하무트: 해후편'에서 퇴장하시겠습니까?,4332112,0,0,0,137,1,1,0,0,False
131140,,'대미궁 바하무트: 해후편'에서 퇴장하시겠습니까?,4332121,0,0,0,147,1,1,0,390,False
131141,,작동하시겠습니까?,4331241,0,0,0,247,1,1,389,0,False
131142,,'새벽의 방'으로 들어가시겠습니까?,4498658,0,0,0,351,1,1,0,0,False
131143,,'새벽의 방'에서 나가시겠습니까?,4498656,0,0,0,351,1,1,0,0,False
131144,,'돌의 집'으로 들어가시겠습니까?,4498659,0,0,0,351,1,1,0,0,False
131145,,'돌의 집'에서 나가시겠습니까?,4498857,0,0,0,156,1,1,0,0,False
131146,,'여덟 검사의 앞뜰'로 들어가시겠습니까?,4506602,0,0,0,156,1,1,0,0,False
131147,,'여덟 검사의 앞뜰'에서 나가시겠습니까?,4506605,0,0,0,156,1,1,0,0,False
131148,,'주택'으로 들어가시겠습니까?,0,0,0,0,0,1,6,0,0,False
131149,,'주택'에서 나가시겠습니까?,0,0,0,0,0,1,7,0,0,False
131150,,,4549235,591149,0,0,340,1,1,0,0,False
131151,,,4549391,591150,0,0,148,1,1,0,0,False
131152,,'제13땅굴단 연금공방'에서 나가시겠습니까?,4618997,0,0,0,180,1,1,0,0,False
131153,,'노부의 육성지'로 돌아가시겠습니까?,4629135,0,0,0,138,1,1,0,0,False
131154,,'노부의 육성지'로 돌아가시겠습니까?,4629135,0,0,0,138,1,1,0,0,False
131155,,'노부의 육성지'로 돌아가시겠습니까?,4629135,0,0,0,138,1,1,0,0,False
131156,,'노부의 육성지'로 돌아가시겠습니까?,4629135,0,0,0,138,1,1,0,0,False
131157,,'노부의 육성지'로 돌아가시겠습니까?,4629135,0,0,0,138,1,1,0,0,False
131158,'라벤더 안식처'로 이동,,4549235,591254,591260,0,340,24,1,0,0,False
131159,,,1381038,591255,591261,0,133,24,1,0,0,False
131160,'안갯빛 마을'로 이동,,4664433,591256,591262,0,339,25,1,0,0,False
131161,,,4165749,591257,591263,0,129,25,1,0,0,False
131162,,,4656744,591258,591264,0,341,26,1,0,0,False
131163,,,4660251,591259,591265,0,131,26,1,0,0,False
131164,,'에오르제아 지하공간'에서 퇴장하시겠습니까?,4678209,0,0,0,154,1,1,0,0,False
131165,,'라그나로크급 3번함 제1함교'에서 퇴장하시겠습니까?,4332121,0,0,0,147,1,1,0,0,False
131166,,'응접실'로 이동하시겠습니까?,5036036,591750,0,0,395,1,1,0,0,False
131167,,'응접실'에서 나가시겠습니까?,5036025,0,0,0,155,1,1,0,0,False
131168,,식장에서 나가시겠습니까?,5038695,0,0,0,152,1,1,0,0,False
131169,'대형 원양어선'으로 이동,'대형 원양어선'으로 이동하시겠습니까?,5049372,590097,0,0,137,1,1,0,0,False
131170,'코스타 델 솔'로 이동,'코스타 델 솔'로 이동하시겠습니까?,4165755,590098,0,0,137,1,1,0,0,False
131171,,'쌍검사 길드'에서 나가시겠습니까?,5341046,0,0,0,129,1,1,0,0,False
131172,'쌍검사 길드'로 들어가기,'쌍검사 길드'로 들어가시겠습니까?,5341051,591865,0,0,129,27,1,0,0,False
131173,,'선착장 창고'에서 나가시겠습니까?,5341521,0,0,0,137,1,1,0,0,False
131174,'선착장 창고'로 들어가기,'선착장 창고'로 이동하시겠습니까?,5341524,591889,591888,0,137,28,1,0,0,False
131175,,'에오르제아 지하공간'에서 나가시겠습니까?,5404445,0,0,0,147,1,1,0,0,False
131176,,예식장 '영원의 성당'으로 들어가시겠습니까?,5038252,0,0,0,392,1,8,0,0,False
131177,,'초코보 광장'으로 이동하시겠습니까?,5448900,591975,0,0,388,1,1,0,0,False
131178,,'입구 광장'으로 이동하시겠습니까?,5448873,591981,0,0,144,1,1,0,0,False
131179,'골드 소서'로 이동,"'골드 소서'로 이동하시겠습니까?
이용 요금: 무료",5649379,0,591990,0,144,29,1,0,0,False
131180,'골드 소서'로 이동,"'골드 소서'로 이동하시겠습니까?
이용 요금: 무료",5649379,0,591990,0,144,29,1,0,0,False
131181,'골드 소서'로 이동,"'골드 소서'로 이동하시겠습니까?
이용 요금: 무료",5649379,0,591990,0,144,29,1,0,0,False
131182,'림사 로민사'로 이동,"'림사 로민사'로 이동하시겠습니까?
이용 요금: 120길",4103399,0,0,592264,128,30,1,0,0,False
131183,'울다하'로 이동,"'울다하'로 이동하시겠습니까?
이용 요금: 무료",4103339,0,0,0,130,1,1,0,0,False
131184,'그리다니아'로 이동,"'그리다니아'로 이동하시겠습니까?
이용 요금: 120길",4103382,0,0,592264,132,30,1,0,0,False
131185,,'성도 이슈가르드'로 이동하시겠습니까?,5827477,592249,0,0,418,1,1,0,0,False
131186,,'대심판의 문'으로 이동하시겠습니까?,5835896,592250,0,0,155,1,1,0,0,False
131187,'나풀깃 투기장'으로 이동,'나풀깃 투기장'으로 들어가시겠습니까?,5822019,592251,0,0,439,1,1,0,0,False
131188,'구름마루 초소'로 이동,"'구름마루 초소'로 이동하시겠습니까?
이용 요금: 무료",5835987,0,0,0,401,1,1,0,0,False
131189,,'푸른하늘 창'으로 이동하시겠습니까?,5836049,592253,0,0,401,1,1,0,0,False
