#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,쌍사당 이병,,이병,,0,0,0,0,0,0
2,쌍사당 일병,,일병,,0,0,0,0,0,0
3,쌍사당 상병,,상병,,0,0,0,0,0,0
4,쌍사당 병장,,병장,,0,0,0,0,0,0
5,쌍사당 하사,,하사,,0,0,0,0,0,0
6,쌍사당 중사,,중사,,0,0,0,0,0,0
7,쌍사당 상사,,상사,,0,0,0,0,0,0
8,쌍사당 원사,,원사,,0,0,0,0,0,0
9,쌍사당 소위,,소위,,0,0,0,0,0,0
10,쌍사당 중위,,중위,,0,0,0,0,0,0
11,쌍사당 대위,,대위,,0,0,0,0,0,0
12,쌍사당 소령,,소령,,0,0,0,0,0,0
13,쌍사당 중령,,중령,,0,0,0,0,0,0
14,쌍사당 대령,,대령,,0,0,0,0,0,0
15,쌍사당 준장,,준장,,0,0,0,0,0,0
16,쌍사당 소장,,소장,,0,0,0,0,0,0
17,쌍사당 중장,,중장,,0,0,0,0,0,0
18,쌍사당 대장,,대장,,0,0,0,0,0,0
19,쌍사당 장군,,장군,,0,0,0,0,0,0
