#,ShopName,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17
3473408,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473409,특수품 접수원,1,0,4,235,4,210,2,0,3,0,0,0,0,0,0,0,True,False
3473410,증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473411,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473412,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473413,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473414,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473415,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473416,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473417,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473418,야만족 화폐 증서 교환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473419,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473420,전과기록 교환(잠긴 상자),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473421,전과기록 교환(기타),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473422,전과기록 교환(기타),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473423,不用品の交換,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473424,모조 장인 장비 회수(신생),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473425,모조 장인 장비 회수(창천),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473426,모조 장인 장비 회수(홍련),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
