key,0,1,2,3,4,5
#,,,Name,Text,,
int32,byte,byte,SnipeTalkName,str,str,str
0,0,0,0,"","",""
1,0,0,0,"","",""
2,0,0,0,"","",""
3,0,0,0,"","",""
4,0,0,0,"","",""
5,0,0,0,"","",""
6,0,0,0,"","",""
7,0,0,0,"","",""
8,0,0,0,"","",""
9,0,0,0,"","",""
10,61,1,10,"……뭘 어쩌려고?
로온 론을 사려면 푀부트 금화 1개로는 부조카다!","",""
11,61,1,11,"어디 보자, 수정공이 뭐라고 했더라…….","",""
12,61,1,12,"좀 어둡네요…….
올라가서 양초를 받아올까요……?","",""
13,61,1,13,"…………?
무슨 일이죠? 저를 뚫어져라 쳐다보고.
이쪽 조사는 시간이 더 걸려요.","",""
14,61,1,14,"아얏……!?
왜, 왜 나를 겨누는 건가……!","",""
15,57,7,0,"맞아도 미동도 하지 않고 뚫어져라 이쪽을 보고 있다.
적어도 드워프족은 아닌 모양이다…….","",""
16,61,1,15,"우와, 제대로 맞혔어~!
자네의 식별력과 행동력에 박수라리~!","",""
17,61,1,16,"땡!
나는 토르의 투구를 쓰고 있네요!
에이, 연습 좀 더 해와라!","",""
18,61,1,17,"음핫핫핫핫! 후후! 우후후!
나를 쏘면 안 돼, 아직 멀었군!","",""
19,57,7,0,"수상쩍은 인물을 발견했다!","",""
20,57,7,0,"……당당한 모습이다.
하지만 미스텔족은 아니다.","",""
21,57,7,0,"굉장히 오래되어 보이는 벽화다.
가운데에 있는 사람이 무기를 들고 있다.
검은 짐승이 쓰러져 주위 사람들이 기뻐하는 듯하다…….","",""
22,57,7,0,"꽤 오래되어 보이는 벽화다.
많은 사람들이 왕좌에 앉은 인물을 알현하고 있다…….","",""
23,57,7,0,"조금 오래되어 보이는 벽화다.
소용돌이치는 어둠과 대치하는 몇 명의 사람이 그려져 있는데,
가운데 부분이 무참하게 긁혔다…….","",""
24,61,1,10,"그건 '군침줄줄빵'이다!
안에 달콤새콤한 선인장 과육이 잔뜩 들어서
퍼석퍼석하지만 괜차나! 건강에도 조아!","",""
25,61,1,10,"그건 '의욕활활햄'이다!
도마뱀의 귀중한 부위에 비법 양념으로 간을 해서 만든 햄이다!
조금 이상한 냄새 나지만, 머그면 몸이 활활 타오른다!","",""
26,61,1,10,"그건 '쫀득간식꼬치'다!
가까운 바위터에 숨어 있는 작은 개구리를 그냥 구워따!
담백해서 먹기 조타!","",""
27,61,1,10,"그건 '탱글지렁이절임'이다!
모두가 조아하는 백지렁이를 꿀에 절인 꿈의 음식이다!
다른 간식은 못 머께 될 거다!","",""
28,57,7,0,"오래된 석판을 발견했다!","",""
29,61,1,18,"흠…… 이것이 제단인 듯합니다만,
'밤의 주민'의 대표적인 제사 도구인 수경이 안 보입니다.
이동할 때 그것만 가지고 간 걸까요…….","",""
30,57,7,0,"수상쩍은 인물을 발견했다!
하지만 마을 쪽으로 도망치고 말았다…….","",""
31,57,7,0,"이쪽을 지그시 바라보고 있다.
정체불명의 인물이 아닌 것 같다…….","",""
32,61,1,15,"라리호! 훌륭해!
실전 때도 지금처럼 해줘!","",""
33,57,7,0,"높게 뻗은 길쭉한 건물에 창문이 많이 달려 있다.
어디에서도 본 적 없는 특징적인 형태다.","",""
34,57,7,0,"……어째서인지 넓적부리황새가 있다.
이유는 도무지 알 수 없지만, 무척 당당하게 서 있다.","",""
35,57,7,0,"여려 보이는 어린 클리오니드가 떠다닌다…….
아마 얌전한 생물일 것이다.","",""
36,61,1,14,"윽!? 어수선한 틈을 타서 이쪽을 노리지 말아주게!
안 벗겨져, 이 후드는 안 벗겨진다고……!","",""
37,57,7,0,"맞아도 미동도 하지 않고
뚫어져라, 뚫~~~~~어져라 이쪽을 바라보고 있다.
어쨌든 드워프족은 아닌 모양이다…….","",""
