#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,도시 내 순찰,림사 로민사 도시 내 정기 순찰을 명한다. 지정된 순찰 지점을 돌며 도시 안전을 확보하라.,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,7500,0,5,8,1,100,0,1
2,인근 거점에 명령 전달,데네벨 관문으로 가는 전령을 명한다. 군 관련 서류를 해당 시설 주둔 부대에 전달하라.,0,165,160,160,0,20,20,20,20,0,165,160,160,0,20,20,20,20,0,165,170,150,0,20,20,20,20,0,150,170,165,0,20,20,20,20,0,160,150,175,0,20,20,20,20,0,150,160,175,0,20,20,20,20,7500,500,8,0,1,20,0,1
3,도시 주변 도로 순찰,"중부 라노시아 주요 가도 순찰을 명한다. 시민과 여행자, 상단의 안전을 위협하는 마물은 발견 즉시 처치하라.",0,245,155,200,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,150,255,195,0,20,20,20,20,0,195,255,150,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,195,155,250,0,20,20,20,20,9000,500,8,0,1,20,0,1
4,야만족 부대 정찰,"저지 라노시아에서 코볼드족을 목격했다는 정보가 들어왔다. 즉시 현장으로 가서 적군의 동향을 정찰하고, 보고하라.",0,150,255,195,0,20,20,20,20,0,195,155,250,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,245,155,200,0,20,20,20,20,0,195,255,150,0,20,20,20,20,10500,500,8,0,5,20,0,1
5,보급부대 호위,"해골 골짜기 야영지로 가는 보급부대 호위를 명한다. 잠시도 경계를 게을리하지 말고, 보급부대의 안전을 확보하라.",0,210,125,310,0,20,20,20,20,0,125,210,310,0,20,20,20,20,0,305,210,130,0,20,20,20,20,0,305,130,210,0,20,20,20,20,0,210,320,115,0,20,20,20,20,0,115,320,210,0,20,20,20,20,12000,500,8,0,10,20,0,1
6,해로운 짐승 퇴치,중부 라노시아 주민들에게서 구부 제거 요청이 들어왔다. 즉시 현장으로 가서 피해가 커지는 것을 막아라.,14945,140,225,325,1,20,20,20,20,14945,225,140,325,1,20,20,20,20,14945,320,145,225,1,20,20,20,20,14945,320,225,145,1,20,20,20,20,14945,130,335,225,1,20,20,20,20,14945,225,335,130,1,20,20,20,20,13500,500,8,0,15,20,0,1
7,중요 임무: 하급 요마 소탕,속삭임 골짜기에서 하급 요마로 보이는 그림자가 목격되었다. 이대로 두면 현지 주민이 피해를 입을 수도 있다. 즉시 현장으로 달려가 모든 요마를 확실히 섬멸하라.,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,21000,2000,10,12,20,0,0,1
8,전방 부대 지원,해골 골짜기 야영지 주둔 부대에서 지원 요청이 들어왔다. 코볼드족 요격에 나선 현지 부대를 지원하라.,0,265,140,420,0,20,20,20,20,0,410,145,270,0,20,20,20,20,0,265,435,125,0,20,20,20,20,0,140,265,420,0,20,20,20,20,0,410,270,145,0,20,20,20,20,0,125,435,265,0,20,20,20,20,15000,1000,12,0,20,20,0,2
9,동맹군 장교 호위,"중요한 회담이 있어 쌍사당 장교가 우리 도시를 방문한다. 비공정 승강장으로 마중 나가, 체류 기간 중 안내와 호위에 만전을 기하라.",0,270,440,130,0,20,20,20,20,0,130,440,270,0,20,20,20,20,0,270,145,425,0,20,20,20,20,0,145,270,425,0,20,20,20,20,0,415,275,150,0,20,20,20,20,0,415,150,275,0,20,20,20,20,16500,1000,12,0,20,20,0,2
