key,0,1,2,3,4,5,6,7,8
#,Description,Item,GatheringItemLevel,,,FishingRecordType,TerritoryType,,IsVisible
int32,str,Item,GatheringItemLevelConvertTable,uint16,bit&01,FishingRecordType,TerritoryType,uint16,bit&02
0,"",0,0,0,False,0,0,0,False
20000,"나선 계단 같은 회오리 모양이 특징이다. 껍데기가 부서지기 쉽기에 완전한 형태를 갖춘 것은 호사가들에게 귀한 취급을 받는다.",20144,205,4000,False,10,0,0,True
20001,"암컷은 검은색이나 성장하면 수컷으로 변하며 선명한 색깔로 바뀐다. 몸을 지키기 위하여 점액질 독을 방출하는 성질도 있다.",20145,205,4000,False,11,0,0,True
20002,"바다를 유유히 헤엄치는 거대한 가오리. 코우진족이 탈것으로 부리는 줄가오리는 이 가오리를 오랜 세월 가축화한 것이다.",20146,205,4000,False,12,1,0,True
20003,"근동의 라자한에서 건너온 사자가 동쪽 나라의 막부에 이 물고기를 헌상했다고 한다. 방류했더니 어느 새 정착한 모양이다.",20147,205,4000,False,10,2,0,True
20004,"닭새우와 공생하며 닭새우를 따라온 문어를 잡아먹는다. 곰치에게 있어 닭새우는 먹이를 끌어들이는 미끼이다.",20148,205,4000,False,11,4,0,True
20005,"도마에 전해내려오는 옛날이야기에 나오는 말뚝망둥어 '토비오'는 느긋한 성격이면서도 삶이란 무엇인지와 같은 심오한 질문을 던진다고 한다.",20149,205,4000,False,13,6,0,True
20006,"딱딱한 비늘로 포식자에게서 몸을 지키며, 자신은 더 작은 소형 물고기나 갑각류를 먹어치운다. 도마에서는 옹고집의 상징으로 여겨진다.",20150,205,4000,False,15,6,0,True
20007,"그 어느 물고기보다 낚싯바늘에서 미끼를 잘 빼먹는다. 때문에 낚시꾼들이 혐오하는 존재이다.",20151,205,4000,False,14,7,0,True
20008,"도마 장어에 비해 대형이지만 맛은 떨어진다. 때문에 가격도 저렴해서 적당한 가격에 먹을 수 있다.",20152,205,4000,False,15,7,0,True
20009,"민물로 진출한 드문 소라게. 고둥류의 껍데기를 이용해서 몸을 지킨다고 알려져 있으며, 성장에 따라 집을 바꾼다.",20153,205,4000,False,13,8,0,True
20010,"옛 모습을 유지한 원시적인 게. 큼직한 개체가 집게 발을 펼치면 휴런족 성인 남성 두 사람 만하기도 하다.",20154,210,4000,False,12,0,0,True
20011,"튀어나온 이마를 긴 코에 빗대어 바다 텐구라고 불린다. 한 때, 사베네어에서는 불로장수 영약의 재료가 된다는 소문에 남획되기도 했다.",20155,210,4000,False,11,1,0,True
20012,"폭이 넓은 등지느러미와 꼬리지느러미가 있는 희귀 물고기. 평소에는 심해에 서식하고 있기에 보기가 힘들어 지느러미의 용도 같은 생태는 수수께끼에 싸여 있다.",20156,210,4000,False,12,2,0,True
20013,"어린 개체는 흰색과 검은색의 줄무늬이며, 성장하면 모습이 바뀐다. 때문에 최근까지 어린 개체는 다른 종의 상어라고 여겨져 왔었다.",20157,210,4000,False,12,3,0,True
20014,"뼈처럼 보이는 꺼림칙한 모습 때문에 예부터 악귀를 물리치는 힘이 있다고 전해져, 이 조개를 가지고 다니는 해적 형제단도 있을 정도다.",20158,210,4000,False,10,4,0,True
20015,"헤엄이 몹시 서툴고 둔하다. 모조 미끼가 달린 돌기를 움직여서 소형 갑각류나 물고기를 낚기 때문에 '고기잡이 물고기'라고도 불린다.",20159,210,4000,False,14,6,0,True
20016,"하천에서 나는 해조 사이나 바위 등에 붙어 있는 소형 고둥. 많은 생물의 먹잇감으로서, 먹이사슬의 밑바닥을 떠받치고 있다.",20160,210,4000,False,13,7,0,True
20017,"수염이 없는 잉어의 일종. 해조나 과일을 먹는 물고기 중에는 최대급의 거대한 몸을 자랑하며, 덩치 큰 루가딘족 남자를 웃돌 정도로 성장한다.",20161,210,4000,False,15,8,0,True
20018,"머리가 이상하게 큰 물고기. 또한 체내에 많은 발광기관을 지니고 있어 빛을 발하기 때문에 어민들은 영혼을 옮기는 물고기로 여긴다.",20162,215,4000,False,10,0,0,True
20019,"실처럼 생긴 기다란 지느러미를 늘어뜨리고 헤엄치는 물고기. 먹을 수는 있지만 냄새가 나는 데다가 식중독을 일으키기 쉽다고 한다.",20163,215,4000,False,11,0,0,True
20020,"동쪽 나라의 견종인 '친'과 닮아서 '친장어'라고도 불리지만, 실은 그리 닮지 않았다.",20164,215,4000,False,10,1,0,True
20021,"외국인들에게는 이계 보이드의 요마로도 보일 듯한 꺼림칙한 모습이나 동쪽 나라에서는 고급 식재료로 귀하게 여겨진다.",20165,215,4000,False,10,2,0,True
20022,"갑각류나 작은 물고기는 물론 거북이나 상어까지 통째로 삼킨다. 코우진족은 나쁜 짓을 한 아이를 혼낼 때 능성어에게 잡아먹힌다고 겁을 주는 듯하다.",20166,215,4000,False,12,3,0,True
20023,"등지느러미의 가시에 강력한 독이 있는 위험한 존재. 하지만 흰살이 맛있기에 위험을 무릅쓰고 도전하는 어부가 끊이질 않는다.",20167,215,4000,False,11,4,0,True
20024,"도마 가재의 돌연변이종. 붉은 갑옷을 입은 무사를 연상시켜서 붙은 이름이다. 색깔이 왜 붉은지는 판명되지 않았다.",20168,215,4000,False,13,7,0,True
20025,"도마에 전해지는 네 종류의 대표적인 물고기, 사대가어의 하나다. 양식법도 확립되어 있어, 서민에게 친숙하다.",20169,215,4000,False,15,7,0,True
20026,"먼 옛날, 얀샤 지방에서는 이 종류의 조개 껍데기가 화폐로 사용되었다. 물론 지금은 가치가 없다.",20170,215,4000,False,13,8,0,True
20027,"난류를 타고 홍옥해로 오는 대형 육식어. 부유물에 모이는 습성 때문에 시체먹이라고도 불리나, 실제로 사람을 먹지는 않는다.",20171,220,4000,False,12,0,0,True
20028,"우락부락한 얼굴과 상처로도 보이는 가로줄, 그리고 혼자서 헤엄치는 모습이 떠돌이 무사와 닮았다고 하여 '떠돌이 무사 전갱이'라고도 불린다. 딱히 주군을 찾아다니는 건 아니다.",20172,220,4000,False,12,1,0,True
20029,"한번 먹어보면 다른 물고기는 먹지 못한다고 할 정도로 맛있다. 지역 어부에게는 동경의 대상 같은 존재다.",20173,220,4000,False,12,2,0,True
20030,"밤이 되면 암초를 돌아다니며, 치설을 야무지게 사용하여 해조를 긁어모아 먹는다. 동방 지역 연안에서는 대표적인 식용 조개다.",20174,220,4000,False,10,3,0,True
20031,"선홍색 불가사리. 붉다고 해서 아무데나 '홍옥'을 붙이는 건 솔직히 좀 그렇다.",20175,220,4000,False,10,4,0,True
20032,"바다에서 태어난 유생이 이윽고 거슬러 올라와 담수역에서 산다. 그리고 번식기가 되면 다시 바다로 내려가는 회유를 반복한다.",20176,220,4000,False,13,6,0,True
