key,0,1,2,3
#,,,,
int32,str,str,str,str
0,"","","",""
1,"제비활치를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","제비활치를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","제비활치를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
2,"물고기도마뱀을 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","물고기도마뱀을 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","물고기도마뱀을 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
3,"꺽저기를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","꺽저기를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","꺽저기를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
4,"용병게를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","용병게를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","용병게를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
5,"이치몬지를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","이치몬지를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","이치몬지를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
6,"귀족어를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","귀족어를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","귀족어를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
7,"솔디아 루비를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","솔디아 루비를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","솔디아 루비를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
8,"나무 비늘을 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","나무 비늘을 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","나무 비늘을 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
9,"호랑상어를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","호랑상어를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","호랑상어를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
10,"낙원어를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","낙원어를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","낙원어를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
11,"리가카 물고기를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","리가카 물고기를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","리가카 물고기를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
12,"황금 원반어를 잡았더니, 숨은 물고기의 기척이 느껴집니다…….","황금 원반어를 잡았더니, 숨은 물고기의 기척이 강해졌습니다…….","황금 원반어를 잡았더니, 숨은 물고기의 기척이 더욱 강해졌습니다…….","숨은 물고기의 기척이 뚜렷하게 느껴집니다!"
