key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
int32,str,str,ActionTimeline,ActionTimeline,Image,ClassJob,ClassJobCategory,byte,Quest,bit&01,uint16,byte,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction
100000,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100001,"작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1501,8,9,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70%",240,247,1502,8,9,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"능숙한 땜질","내구도를 30 회복합니다.",242,249,1507,8,9,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100004,"중급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 125
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80%",240,247,1516,8,9,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"능숙한 땜질 2","내구도를 60 회복합니다.",242,249,1520,8,9,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100006,"바람의 인장","내구도를 소비하여 작업을 진행합니다.
바람속성 제작법일 경우 효율이 2배가 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100(바람속성 200)
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1509,8,33,37,0,False,0,6,100006,100006,100006,100006,100006,100006,100006,100006
100007,"중급 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1515,8,9,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
