key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Description,Description{Enhanced},Tooltip,SpecialAction{Name},SpecialAction{Description},Attack,Defense,Speed,HasAreaAttack,Strength{Gate},Strength{Eye},Strength{Shield},Strength{Arcana},MinionSkillType
int32,str,str,str,str,str,byte,byte,byte,bit&01,bit&02,bit&04,bit&08,bit&10,MinionSkillType
0,"","","","","",100,100,3,False,False,False,False,False,0
1,"꼬마 친구 '꼬마 봄'을 불러낸다.
인공 부화시킨 어린 봄. 폭발은 안 할 거라 믿는다.","어린 봄. 이계 '보이드'에서 온 가스형 생물 '봄'을 연금술을 응용하여 인공 부화시켰다. 목탄이나 청린수, 불 크리스탈 등의 연료를 주면 아주 잘 먹는다. 폭발은 안 할 거라 믿는다.","끼긱… 끼기긱…","자폭","범위 안에 있는 적에게 공격력 300만큼 피해를 줍니다. 단, 특수기 포인트를 사용한 꼬마 친구는 귀환됩니다.",30,40,2,False,False,True,True,False,1
2,"꼬마 친구 '자동인형 001'을 불러낸다.
연금술사 길드와 보석공예가 길드가 합작한 자동인형.","울다하 보석공예가 길드가 연금술사 길드의 협력을 받아 개발, 제조한 마법인형의 시판용 모델. 001번 모델은 기본적인 기능을 갖춘 범용 기종으로, 이를 바탕으로 다양한 파생 기종이 만들어지고 있다.","반짝반짝◎신상☆입니다","해체","적이 설치한 함정을 해제합니다.",25,45,1,False,True,True,False,True,6
3,"꼬마 친구 '초코초코보'를 불러낸다.
아장아장 걷는 아기 초코보.","아장아장 걷는 아기 초코보. 모험가를 자기 어미인 줄 알고 끝까지 따라다닌다. 알껍데기를 애지중지 달고 다니는 건 방어구를 착용한 모험가를 흉내내는 것이라고 한다.","꾸에엑!","초코 댄스","15초 동안 범위 안에 있는 적에게 '동물' 유형 약점을 추가합니다.",60,30,3,False,True,True,False,False,4
4,"꼬마 친구 '캐트시 인형'을 불러낸다.
캐트시의 모습을 본뜬 마법인형.","중원 부족의 민화에 등장하는 고양이 요정 캐트시의 모습을 본뜬 마법인형. 보석공예가 길드마스터 세렌디피티가 부모를 잃은 재해 고아들을 위로하기 위해 마법인형에 천으로 옷을 입혀 만들었다.","…………","장난감 병정","범위 안에 있는 아군의 특수기 포인트를 10 증가시킵니다. 단, 효과가 같은 특수기를 가진 꼬마 친구에게는 무효입니다.",55,65,2,False,True,False,True,False,3
5,"꼬마 친구 '베이비모스'를 불러낸다.
꿀꿀 하고 울 것만 같은 어린 마수. 어미가 누구인지 보고 싶다.","울다하 노점에서 전설의 마수 '베히모스'의 아기라고 광고하며 팔던 정체불명의 어린 마수. 보라색 몸에 검은 갈기와 둔탁하게 빛나는 뿔이 있지만, 얼굴을 보면 왠지 꿀꿀 하고 울 것 같이 생겼다. 어미가 누구인지 보고 싶다.","꾸, 꾸울!?","사나운 뿔","범위 안에 있는 적에게 공격력 230만큼 피해를 줍니다.",45,30,3,True,False,False,False,False,1
6,"꼬마 친구 '자동인형 003L'을 불러낸다.
흑와단이 정식 채택한 자동인형.","림사 로민사 총사령부 '흑와단'이 제식으로 채택한 마법인형. 군사행진 기수 담당자로 설계되어 등을 곧게 펴고 늠름하게 깃발을 든다. 하지만 키가 작아서 아무도 깃발을 보지 못했다고 한다.","제독님께 대하여◎경례☆","흑와단 깃발","15초 동안 범위 안에 있는 적의 방어력을 50% 감소시킵니다.",30,45,1,False,True,False,True,True,4
7,"꼬마 친구 '자동인형 003G'를 불러낸다.
쌍사당이 정식 채택한 자동인형.","그리다니아 총사령부 '쌍사당'이 제식으로 채택한 마법인형. 군사행진 기수 담당자로 설계되어 등을 곧게 펴고 늠름하게 깃발을 든다. 하지만 키가 작아서 아무도 깃발을 보지 못했다고 한다.","카느 에 님께 대하여◎경례☆","쌍사당 깃발","범위 안에 있는 아군의 특수기 포인트를 10 증가시킵니다. 단, 효과가 같은 특수기를 가진 꼬마 친구에게는 무효입니다.",35,55,1,True,True,False,False,True,3
