#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
0,,,0,0,0,0,0,0,0,0,0,0,0,0
1,던전: 무작위 임무,무작위 임무로 던전 3회 공략,0,61801,3,15,1000,1625700,0,57,1,1,5,3
2,던전: 공략 횟수,던전 5회 공략,0,61801,5,10,2000,1083800,0,57,1,2,5,3
3,길드 작전: 공략 횟수 1,길드 작전 3회 공략,0,61803,3,5,1000,541900,0,71,1,3,5,3
4,길드 작전: 공략 횟수 2,길드 작전 10회 공략,0,61803,10,10,2000,1083800,0,71,1,4,5,3
5,보물고: 보물상자 열기 1,아쿠아폴리스 또는 우즈네어 운하에서 보물상자 5회 열기,0,61808,5,0,2000,0,0,231,6,3,0,3
6,쿠로의 공상 수첩: 붙인 스티커 수,쿠로의 공상 수첩 대상 임무를 완료하여 스티커 3장 붙이기,0,61825,3,0,2000,0,60,0,1,8,0,3
7,크리스탈라인 컨플릭트: 참전 횟수,크리스탈라인 컨플릭트에 10회 참전,0,61806,10,0,1000,0,0,130,2,1,0,9
8,크리스탈라인 컨플릭트: 승리 횟수,크리스탈라인 컨플릭트에서 3회 승리,0,61806,3,0,1000,0,0,130,2,2,0,9
9,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0,0,0,0,0
11,의뢰: 그림 제패,판 그림이 다른 의뢰 5종류 달성,0,61811,5,15,1000,1625700,0,0,4,1,5,3
12,의뢰: 달성 횟수,의뢰 20회 달성,0,61811,20,15,2000,1625700,0,0,4,2,5,3
13,"군수물자, 보급물자 조달: 납품 횟수 2","군수물자, 보급물자 조달을 통해 아이템 10회 납품",0,61812,10,0,1000,0,0,89,8,2,0,6
14,"군수물자, 보급물자 조달: 납품 횟수 1","군수물자, 보급물자 조달을 통해 아이템 5회 납품",0,61812,5,0,1000,0,0,89,8,1,0,6
15,보물찾기: 지도 취득 횟수,오래된 지도 3회 취득,0,61808,3,0,1000,0,0,149,6,1,0,3
16,보물찾기: 보물 획득 횟수,보물찾기로 보물 5회 획득,0,61808,5,0,2000,0,0,149,6,2,0,3
17,버디: 토벌 수 1,버디와 함께 레벨이 비슷한 적 20마리 처치,0,61813,20,5,1000,0,0,96,1,6,7,3
18,버디: 토벌 수 2,버디와 함께 레벨이 비슷한 적 100마리 처치,0,61813,100,10,2000,0,0,96,1,7,7,3
19,우호부족 퀘스트: 완료 횟수 1,우호부족 일일 퀘스트 5회 완료,0,61814,5,0,1000,0,0,152,7,1,0,3
20,우호부족 퀘스트: 완료 횟수 2,우호부족 일일 퀘스트 15회 완료,0,61814,15,0,2000,0,0,152,7,2,0,3
21,공략수첩: 달성 수 1,공략수첩에 적힌 과제 5종류 달성,0,61810,5,0,10000,0,0,0,12,1,0,3
22,공략수첩: 달성 수 2,공략수첩에 적힌 과제 10종류 달성,0,61810,10,0,10000,0,0,0,12,2,0,3
23,공략수첩: 달성 수 3,공략수첩에 적힌 과제 15종류 달성,0,61810,15,0,10000,0,20,0,12,3,0,3
24,공략수첩: 달성 수 4,공략수첩에 적힌 과제 20종류 달성,0,61810,20,0,10000,0,30,0,12,4,0,3
25,플레이어 추천,플레이어 추천 투표에 총 5회 참가,0,61817,5,10,1000,1083800,0,160,1,5,5,3
26,채집활동,"광부나 원예가로 채집 레벨에 맞는 아이템
100회 채집",0,61815,100,5,1000,0,0,0,5,4,5,3
27,채집활동: 획득 수 보너스,광부나 원예가로 채집 레벨에 맞는 채집을 하며 획득 수 보너스 30회 발생,0,61815,30,5,2000,0,0,0,5,5,5,3
28,낚시,어부가 되어 30회 낚기,0,61815,30,5,1000,0,0,0,5,6,5,3
