#,Name,Description,Icon,Value,ChocoboRaceAbilityType
0,,,0,0,0
1,초코 질주,1초 동안 속력이 증가합니다.,70001,1,1
2,초코 질주 2,2초 동안 속력이 증가합니다.,70002,2,1
3,초코 질주 3,3초 동안 속력이 증가합니다.,70003,3,1
4,초코 케알,전체 체력의 6%를 회복합니다.,70004,6,2
5,초코 케알 2,전체 체력의 9%를 회복합니다.,70005,9,2
6,초코 케알 3,전체 체력의 12%를 회복합니다.,70006,12,2
7,초코 에스나,자신에게 걸린 약화 효과를 75%의 확률로 해제합니다.,70007,75,3
8,초코 에스나 2,자신에게 걸린 약화 효과를 90%의 확률로 해제합니다.,70008,90,3
9,초코 에스나 3,자신에게 걸린 약화 효과를 100%의 확률로 해제합니다.,70009,100,3
10,초코 완화,자신에게 걸린 과중력을 해제하고 체력을 80 회복합니다.,70010,80,4
11,초코 완화 2,자신에게 걸린 과중력을 해제하고 체력을 130 회복합니다.,70011,130,4
12,초코 완화 3,자신에게 걸린 과중력을 해제하고 체력을 180 회복합니다.,70012,180,4
13,초코 안정,광분 상태를 해제하고 체력을 100 회복합니다.,70013,100,5
14,초코 안정 2,광분 상태를 해제하고 체력을 150 회복합니다.,70014,150,5
15,초코 안정 3,광분 상태를 해제하고 체력을 200 회복합니다.,70015,200,5
16,초코 리플렉트,10초 동안 자신만을 대상으로 시전되는 약화 효과를 시전자에게 반사합니다.,70016,10,6
17,초코 리플렉트 2,15초 동안 자신만을 대상으로 시전되는 약화 효과를 시전자에게 반사합니다.,70017,15,6
18,초코 리플렉트 3,20초 동안 자신만을 대상으로 시전되는 약화 효과를 시전자에게 반사합니다.,70018,20,6
19,초코 훔치기,앞서 달리는 초코보의 아이템을 50%의 확률로 훔칩니다.,70019,50,7
20,초코 훔치기 2,앞서 달리는 초코보의 아이템을 70%의 확률로 훔칩니다.,70020,70,7
21,초코 훔치기 3,앞서 달리는 초코보의 아이템을 90%의 확률로 훔칩니다.,70021,90,7
22,초코 사일레스,35초 동안 주위 초코보의 능력 사용을 막습니다.,70022,35,8
23,초코 사일레스 2,40초 동안 주위 초코보의 능력 사용을 막습니다.,70023,40,8
24,초코 사일레스 3,45초 동안 주위 초코보의 능력 사용을 막습니다.,70024,45,8
25,초코 충격,25초 동안 주위 초코보의 아이템 사용을 막습니다.,70025,25,9
26,초코 충격 2,30초 동안 주위 초코보의 아이템 사용을 막습니다.,70026,30,9
27,초코 충격 3,35초 동안 주위 초코보의 아이템 사용을 막습니다.,70027,35,9
28,체력 소모량 절감,가속 시 체력 소모량이 9% 감소합니다.,70028,9,10
29,체력 소모량 절감 2,가속 시 체력 소모량이 12% 감소합니다.,70029,12,10
30,체력 소모량 절감 3,가속 시 체력 소모량이 15% 감소합니다.,70030,15,10
31,과중력 저항,자신에게 시전된 과중력 효과를 60%의 확률로 무효화합니다.,70031,60,11
32,과중력 저항 2,자신에게 시전된 과중력 효과를 70%의 확률로 무효화합니다.,70032,70,11
33,과중력 저항 3,자신에게 시전된 과중력 효과를 80%의 확률로 무효화합니다.,70033,80,11
34,과중력 저항 4,자신에게 시전된 과중력 효과를 90%의 확률로 무효화합니다.,70034,90,11
35,과중력 저항 5,자신에게 시전된 과중력 효과를 100%의 확률로 무효화합니다.,70035,100,11
36,광분 저항,자신에게 시전된 광분 효과를 60%의 확률로 무효화합니다.,70036,60,12
37,광분 저항 2,자신에게 시전된 광분 효과를 70%의 확률로 무효화합니다.,70037,70,12
38,광분 저항 3,자신에게 시전된 광분 효과를 80%의 확률로 무효화합니다.,70038,80,12
39,광분 저항 4,자신에게 시전된 광분 효과를 90%의 확률로 무효화합니다.,70039,90,12
40,광분 저항 5,자신에게 시전된 광분 효과를 100%의 확률로 무효화합니다.,70040,100,12
41,체력 회복량 증가,체력 회복 시의 회복량이 50% 증가합니다.,70041,50,13
42,체력 회복량 증가 2,체력 회복 시의 회복량이 65% 증가합니다.,70042,65,13
43,체력 회복량 증가 3,체력 회복 시의 회복량이 80% 증가합니다.,70043,80,13
44,경험치 증가,경주 완료 시 얻는 경험치가 10% 증가합니다.,70044,10,14
45,경험치 증가 2,경주 완료 시 얻는 경험치가 20% 증가합니다.,70045,20,14
46,경험치 증가 3,경주 완료 시 얻는 경험치가 30% 증가합니다.,70046,30,14
47,출발 가속,경주 시작 시 최고 속력으로 출발합니다.,70047,1,15
48,초코 흡수,주위 초코보의 체력을 초당 15씩 흡수합니다.,70048,15,16
49,초코 흡수 2,주위 초코보의 체력을 초당 25씩 흡수합니다.,70049,25,16
50,초코 흡수 3,주위 초코보의 체력을 초당 35씩 흡수합니다.,70050,35,16
51,아이템 교환,현재 보유한 아이템을 다른 아이템으로 바꿉니다.,70051,0,17
52,흉내 내기,7초 동안 앞서 달리는 초코보가 아이템이나 특수 능력을 사용하면 자신도 같은 효과를 얻습니다.,70052,7,18
53,흉내 내기 2,11초 동안 앞서 달리는 초코보가 아이템이나 특수 능력을 사용하면 자신도 같은 효과를 얻습니다.,70053,11,18
54,흉내 내기 3,15초 동안 앞서 달리는 초코보가 아이템이나 특수 능력을 사용하면 자신도 같은 효과를 얻습니다.,70054,15,18
55,깃털 방어막,10초 동안 다른 초코보의 주변 범위 공격에 영향받지 않습니다.,70055,10,19
56,깃털 방어막 2,20초 동안 다른 초코보의 주변 범위 공격에 영향받지 않습니다.,70056,20,19
57,깃털 방어막 3,30초 동안 다른 초코보의 주변 범위 공격에 영향받지 않습니다.,70057,30,19
58,폭풍 질주,"날씨나 지형의 영향을 받지 않게 되며, 체력이 0이 될 때까지 계속 질주합니다.",70058,0,20
59,초코 리레이즈,체력이 0이 되면 1회에 한해 체력을 60 회복합니다.,70059,60,21
60,초코 리레이즈 2,체력이 0이 되면 1회에 한해 체력을 130 회복합니다.,70060,130,21
61,초코 리레이즈 3,체력이 0이 되면 1회에 한해 체력을 200 회복합니다.,70061,200,21
62,약화 저항,자신이 받는 약화 효과의 지속시간이 80%로 감소합니다.,70062,80,22
63,약화 저항 2,자신이 받는 약화 효과의 지속시간이 65%로 감소합니다.,70063,65,22
64,약화 저항 3,자신이 받는 약화 효과의 지속시간이 50%로 감소합니다.,70064,50,22
65,감속 휴식,감속 중에 체력이 0.8%씩 회복됩니다.,70065,8,23
66,감속 휴식 2,감속 중에 체력이 1%씩 회복됩니다.,70066,10,23
67,감속 휴식 3,감속 중에 체력이 1.2%씩 회복됩니다.,70067,12,23
68,,,0,0,0
69,,,0,0,0
70,,,0,0,0
