#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
0,가죽 안장,,가죽 안장,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,림사 로민사 안장,,림사 로민사 안장,0,0,0,1,0,0,65538,65541,65538,58549,58553,58551,1,1
2,림사 로민사 경갑주,,림사 로민사 경갑주,0,0,0,1,0,0,65542,65542,65542,58501,58502,58503,1,2
3,림사 로민사 갑주,,림사 로민사 갑주,0,0,0,1,0,0,131078,131078,131078,58504,58505,58506,1,3
4,림사 로민사 문장갑주,,림사 로민사 문장갑주,0,0,0,1,0,0,196614,196614,196614,58507,58508,58509,1,4
5,그리다니아 안장,,그리다니아 안장,0,0,0,1,0,0,65538,131077,65538,58549,58556,58551,2,5
6,그리다니아 경갑주,,그리다니아 경갑주,0,0,0,1,0,0,65543,65543,65543,58510,58511,58512,2,6
7,그리다니아 갑주,,그리다니아 갑주,0,0,0,1,0,0,131079,131079,131079,58513,58514,58515,2,7
8,그리다니아 문장갑주,,그리다니아 문장갑주,0,0,0,1,0,0,196615,196615,196615,58516,58517,58518,2,8
9,울다하 안장,,울다하 안장,0,0,0,1,0,0,65538,196613,65538,58549,58559,58551,3,9
10,울다하 경갑주,,울다하 경갑주,0,0,0,1,0,0,65544,65544,65544,58519,58520,58521,3,10
11,울다하 갑주,,울다하 갑주,0,0,0,1,0,0,131080,131080,131080,58522,58523,58524,3,11
12,울다하 문장갑주,,울다하 문장갑주,0,0,0,1,0,0,196616,196616,196616,58525,58526,58527,3,12
13,성기사 갑주,,성기사 갑주,0,0,0,1,0,0,65546,65546,65546,58528,58529,58530,0,13
14,용기사 갑주,,용기사 갑주,0,0,0,1,0,0,65547,65547,65547,58531,58532,58533,0,14
15,백마도사 갑주,,백마도사 갑주,0,0,0,1,0,0,65549,65549,65549,58534,58535,58536,0,15
16,슬레이프니르 갑주,,슬레이프니르 갑주,0,0,0,1,0,0,65550,65550,65550,58537,58538,58539,0,171
17,베히모스 갑주,,베히모스 갑주,0,0,0,1,0,0,65551,65551,65551,58540,58541,58542,0,172
18,비행대 갑주,,비행대 갑주,0,0,0,1,0,0,65555,0,0,58543,0,0,0,51
19,흑마도사 갑주,,흑마도사 갑주,0,0,0,1,0,0,65548,65548,65548,58546,58547,58548,0,21
20,초코대왕 갑주,,초코대왕 갑주,0,0,0,1,0,0,65553,0,0,58561,0,0,0,52
