#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
0,,,0,0,0,0,0
1,무기 넣기/꺼내기,무기 넣기/꺼내기 상태를 전환합니다,16,1,1,1,-5
2,내 캐릭터,캐릭터의 능력치를 확인할 수 있습니다. 장비나 칭호 변경 등이 가능합니다.,1,6,1,6,0
3,기술 목록,캐릭터가 습득한 기술을 확인할 수 있습니다. 기술을 단축바에 등록하거나 역할 기술을 설정할 수 있습니다.,4,2,1,2,-4
4,퀘스트,"진행 중이거나 완료한 퀘스트 및 의뢰에 대한 정보를 확인할 수 있습니다. 퀘스트를 할 일 목록에 표시하거나, 받은 길드 의뢰를 시작/포기할 수 있습니다.",5,4,2,22,0
5,임무 정보 목록,임무와 관련된 시간 정보 목록입니다. 의뢰 수주권 획득까지 남은 시간이나 우호부족 일일 퀘스트 수주권 개수 등을 확인할 수 있습니다.,47,13,2,31,9
6,업적 목록,"업적 목록입니다. 업적 진도 및 달성 조건, 달성하면 받을 수 있는 보상 등을 확인할 수 있습니다.",6,18,1,18,12
7,채집수첩,"채집가가 채굴, 암석 캐기, 벌채, 풀 베기로 얻을 수 있는 아이템 목록입니다. 원하는 아이템을 어느 지역에서 채집할 수 있는지도 확인할 수 있습니다.",23,4,3,35,1
8,토벌수첩,"투사, 마법사 클래스가 토벌할 마물들의 목록입니다. 토벌 대상 마물의 토벌 수와 주요 서식지, 획득 가능한 경험치 보상 등을 확인할 수 있습니다.",21,1,3,32,-2
9,제작수첩,제작자가 제작할 수 있는 아이템과 제작법 목록입니다. 아이템을 제작하려면 먼저 제작수첩을 실행해야 합니다.,22,3,3,34,0
10,소지품,"소지하고 있는 아이템 및 크리스탈을 확인할 수 있습니다. 아이템 사용, 순서 바꾸기 등을 실행할 수 있습니다.",2,8,1,8,2
11,임무용 아이템 목록,소지하고 있는 임무용 아이템을 확인하거나 사용할 수 있습니다. 임무용 아이템과 관련된 퀘스트를 포기하면 해당 임무용 아이템도 사라집니다.,3,3,2,21,-1
12,파티원,"파티원 목록입니다. 정렬 순서를 변경하거나, 파티 탈퇴 및 해체 등을 실행할 수 있습니다.",17,1,5,46,0
13,친구 목록 관리,친구로 등록한 캐릭터의 목록입니다. 목록에서 친구에게 귓속말을 보내거나 파티에 초대할 수 있습니다.,18,10,6,62,7
14,차단 목록 관리,"차단한 플레이어의 목록입니다. 차단 목록에 등록하면 그 플레이어의 모습과 플레이어가 한 말이 표시되지 않으며, 거래 요청이나 파티 초대도 차단됩니다.",19,12,6,64,9
15,플레이어 검색,조건을 다양하게 지정하여 다른 캐릭터를 검색할 수 있습니다.,20,1,6,53,-2
16,지도,"자신과 파티원의 위치, 에테라이트, 상점, 퀘스트 목적지, 다른 지역 정보 등을 확인할 수 있습니다. 축척을 변경할 수도 있습니다.",7,4,4,43,0
17,감정 표현,캐릭터의 감정을 표현하는 동작의 목록입니다. 다른 플레이어와 의사소통을 할 때 사용할 수 있습니다.,9,3,6,55,0
18,대상 표식,대상의 머리 위에 파티 및 연합 파티원들과 공유할 수 있는 표식을 부여하거나 해제할 수 있습니다.,10,3,5,48,2
19,시스템 설정,소리나 그래픽 등의 시스템 구성을 플레이어의 환경에 맞게 자유롭게 설정할 수 있습니다.,29,6,7,72,1
20,단축키 설정,다양한 조작이나 빠른 실행을 위해 단축키를 할당할 수 있습니다.,28,9,7,75,4
21,매크로 관리,"명령어를 조합하여 매크로를 생성할 수 있으며, 생성한 매크로는 단축바에 등록할 수 있습니다. 사용 가능한 명령어 목록도 여기에서 확인할 수 있습니다. 매크로는 현재 캐릭터 전용으로 사용하거나, 다른 캐릭터와 공용으로 사용할 수 있습니다.",30,8,7,74,3
22,HUD 배열 변경,"화면에 항상 표시되는 사용자 인터페이스 요소(HUD)의 위치, 크기, 숨김 여부를 변경하거나, 미리 저장한 설정으로 전환할 수 있습니다.",31,7,7,73,2
23,접속 종료,접속을 종료하고 타이틀 화면으로 돌아갑니다.,27,10,7,77,6
24,게임 종료,게임을 완전히 종료합니다.,26,11,7,78,7
25,장비함,"현재 가지고 있는 장비를 수납합니다. 장비는 각 부위별로 정리되며, 언제든지 자유롭게 착용하거나 확인할 수 있습니다.",32,7,1,7,1
26,,,0,0,0,0,0
27,자유부대,소속된 자유부대에 관한 정보를 확인할 수 있습니다.,8,4,6,56,1
28,링크셸,자기가 소속된 모든 링크셸의 구성원을 확인할 수 있습니다.,11,7,6,59,4
29,낚시수첩,어부 클래스로 낚은 물고기와 낚시터가 기록된 목록입니다. 다양한 지역에서 낚시를 할수록 내용이 점점 추가됩니다.,24,5,3,36,2
30,도움말,과거에 추가된 도움말 목록을 확인할 수 있습니다.,33,4,7,70,-1
31,추천 임무,"현 위치 근처에서 수행할 수 있는 퀘스트, 돌발 임무 등 현재 레벨로 참가 가능한 임무를 확인할 수 있습니다.",25,1,2,19,-3
32,이용등급,'파이널판타지14'의 이용등급을 확인할 수 있습니다.,13,1,7,67,-4
33,임무 찾기,던전이나 길드 작전 등의 내용을 확인하거나 참가를 신청할 수 있습니다. 자동으로 편성되는 파티에 참여하거나 직접 구성한 파티로 임무에 도전할 수 있습니다.,46,5,2,23,1
34,캐릭터 설정,"조작 설정이나 사용자 인터페이스 설정, 단축바 설정, 대화 창 설정 등 캐릭터와 관련된 항목을 설정할 수 있습니다.",48,5,7,71,0
35,텔레포,길을 지불하고 한 번 방문한 적이 있는 에테라이트로 순식간에 이동합니다. 파티원과 함께 이동하는 것도 가능합니다.,0,0,4,44,1
36,데존,"귀환 지점으로 설정한 에테라이트로 무료로 순식간에 이동합니다. 단, 한 번 실행하면 15분 동안 다시 실행할 수 없습니다. 임무 중에 실행하면 임무 시작 지점으로 돌아갑니다.",0,0,4,45,2
37,라이선스,'파이널판타지14'의 라이선스를 확인할 수 있습니다.,0,0,7,76,5
38,수첩,(도움말 없음),0,0,0,0,0
39,플레이어 간 교류,(도움말 없음),0,0,0,0,0
40,시스템,(도움말 없음),0,0,0,0,0
41,어류도감,어부 클래스로 낚은 물고기에 대해 자세히 기록한 목록입니다. 물고기를 낚을 때마다 내용이 갱신됩니다.,50,6,3,37,3
42,버디,"버디의 상태와 자동 귀환까지 남은 시간, 사용 가능한 기술 등을 확인할 수 있으며 새로운 기술을 습득시킬 수 있습니다.",49,10,1,10,4
43,임무,(도움말 없음),0,0,0,0,0
44,하우징,하우징 관련 메뉴를 엽니다.,52,5,6,57,2
45,화면 설정,"모니터 및 화면 모드, 화면 해상도 등 화면에 관한 설정 화면을 표시합니다.",35,0,0,0,0
46,소리 설정,"음량 조절 및 소리 끄기 기능 등, 소리에 관한 설정 화면을 표시합니다.",36,0,0,0,0
47,그래픽 설정,그래픽 품질 설정 화면을 표시합니다. 플레이어의 환경에 맞게 상세하게 설정할 수 있습니다.,37,0,0,0,0
48,마우스 설정,마우스 조작에 관한 설정 화면을 표시합니다.,38,0,0,0,0
49,컨트롤러 설정,"진동 설정 등, 컨트롤러에 관한 설정 화면을 표시합니다.",39,0,0,0,0
50,기타 설정,"스크린샷 저장 형식, 언어 등에 관한 설정 화면을 표시합니다.",51,0,0,0,0
51,조작 설정,"카메라나 대상 지정 등, 게임 내 조작에 관한 설정 화면을 표시합니다.",41,0,0,0,0
52,사용자 인터페이스 설정,"화면에 표시되는 HUD 등, 사용자 인터페이스에 관한 설정 화면을 표시합니다.",42,0,0,0,0
53,이름 표시 설정,플레이어 머리 위에 나오는 이름 표시에 관한 설정 화면을 표시합니다.,43,0,0,0,0
54,단축바 설정,단축바에 관한 설정 화면을 표시합니다.,44,0,0,0,0
55,대화창 설정,"글꼴 크기나 로그 필터 등, 대화창에 관한 설정 화면을 표시합니다.",45,0,0,0,0
56,PvP 프로필,PvP 임무의 전적을 열람하거나 PvP 기술을 확인하고 단축바에 등록할 수 있습니다.,53,16,1,16,10
57,파티 찾기,파티 목적과 역할 구성 등을 지정하여 파티원을 모집할 수 있습니다.,54,2,5,47,1
58,지면 표식,파티원과 연합 파티원이 볼 수 있는 표지를 지면에 설치할 수 있습니다.,55,4,5,49,3
59,준비 확인,파티원과 연합 파티원 모두에게 준비가 되었는지 확인 질문을 합니다.,56,6,5,51,5
60,공략수첩,"각종 임무와 관련된 다양한 달성 목표가 설정되어 있습니다. 여기서는 달성 목표의 진행도, 달성하면 받을 수 있는 보상 등을 확인할 수 있습니다. 목표 진행도는 (현실 시간)매주 화요일 오전 8시에 초기화됩니다.",57,8,3,39,5
61,탈것 목록,보유한 탈것 목록입니다. 탈것의 상세 정보를 확인하거나 탈것을 불러낼 수 있습니다.,58,11,1,11,5
62,꼬마 친구 목록,보유한 꼬마 친구 목록입니다. 꼬마 친구의 상세 정보를 확인하거나 꼬마 친구를 불러낼 수 있습니다.,59,12,1,12,6
63,접근성 설정,"소리 정보의 대체 표현 등, 접근성에 관한 설정 화면을 표시합니다.",60,0,0,0,0
64,탐험수첩,탐험 기록이 적힌 목록입니다. 목적지에 관한 정보도 확인할 수 있습니다.,61,2,3,33,-1
65,골드 소서,"골드 소서와 관련된 각종 정보를 확인할 수 있습니다. 경주 초코보의 능력치 및 혈통 정보를 확인하고 장비를 변경할 수 있습니다. 트리플 트라이어드의 카드 덱, 꼬마 친구 공방전의 꼬마 친구 단축바를 편집할 수 있으며, 작패유희 설정을 변경할 수 있습니다.",62,17,1,17,11
66,화폐 목록,길을 비롯한 각종 화폐의 보유량을 확인할 수 있습니다.,63,5,1,5,-1
67,풍맥의 샘 교감 정보,풍맥의 샘과 교감한 내역입니다. 다양한 지역에서 교감할수록 내용이 점점 추가됩니다.,64,1,4,40,-3
68,공식 가이드,파이널판타지14 '공식 가이드'에 접속하기 위한 메뉴를 엽니다.,65,3,7,69,-2
69,오케스트리온 악보집,오케스트리온으로 재생할 수 있는 악곡 목록입니다. 획득한 악보를 사용하면 곡이 추가됩니다.,67,7,3,38,4
70,초보자의 집,"각 전투 직업의 역할(방어, 회복, 공격)에 따른 기본적인 전투 방법을 훈련할 수 있습니다. 현재 역할 및 훈련 진도에 알맞은 훈련 내용이 주어집니다.",66,12,2,30,8
71,아이템 설정,아이템에 관한 설정 화면을 표시합니다.,68,0,0,0,0
72,레이드 찾기,최신 고난도 임무에 도전할 수 있습니다. 정해진 인원을 채우지 않아도 조건을 상세히 설정하면 같은 목적을 가진 플레이어끼리 자동으로 파티를 맺어 임무에 참가할 수 있습니다.,69,6,2,24,2
73,전투 시작 초읽기,"전투를 시작하기 전에, 원하는 시간만큼 초읽기를 설정하여 자신 및 파티원과 연합 파티원에게 표시할 수 있습니다.",70,7,5,52,6
74,최근 파티,최근에 만난 파티원 목록입니다. 목록에 있는 캐릭터에게 친구 신청을 할 수 있습니다.,71,11,6,63,8
75,탈것 속도,탈것의 지상 이동 속도를 지역별로 확인할 수 있습니다.,72,2,4,41,-2
76,임무 다시보기,"다시보기 녹화 설정을 변경하거나, 녹화한 기록을 재생할 수 있습니다.",73,10,2,28,6
77,초코보 가방,"자신의 소지품을 초코보 가방으로 옮기거나 꺼낼 수 있습니다.
임무 중에는 이용할 수 없습니다.",74,9,1,9,3
78,PvP팀,소속한 PvP팀의 정보를 확인할 수 있습니다.,75,6,6,58,3
79,다시보기 준비 확인,다시보기 녹화에 대한 준비 확인과 전투 시작 초읽기를 실행합니다. 녹화 가능한 임무에서만 이용할 수 있습니다.,76,5,5,50,4
80,서버 초월 링크셸,서버 초월 링크셸을 만들거나 현재 소속된 서버 초월 링크셸을 확인할 수 있습니다. 다른 서버에 있는 구성원을 서버 초월 파티에 초대할 수도 있습니다.,77,8,6,60,5
81,청마도서,"청마법 체득 상황을 확인하거나, 활성화할 청마법을 선택합니다.",78,15,1,15,9
82,트러스트,NPC의 환영체와 함께 일반 던전을 공략할 수 있습니다.,79,9,2,27,5
83,테마 설정,인터페이스 테마를 변경할 수 있습니다.,80,0,0,0,0
84,돌발 임무 달성도,특정 지역의 돌발 임무 달성 기록 목록입니다. 해당 지역의 돌발 임무에서 최고 평가를 받으면 내용이 갱신됩니다.,81,3,4,42,-1
85,동아리,동아리를 만들거나 가입한 동아리의 정보를 확인할 수 있습니다.,82,9,6,61,6
86,동아리 찾기,모집 중인 동아리를 검색하거나 동아리에 가입할 수 있습니다.,83,2,6,54,-1
87,중요 아이템,중요 아이템을 확인할 수 있습니다.,85,2,2,20,-2
88,임무 다시하기,완료한 퀘스트를 다시 플레이할 수 있습니다.,84,11,2,29,7
89,패션 소품,가지고 있는 패션 소품 목록입니다. 패션 소품을 열람하거나 사용할 수 있습니다.,86,14,1,14,8
90,공식 홈페이지,파이널판타지14 공식 홈페이지 목록입니다.,87,2,7,68,-3
91,임무 지원,지원 NPC와 함께 일반 던전을 공략할 수 있습니다.,89,8,2,26,4
92,초상화,초상화 목록을 봅니다. 각 장비세트의 초상화를 편집할 수 있습니다.,88,4,1,3,-2
93,모험가 카드,캐릭터 정보를 표시하는 기능입니다. 자기소개나 카드 디자인 등을 설정할 수 있습니다.,90,3,1,4,-3
94,특수 던전 탐색,변형 던전 등의 특수 던전을 탐색하기 위한 설정과 참가 신청을 할 수 있습니다. 변형 던전에서 수집한 이야기 모음을 읽을 수도 있습니다.,91,7,2,25,3
95,얼굴 소품,캐릭터가 장비하는 안경 등의 모양이나 색깔을 설정할 수 있습니다.,92,13,1,13,7
96,대화 차단 목록 관리,대화를 차단한 캐릭터의 목록입니다. 대화 차단 목록에 등록하면 그 캐릭터가 한 말이 표시되지 않습니다.,93,13,6,65,10
97,단어 필터 관리,"대화창에서 표시하지 않을 단어의 목록입니다. 새 단어를 등록하거나, 단어를 수정하거나 삭제할 수 있습니다.",94,14,6,66,11
98,,,0,0,0,0,0
