key,0,1,2,3,4,5,6,7
#,Name,Description,Icon,Action,Pet,,,
int32,str,str,Image,Action,Pet,bit&01,bit&02,bit&04
0,"","",405,0,0,False,True,False
1,"귀환","소환수를 돌려보냅니다.",530,0,0,False,True,False
2,"추종","소환수가 자기를 따라다니게 합니다.",529,0,0,False,True,False
3,"이동","소환수를 지정 지점까지 이동시킵니다.",527,0,0,False,True,False
4,"대기","소환수를 그 자리에서 대기시킵니다.",528,0,0,False,True,False
5,"공격","자신이 공격하거나 공격당하기 전에는 전투를 시작하지 않도록 명령합니다.",531,0,0,False,True,False
6,"평화","소환수에게 자신이 지시를 내릴 때까지 전투 행동을 하지 않도록 명령합니다.",532,0,0,False,True,False
7,"자유 전투","소환수가 자유롭게 공격하도록 합니다.",525,0,0,False,True,False
8,"지시 전투","소환수가 자유롭게 공격하도록 합니다. 단, 일부 기술은 명령을 받을 때까지 실행하지 않습니다.",786,0,0,True,False,False
9,"돌풍","대상에게 바람속성 마법 공격을 가합니다.  <UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>위력<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90",786,637,1,True,False,False
10,"날리기","대상에게 바람속성 마법 공격을 가하고 15m 밀쳐냅니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>위력<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>지시 전투<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 상태일 때는 명령을 받을 때까지 실행하지 않습니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",786,638,1,True,False,False
11,"하강 기류","대상과 그 주위 적에게 바람속성 범위 마법 공격을 가합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>위력<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>지시 전투<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 상태일 때는 명령을 받을 때까지 실행하지 않습니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",786,639,1,True,False,False
12,"에메랄드의 광휘","15초 동안 대상이 받는 마법 피해량이 10% 증가합니다.
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>지시 전투<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 상태일 때는 명령을 받을 때까지 실행하지 않습니다.",786,640,1,True,False,False
13,"할퀴기","대상에게 땅속성 마법 공격을 가합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>위력<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>추가 효과<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 적개심 상승",786,633,2,True,False,False
