#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
0,,,,,0,1,1
1,말하기,LogChatBubbleSayShowType,LogChatBubbleSayFontColor,LogChatBubbleSayWindowColor,0,1,1
2,떠들기,LogChatBubbleYellShowType,LogChatBubbleYellFontColor,LogChatBubbleYellWindowColor,1,1,2
3,외치기,LogChatBubbleShoutShowType,LogChatBubbleShoutFontColor,LogChatBubbleShoutWindowColor,2,1,3
4,귓속말,LogChatBubbleTellShowType,LogChatBubbleTellFontColor,LogChatBubbleTellWindowColor,3,1,4
5,파티,LogChatBubblePartyShowType,LogChatBubblePartyFontColor,LogChatBubblePartyWindowColor,4,1,5
6,연합 파티,LogChatBubbleAllianceShowType,LogChatBubbleAllianceFontColor,LogChatBubbleAllianceWindowColor,5,1,6
7,자유부대,LogChatBubbleFcShowType,LogChatBubbleFcFontColor,LogChatBubbleFcWindowColor,6,1,7
8,초보자,LogChatBubbleBeginnerShowType,LogChatBubbleBeginnerFontColor,LogChatBubbleBeginnerWindowColor,24,1,8
9,PvP팀,LogChatBubblePvpteamShowType,LogChatBubblePvpteamFontColor,LogChatBubblePvpteamWindowColor,7,1,7
10,링크셸[1],LogChatBubbleLs1ShowType,LogChatBubbleLs1FontColor,LogChatBubbleLs1WindowColor,16,1,8
11,링크셸[2],LogChatBubbleLs2ShowType,LogChatBubbleLs2FontColor,LogChatBubbleLs2WindowColor,17,1,8
12,링크셸[3],LogChatBubbleLs3ShowType,LogChatBubbleLs3FontColor,LogChatBubbleLs3WindowColor,18,1,8
13,링크셸[4],LogChatBubbleLs4ShowType,LogChatBubbleLs4FontColor,LogChatBubbleLs4WindowColor,19,1,8
14,링크셸[5],LogChatBubbleLs5ShowType,LogChatBubbleLs5FontColor,LogChatBubbleLs5WindowColor,20,1,8
15,링크셸[6],LogChatBubbleLs6ShowType,LogChatBubbleLs6FontColor,LogChatBubbleLs6WindowColor,21,1,8
16,링크셸[7],LogChatBubbleLs7ShowType,LogChatBubbleLs7FontColor,LogChatBubbleLs7WindowColor,22,1,8
17,링크셸[8],LogChatBubbleLs8ShowType,LogChatBubbleLs8FontColor,LogChatBubbleLs8WindowColor,23,1,8
18,서버 초월 링크셸 [1],LogChatBubbleCwls1ShowType,LogChatBubbleCwls1FontColor,LogChatBubbleCwls1WindowColor,8,1,8
19,서버 초월 링크셸 [2],LogChatBubbleCwls2ShowType,LogChatBubbleCwls2FontColor,LogChatBubbleCwls2WindowColor,9,1,8
20,서버 초월 링크셸 [3],LogChatBubbleCwls3ShowType,LogChatBubbleCwls3FontColor,LogChatBubbleCwls3WindowColor,10,1,8
21,서버 초월 링크셸 [4],LogChatBubbleCwls4ShowType,LogChatBubbleCwls4FontColor,LogChatBubbleCwls4WindowColor,11,1,8
22,서버 초월 링크셸 [5],LogChatBubbleCwls5ShowType,LogChatBubbleCwls5FontColor,LogChatBubbleCwls5WindowColor,12,1,8
23,서버 초월 링크셸 [6],LogChatBubbleCwls6ShowType,LogChatBubbleCwls6FontColor,LogChatBubbleCwls6WindowColor,13,1,8
24,서버 초월 링크셸 [7],LogChatBubbleCwls7ShowType,LogChatBubbleCwls7FontColor,LogChatBubbleCwls7WindowColor,14,1,8
25,서버 초월 링크셸 [8],LogChatBubbleCwls8ShowType,LogChatBubbleCwls8FontColor,LogChatBubbleCwls8WindowColor,15,1,8
