key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,,,,,,,,,,,,,,
int32,str,str,str,str,str,byte,byte,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32
0,"서포트 자유직","서포트 자유직","","어느 모험가의 출발점이자 종착점의 기억.
탐색에 유용한 서포트 기술을 습득한다.","Phantom Freelancer",24,24,5,41650,10,41651,15,46606,20,49102,0,0
1,"서포트 나이트","서포트 나이트","","어느 기사의 충성심과 명예의 기억.
아군의 피해를 줄이는 서포트 기술을 습득한다.","Phantom Knight",6,1,1,41588,2,41589,3,41590,6,41591,0,0
2,"서포트 버서커","서포트 버서커","","어느 광전사의 만용과 열광의 기억.
위험성이 높지만 강력한 서포트 기술을 습득한다.","Phantom Berserker",3,7,1,41592,2,41594,0,0,0,0,0,0
3,"서포트 몽크","서포트 몽크","","어느 승려의 수행과 명상의 기억.
공격에 특화된 서포트 기술을 습득한다.","Phantom Monk",6,2,1,41595,2,41596,3,41597,5,41598,0,0
4,"서포트 사냥꾼","서포트 사냥꾼","","어느 사냥꾼의 긍지와 자애의 기억.
동물들의 힘을 빌리는 서포트 기술을 습득한다.","Phantom Ranger",6,8,1,41599,2,41600,4,41601,6,41602,0,0
5,"서포트 사무라이","서포트 사무라이","","어느 사무라이의 무사도와 단련의 기억.
일격필살의 서포트 기술을 습득한다.","Phantom Samurai",5,6,1,41603,2,41604,3,41605,4,41606,0,0
6,"서포트 음유시인","서포트 음유시인","","어느 음유시인의 시상과 열창의 기억.
다채로운 노래를 연주하는 서포트 기술을 습득한다.","Phantom Bard",4,18,1,41608,2,41609,3,41607,4,41610,0,0
7,"서포트 풍수사","서포트 풍수사","","어느 풍수사의 자연과 만물의 기억.
날씨에 따라 효과가 변하는 서포트 기술을 습득한다.","Phantom Geomancer",5,17,1,41611,2,41612,3,41619,4,41620,0,0
8,"서포트 시마도사","서포트 시마도사","","어느 시마도사의 법칙과 진리의 기억.
시간을 조종하는 시마법 서포트 기술을 습득한다.","Phantom Time Mage",5,12,1,41621,2,41623,3,41624,4,41622,5,41625
9,"서포트 포격사","서포트 포격사","","어느 포격사의 탄도학과 전술의 기억.
다양한 효과를 가진 탄을 쏘는 서포트 기술을 습득한다.","Phantom Cannoneer",6,22,1,41626,2,41627,3,41628,4,41629,6,41630
10,"서포트 약사","서포트 약사","","어느 약사의 조합과 약효의 기억.
효과가 좋은 약품을 쓰는 서포트 기술을 습득한다.","Phantom Chemist",4,16,1,41631,2,41633,3,41634,4,41635,0,0
11,"서포트 예언사","서포트 예언사","","어느 예언사의 영감과 계시의 기억.
시간차로 효과가 나타나는 서포트 기술을 습득한다.","Phantom Oracle",5,21,1,41636,2,41641,3,41642,4,41643,5,41644
12,"서포트 도적","서포트 도적","","어느 도적의 의협심과 특기의 기억.
특수한 탐색 기술을 포함한 서포트 기술을 습득한다.","Phantom Thief",6,3,1,41646,2,41645,3,41647,4,41648,5,41649
13,"서포트 마법검사","서포트 마법검사","","어느 마법검사의 연구와 기술의 기억.
무기에 마법을 깃들게 하는 서포트 기술을 습득한다.","Phantom Mystic Knight",4,9,1,46591,2,46590,3,46592,4,46593,0,0
14,"서포트 검투사","서포트 검투사","","어느 검투사의 전투와 불굴의 기억.
공격과 방어를 겸비한 전투술을 다루는 서포트 기술을 습득한다.","Phantom Gladiator",4,23,1,46594,2,46595,3,46596,4,46597,0,0
15,"서포트 무도가","서포트 무도가","","어느 무도가의 긍지와 고양의 기억.
다채로운 효과를 발휘하는 춤을 추는 서포트 기술을 습득한다.","Phantom Dancer",4,19,1,46598,2,46603,3,46604,4,46605,0,0
16,"서포트 닌자","서포트 닌자","","어느 닌자의 암약과 인내의 기억.
다양한 상황에서 도움이 되는 인술 서포트 기술을 습득한다.","Phantom Ninja",6,5,1,49062,2,49063,3,49064,4,49065,6,49066
17,"서포트 백마도사","서포트 백마도사","","어느 백마도사의 헌신과 치유의 기억.
치유의 힘을 발휘하는 백마법 서포트 기술을 습득한다.","Phantom White Mage",5,10,1,49067,2,49068,3,49069,4,49070,5,49071
18,"서포트 흑마도사","서포트 흑마도사","","어느 흑마도사의 연구와 검증의 기억.
파괴의 힘을 발휘하는 흑마법 서포트 기술을 습득한다.","Phantom Black Mage",5,11,1,49072,2,49073,3,49074,4,49075,5,49076
19,"서포트 용기사","서포트 용기사","","어느 용기사의 수행과 편력의 기억.
가볍게 도약해 적을 꿰뚫는 서포트 기술을 습득한다.","Phantom Dragoon",4,4,1,49077,2,49078,3,49079,0,0,0,0
20,"서포트 소환사","서포트 소환사","","어느 소환사의 연구와 실전의 기억.
공격 및 방어에서 활약하는 환수를 소환하는 서포트 기술을 습득한다.","Phantom Summoner",5,13,1,49080,2,49081,3,49082,4,49083,5,49084
21,"서포트 청마도사","서포트 청마도사","","어느 청마도사의 견문과 집착의 기억.
마물의 힘을 저주로 사용하는 서포트 기술을 습득한다.","Phantom Blue Mage",3,14,1,49085,1,49086,1,49087,2,49088,3,49090
22,"서포트 적마도사","서포트 적마도사","","어느 적마도사의 방랑과 기지의 기억.
백마법과 흑마법을 노련하게 다루는 서포트 기술을 습득한다.","Phantom Red Mage",6,15,1,49092,2,49093,3,49094,4,49095,5,49096
23,"서포트 강령술사","서포트 강령술사","","어느 강령술사의 모독과 집념의 기억.
죽음을 초월하여 싸우는 서포트 기술을 습득한다.","Phantom Necromancer",5,20,1,49097,2,49098,3,49099,4,49100,5,49101
