#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,불멸대 이병,,이병,,0,0,0,0,0,0
2,불멸대 일병,,일병,,0,0,0,0,0,0
3,불멸대 상병,,상병,,0,0,0,0,0,0
4,불멸대 병장,,병장,,0,0,0,0,0,0
5,불멸대 하사,,하사,,0,0,0,0,0,0
6,불멸대 중사,,중사,,0,0,0,0,0,0
7,불멸대 상사,,상사,,0,0,0,0,0,0
8,불멸대 원사,,원사,,0,0,0,0,0,0
9,불멸대 소위,,소위,,0,0,0,0,0,0
10,불멸대 중위,,중위,,0,0,0,0,0,0
11,불멸대 대위,,대위,,0,0,0,0,0,0
12,불멸대 소령,,소령,,0,0,0,0,0,0
13,불멸대 중령,,중령,,0,0,0,0,0,0
14,불멸대 대령,,대령,,0,0,0,0,0,0
15,불멸대 준장,,준장,,0,0,0,0,0,0
16,불멸대 소장,,소장,,0,0,0,0,0,0
17,불멸대 중장,,중장,,0,0,0,0,0,0
18,불멸대 대장,,대장,,0,0,0,0,0,0
19,불멸대 투성,,투성,,0,0,0,0,0,0
