key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,Item{1},Item{2},PlaceName,,Objective{1},PopRange[0],RequiredAmount{1},,,Objective2,PopRange[1],RequiredAmount{2},,,Objective3,PopRange[2],,,,,Image,,,,,
int32,EventItem,EventItem,PlaceName,uint16,SkyIsland2MissionDetail,uint32,byte,uint32,byte,SkyIsland2MissionDetail,uint32,byte,uint32,byte,SkyIsland2MissionDetail,uint32,byte,uint32,byte,uint32,Image,str,str,str,str,str
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
5,0,0,0,0,10,0,0,0,0,11,0,0,0,0,12,0,0,0,0,6710323,111102,"탐사 임무: 디아뎀 제도 자원 조사","표류 유적이 출현한 후 속성의 힘이 급속도로 흐트러져 디아뎀 제도의 환경이 급변했다. 이에 모험가 제군의 도움을 받아 대규모 자원 조사를 실시하고자 한다.
광물 캐기, 나무 베기, 낚시 등 수단을 가리지 말고 자유로이 채집 활동을 해주길 바란다. 채집한 성과물은 본인이 가져도 무방하다. 필요한 건 자원 자체가 아니라 그에 관한 정보이기 때문이다.

※ 채집이나 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 자원 조사가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
풍요호 좌초 지점에 와서 보상을 수령하도록.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
7,2002042,2002045,0,0,13,6798633,4,0,0,20,6798655,4,0,0,25,6710324,1,0,0,6710323,111101,"탐사 임무: 과다성 크리스탈 수집","속성의 힘이 급변하는 디아뎀 제도에서는 에테르 결정화가 진행되고 있다. 강력한 속성의 힘을 띤 이 크리스탈은 중요한 자원이 될 수도 있으므로, 모험가 제군에게 이 '과다성 크리스탈' 수집을 의뢰하고자 한다. 수집한 자원은 '풍요호 좌초 지점'에 있는 '아유나르트 가 비행사'에게 납품하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
8,0,0,0,0,61,6710332,3,0,0,86,6710294,3,0,0,71,6710302,3,0,0,6887965,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
9,0,0,0,0,80,6710307,3,0,0,85,6710345,3,0,0,94,6710345,2,0,0,6887983,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
예상 밖의 강적이 나타났으나, 제거된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
