key,0,1,2,3,4,5
#,,,,,,
int32,str,str,str,str,str,str
0,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
1,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
2,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
3,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
4,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
5,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
6,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
7,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
8,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
9,"흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리","흑와단의 햇병아리","쌍사당의 햇병아리","불멸대의 햇병아리"
10,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
11,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
12,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
13,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
14,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
15,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
16,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
17,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
18,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
19,"흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지","흑와단의 하룻강아지","쌍사당의 하룻강아지","불멸대의 하룻강아지"
20,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
21,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
22,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
23,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
24,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
25,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
26,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
27,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
28,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
29,"흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이","흑와단의 애송이","쌍사당의 애송이","불멸대의 애송이"
30,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
31,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
32,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
33,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
34,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
35,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
36,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
37,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
38,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
39,"흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개","흑와단의 사냥개","쌍사당의 사냥개","불멸대의 사냥개"
40,"흑와단의 사냥꾼","쌍사당의 사냥꾼","불멸대의 사냥꾼","흑와단의 사냥꾼","쌍사당의 사냥꾼","불멸대의 사냥꾼"
41,"흑와단의 사냥꾼","쌍사당의 사냥꾼","불멸대의 사냥꾼","흑와단의 사냥꾼","쌍사당의 사냥꾼","불멸대의 사냥꾼"
42,"흑와단의 사냥꾼","쌍사당의 사냥꾼","불멸대의 사냥꾼","흑와단의 사냥꾼","쌍사당의 사냥꾼","불멸대의 사냥꾼"
