key,0,1,2
#,Icon,Name,Description
int32,Image,str,str
0,0,"",""
1,216801,"마법 효과: 실명","아군 전원의 명중률이 감소합니다."
2,216802,"마법 효과: 최대 HP 감소","아군 전원의 최대 HP가 감소합니다."
3,216803,"마법 효과: 주는 피해량 감소","아군 전원의 공격 피해량이 감소합니다."
4,216804,"마법 효과: 능력 사용불가","아군 전원이 능력을 사용할 수 없습니다."
5,216805,"마법 효과: 헤이스트","아군 전원의 자동 공격 주기, 무기 기술 및 마법 재사용 대기 시간이 단축됩니다."
6,216806,"마법 효과: 최대 HP/MP 증가","아군 전원의 최대 HP와 최대 MP가 증가합니다."
7,216807,"마법 효과: 아이템 사용 금지","아군 전원이 아이템 및 일부 특수 아이템을 사용할 수 없습니다."
8,216808,"마법 효과: 전력 질주 금지","아군 전원이 전력 질주를 사용할 수 없습니다."
9,216809,"마법 효과: 밀쳐내기 금지","아군, 적군 모두 밀쳐내기와 끌어당기기 효과를 받지 않습니다."
10,216810,"마법 효과: HP 자연 회복 금지","아군 전원의 HP가 자동으로 회복되지 않습니다."
11,216811,"마법 효과: 요마의 안개","요마의 안개에 휩싸여 모든 적의 공격 피해량과 이동 속도가 상승하고, 받는 피해량이 감소합니다."
12,216812,"마법 효과: 전력 질주","아군 전원의 이동 속도가 상승합니다."
13,216813,"마법 효과: 마석 금지","아군 전원이 마석을 사용할 수 없습니다."
14,216814,"마법 효과: 데미클론 금지","아군 전원이 데미클론을 사용할 수 없습니다."
15,216815,"마법 효과: 노간주나무 향 금지","아군 전원이 노간주나무 향을 사용할 수 없습니다."
