#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
1,제1호,우주 개척 계획 개시,"저 레포팅웨이가 붓을 잡고 이 우주 개척 계획이 나아갈 탐색의 발자취를 기록하게 되었습니다.
앞으로 잘 부탁드립니다.

자, 서칭웨이 주임이 세운 장대한 계획이 드디어 시작되었습니다!
달에서 바깥 우주로 향하는 항구가 되었으면 하는 바람으로 설치한 '달 관문 기지'에는 몇몇 기기들만 가져다 놓았을 뿐입니다.
월면 그리고 다른 별에 있을 광활한 대지를 달리게 될지도 모르는 중장비가 대기하는 격납고와 계획에 협력해 주시는 여러분께서 사용할 비품을 취급하는 상점 같은 기능을 우선 임시로 갖춰 놓았지요.

으음, 그런데 이곳 동경의 만에는 드물게 소운석군도 쏟아진다는군요…….
우주에서 활동할 때 사용할 생각에 튼튼한 천으로 만들었다고는 하지만, 아무래도 임시 천막은 불안합니다!
그래서 아이테리스에서 오신 협력자 여러분의 힘을 빌려, 월면 기지를 쭉쭉 정비해 나가고자 합니다!"
2,제2호,달 관문 기지 확장,"아이테리스에서 협력자분들이 잇따라 도착하고 있습니다!
라비린토스에서 방주계획에 관여했던 연구자, 샬레이안 마법대학에서 최신 우주론에 도전하는 교수진, 거기에다 유명한 조달꾼과 모험가와 장인들까지, 정말 다채로운 분들이 모였지요! 그분들이 노력해 주신 덕분에 달 관문 기지의 기본 시설도 점점 갖춰지고 있습니다!

임시 천막도 지금은 강화 금속으로 만든 튼튼한 지붕으로 바뀌었습니다! 이제 귀중한 물자를 낙하물에서 지킬 수 있으니, 안심하고 계획에 매진할 수 있겠군요.

여러분 덕분에 우주 개척 계획의 출발은 매우 순조롭습니다. 우선 달 관문 기지 주변을 발판으로 삼아, 동경의 만 각 방면을 탐색해 봅시다."
3,제3호,우주 라이너 최초 개통,"우리 레포릿이 오랜 세월 동안 생활해 왔던 월면을 이제 와서 '탐색'한다고 하니 조금 이상할지도 모르겠습니다.
하지만 이곳 동경의 만에서 벌이는 모든 활동은, 바깥 우주 탐사의 출발 지점을 정비하려는 목적뿐만 아니라 다른 별로 진출한 후에 어떻게 해야 할지 연습하려는 목적도 있습니다.

이번에 완성한 '우주 라이너'도 다른 별에서 운용할 것을 상정한 이동 설비라고 합니다.
다른 별에서 지맥이 안정적이리라는 보장이 없으니, 전송 마법에 의존하지 않는 고속 이동 수단이 필요할 것으로 판단했다는군요.
우선 동경의 만 전역에 '우주 라이너'를 설치하여 안정적으로 운용해 보고자 합니다."
4,제4호,거주 모듈 및 우주 공항 준공,"아이테리스에서 오신 협력자 여러분에게 제공할 '거주 모듈'과 우주선 발착장인 '우주 공항'이 준공되었습니다!
아직은 두 곳 다 최소한의 기능만 갖추고 있지만, 앞으로 점점 확대해 나갈 계획입니다.

거주 모듈은 '스마일턴'에서 맛본 실패를 교훈 삼아 건설했으니, 목숨을 잃을 위험 없이 그런대로 편안하게 생활할 수 있을 겁니다!

그리고 우주 공항은 최신 에테르학의 연구 성과를 적용해서 설계했답니다. 우주 공간에 있는 희박한 에테르의 흐름…… 이른바 '주맥'으로 우주선을 정확히 유도하는 기능을 탑재했습니다.
아직 토대만 완성했을 뿐이지만, 다른 별 여행에 한발 다가서게 되었습니다!"
5,제5호,로더 격납고 개량,"행성 탐색과 각종 작업을 효율적으로 진행하기 위해, 우리 레포릿과 인간 연구자가 공동 개발한 비밀 로봇이…… 바로 신형 로더입니다!

로더는 이미 기체 작전에서 활약 중이지만, 지금까지는 천막 아래에 보관하다 보니 먼지나 낙하물 탓에 고장 나는 경우도 있었다더군요.
하지만 물자함 형태의 격납고가 완성된 덕분에 이제는 환경의 영향을 받지 않을 겁니다.
더욱 고도의 정비도 할 수 있게 되었다고 했으니 가동 효율도 점차 개선되겠지요!"
6,제6호,북서 구역으로 우주 라이너 연장,"동경의 만 북서부 '조롱박 만' 구역까지 우주 라이너가 연장되었습니다!

더불어 중계 지점에는 더욱 먼 구역을 탐색할 때 거점 역할을 할 수 있도록, 작업원 휴식 시설과 로더 에너지 보급소 같은 각종 설비를 마련해 놓았습니다.
우주 라이너를 타고 각 구역의 거점에 갔을 때는 그런 기능에도 주목해 주세요!"
7,제7호,남동 구역으로 우주 라이너 연장,"동경의 만 남동부 '웨딩웨이의 식장' 구역까지 우주 라이너가 연장되었습니다!

이 구역은 토양 개량 실험장으로, 식물이 잘 자라지 않는 달의 지질에 영양제를 투여하고 있다고 합니다.
계획 책임자는 웨딩웨이라는 레포릿인데, 샬레이안에서 오신 식물학자와 함께 다양한 식물과 균류를 시험적으로 번식시키고 교잡한다더군요. 비탄의 바다에서 별난 균류를 돌보는 러빙웨이도 드나든다는 소문이 있던데…… 그래서 균류만 눈에 띄는 걸까요?"
8,제8호,피어싱웨이 터널 개통,"남서부 구덩이인 빛나는 산을 관통하는 '피어싱웨이 터널'이 개통되었습니다!

빛나는 산은 매우 단단한 크리스탈층과 부드러운 암반이 섞여 있지요. 그래서 이번 터널 공사는 우리의 기술력을 확인하기 아주 좋은 기회였습니다.
샬레이안 연구자와 함께 새로운 실드 공법을 개발하여 무사히 개통에 성공했답니다.
이번 공사에서 얻은 경험은 다른 별을 탐색할 때도 분명히 도움이 될 겁니다!"
9,제9호,터널 안쪽 구역으로 우주 라이너 연장,"동경의 만 남서부 '피어싱웨이 터널' 안쪽 구역까지 우주 라이너가 연장되었습니다!

빛나는 산 안쪽에서는 특수한 광물 자원을 채굴할 수 있을 것으로 기대되며, 과거에 추락한 고대 알라그 문명의 유물도 확인되었다고 합니다. 잘만 사용한다면 우주 개척 계획을 더욱 발전시킬 수 있을 겁니다."
10,제10호,달 관문 기지 추가 확장,"세상에나, 마치 월면에 새로운 도시가 보이는 듯하군요. 여러분 덕분에 달 관문 기지의 추가 설비 확장이 완료되었습니다!

이번 확장에서는 분산되어 있던 각 시설을 더욱 효율적으로 연동시키기 위해 통로와 격벽, 배관 등을 정비했습니다.
그리고 주거 환경도 개선한 데다 비품 공급소도 개조했으니, 협력자 여러분도 꼭 방문해 보세요.

하지만 아직 풀어야 할 과제가 남아 있는 것도 사실이지요. 이 기지 시설은 앞으로도 더욱 확장될 겁니다!"
11,제11호,기반 시설 관련 설비 준공,"여러분이 협력해 주신 덕분에 새로운 발뢰 설비와 급수 시설이 완성되었습니다!

그중에서도 특히 막내한 뇌력을 생산하는 '동력 공급관'은 우주선 운용에 꼭 필요한 시설이기에 우주 개척 계획에서 중요한 의미가 있습니다.
더불어 마법샘에서 퍼 올린 물을 중앙 크리스탈의 힘으로 정수하는 '수자원관' 가동에 성공하여 마실 물을 쉽게 확보할 수 있게 된 것도 큰 수확이지요.
말 그대로 생명줄을 확보했다고 할 수 있겠군요!"
12,제12호,로더 격납고 및 우주 공항 완성,"드디어 로더 격납고와 우주 공항이 완성되었습니다!

각 시설에는 동력 공급관의 지하 송뢰선이 연결되어 있어, 로더와 우주선에 언제든지 에너지를 공급할 수 있는 체계가 완벽하게 갖춰졌습니다.
한편으로 공급관에 문제가 생겼을 때를 대비해서, 로더 격납고와 우주 공항에도 유사시에 사용할 수 있는 소형 보조 발뢰 설비를 설치했다고 하더군요.
늘 최악의 사태를 고려하는 건 중요한 일이지요!"
13,제13호,월면 지하 승강기 개통,"동경의 만 북동부의 균열 아래에 있는 공간으로 내려가는 '월면 지하 승강기'가 개통되었습니다!

이 공간은 무인기 조사로 발견되었는데요, 다른 별 탐사의 시범 사례로 삼고자 경로를 확보하고 자원을 채굴하기로 했습니다.
터널을 공사하며 얻은 지식을 최대한 활용하여 대형 중장비도 실을 수 있는 승강기를 설치한 경험은 관계자에게 커다란 자신감을 가져다줬을 겁니다.

그리고 바로 이 월면 지하 일대가 동경의 만에서 마지막으로 진입할 구역입니다.
계속해서 탐색 계획에 매진해 봅시다!"
14,제14호,월면 지하로 우주 라이너 연장,"동경의 만 북동부 '월면 지하' 구역까지 우주 라이너가 연장되었습니다!
이것으로 우주 라이너가 동경의 만 전역에 설치되었답니다!

공사는 다사다난했지만, 균류가 모여 있는 작은 동굴이나 마법샘 폭포에 손쉽게 이동할 수 있게 된 것은 커다란 수확이지요.
이런 경험은 다른 별을 탐색할 때도 큰 도움이 될 거라 확신합니다. 앞으로도 힘을 합쳐서 헤쳐 나갑시다!"
15,제15호,달깡충 도시 준공,"달 관문 기지 중앙에…… 세상에나, 마치 월면에 또 하나의 달이 뜬 것처럼 둥근 반구가 탄생했습니다!

이름하여 '달깡충 도시'!
월면에서 깡충 뛰어올라 더욱 빛나는 별들을 향해 떠나려는 우리들이 모인 새로운 도시…… 라는 뜻이 담겨 있다고 하더군요.

반구 모양 지붕을 덮어 운석이 중앙 크리스탈에 직격할 위험을 줄이는 동시에, 여러분이 안정감을 느낄 수 있도록 세심하게 고안하여 설계했다고 합니다.
여전히 연구원분들과 우리 레포릿이 바삐 돌아다니기는 하지만, 광장처럼 편히 쉴 수 있는 곳이 되었으면 좋겠습니다.
이곳 동경의 만의 중앙 시설이 완성되면 월면 탐색도 끝납니다.
협력해 주셔서 진심으로 감사드립니다!"
16,제16호,"달에서, 미지의 별들을 동경하며","모든 시설이 완성되었고, 우주 공항에는 우리가 만든 새로운 우주선이 모든 준비를 마친 상태로 대기하고 있습니다!

지금까지 정말 눈코 뜰 새 없이 바쁜 나날이었습니다.
하지만 서칭웨이 주임과 인간 여러분이 문득 머리 위에 까맣게 펼쳐진 하늘을 올려다보며 별빛을 눈동자에 담은 순간…… 그 아름다운 모습을 바라보기만 해도, 제가 일지에 빼곡히 묘사한 고생담은 전부 옛날 일이 되더군요.

자, 이제 다른 별로 날아가면 또다시 새로운 탐색이 시작될 겁니다!
저도 이 발자취에 뒷이야기를 적을 날을 즐겁게 기다리겠습니다!"
17,제1호,행성 파엔나 탐색 계획 시동,"지난번에 이어 저 레포팅웨이가 다시 한번 붓을 잡고 행성 파엔나에서의 행보를 기록해 나가고자 합니다.
독자 여러분, 이번에도 모쪼록 잘 부탁드립니다!

자, 우리 우주선 갤럭틱웨이호가 마침내 달에서 날아올라, 주맥 도약을 통해 '행성 파엔나'로 진출했습니다.
이 별을 첫 목적지로 선정한 이유는 바로 매장된 규소 자원이 풍부한 데다, 독자적인 환경이 우리의 탐색 욕구를 자극했기 때문이지요!

선발대의 활약에 힘입어, 동경의 만에서 구축 연습을 마친 설비를 갖추고 '유리직공 기지' 운영을 시작했습니다.
아직 반입한 자재가 많지 않다 보니 기능은 제한적이지만, 앞으로 협력자 여러분과 힘을 합쳐 기지를 확장하며 탐색을 진행하고자 합니다!"
18,제2호,유리직공 기지 확장,"갤럭틱웨이호를 최대한 활용하여 달에서 물자를 순조롭게 반입하고 있습니다!
여러분이 협력해 주신 덕분에 유리직공 기지의 설비도 점점 갖춰지는 중입니다.

본 기지의 가장 큰 특징은 유리비와 분진이 쏟아지는 행성 파엔나의 환경 때문에 거대한 바위굴 안에 건설되었다는 점이지요.
그렇지만 천장이 있는 공간은 한정되어 있으니, 시설은 계획적으로 배치해야 합니다!
다행히도 기술자 여러분이 열심히 고민하시는 모양이니, 틀림없이 근사한 기지가 완성될 겁니다."
19,제3호,우주 라이너 개통,"행성 파엔나에도 우주 라이너 설치가 시작되었습니다!
애초에 우주 라이너는 지맥이나 풍맥의 안정성이 보장되지 않은 외계 환경에서의 운용을 전제로 개발된 설비였습니다.
드디어 실제 환경에서 첫선을 보이게 되었군요!

특히 계획 기구에 소속된 연구자와 기술자 여러분이 완성을 고대하고 있다고 합니다.
협력해 주시는 모험가 여러분과는 다르게, 그분들은 대체로 근력이 부족하신 편이니까요.
누구든 정확하고 신속하게 목적지로 데려다주는 우주 라이너는 효율적으로 탐색 계획을 진행할 때 꼭 필요한 시설이라 할 수 있겠군요!
우선 기지 주변부터 정비해서, 이 일대 탐색에 도움이 되도록 합시다!"
