key,0,1,2
#,,,
int32,bit&01,str,str
0,False,"無効","無効"
100,True,"모험","발길 닿는 대로 여행하라"
101,True,"","처음 가는 곳에 행운이 있으리라"
102,True,"","탐험수첩을 펴고, 추억의 장소를 돌아보라"
103,True,"","날씨마저 도울 것이다"
104,True,"","사람이 특히 많은 도시에 가보라"
105,True,"","멀리 있는 찻집에서 만남이 있으리라"
106,True,"","덩치 큰 사람과 교류하라"
200,True,"인연","영웅으로서 신뢰와 명성을 얻을지니 크게 보답하라"
201,True,"","영원한 인연에 눈을 돌리면 행운이 있으리라"
202,True,"","동료에게 도움을 많이 받으니 고마움을 잊지 말라"
203,True,"","별이 이끄는 상대가 가까이에 있다"
204,True,"","동료와 걸음을 맞추면 행운이 따르리라"
205,True,"","친구가 늘 곁에 있을지니 미지의 땅도 두려워 말고 나아가라"
206,True,"","다양한 부족과 인연을 맺으면 황금빛 결실을 맺으리라"
300,True,"금전","욕심을 버리면 큰 수가 나와 전리품을 얻으리라"
301,True,"","일확천금의 기회가 있으니 오락장으로 가라"
302,True,"","행운이 따를지니 보물지도를 펼쳐라"
303,True,"","바라는 대로 될지니 주저 말고 보물 상자를 열라"
304,True,"","정직하게 장사하면 이익이 따르리라"
305,True,"","오랜 우정이 큰 보상을 가져다 주리라"
306,True,"","생각지도 못한 희귀품을 얻게 되니 집사를 치하하라"
400,True,"투쟁","강적과 싸울 만큼 성장하리니 마음 놓고 도전하라"
401,True,"","기술을 반복하면 진리를 깨달으리라"
402,True,"","전우를 살피면 성장의 열쇠를 얻는다"
403,True,"","새로운 직업으로 기술을 익히면 도약할 징조가 있다"
404,True,"","기술을 반복하면 진리를 깨달으리라"
405,False,"",""
406,False,"",""
500,True,"운세","전쟁신 같은 투쟁심이 있다면 항상 승리하리라"
501,True,"","달의 신 같은 자애심이 있다면 많은 사람들에게 사랑받으리라"
502,True,"","태양신 같은 열정이 있다면 목표로 가는 지름길이 보이리라"
503,True,"","해신 같은 결의가 있다면 순풍에 돛 단 듯 비약할 수 있으리라"
504,True,"","여행신 같은 호기심이 있다면 여행지에서 많은 기쁨을 얻으리라"
1100,True,"모험","혼자 하는 여행도 좋으니 각지를 돌며 평온한 시간을 보내라"
1101,True,"","강해진 상태로 탐구 여행에 다시 도전하면 새로운 발견이 있으리라"
1102,True,"","계절의 변화를 느끼며 축제에 참가하라"
1103,True,"","사람들의 목소리에 귀를 기울이면 새로운 이야기가 들리리라"
1104,True,"","미지의 땅을 방문하면 생각지 못한 발견을 하게 되리라"
1105,True,"","카드를 잘 꾸미면 새로운 만남이 있으리라"
1106,True,"","강한 빛이 내리쬐는 땅에서 좋은 모험을 하게 되리라"
1200,True,"인연","생각지 못한 만남이 있으리니 마음의 준비를 하라"
1201,True,"","일생에 한 번뿐인 인연에서 싹이 트리라"
1202,True,"","좋은 인연이 닿으리니 나서서 동료를 모으라"
1203,True,"","친구에게 도움을 받으리니 그 은혜를 갚을지어다"
1204,True,"","처음에는 결실을 맺기 어려우나 좋은 인연을 소개받으리라"
1205,True,"","별의 노래가 애정을 자라게 하니 기나긴 환상을 따라가라"
1206,True,"","때를 같이하여 협력하면 머나먼 별도 개척할 수 있으리라"
1300,True,"금전","오락장에서 큰 이익을 얻으리니 도량을 넓게 가질지어다"
1301,True,"","풍어의 기운이 있으니 배에 오르라"
1302,True,"","집 지을 운이 있으니 투자하라"
1303,True,"","옛것을 버리고 새것을 취하라"
1304,True,"","장사 기회를 제대로 잡는다면 견실한 부를 이루리라"
1305,True,"","초승달과 별들에 이끌려 여행하면 재산을 모으게 되리라"
1306,True,"","단골을 찾아가면 견실한 이득이 있으리라"
1400,True,"투쟁","거리낄 것 없으니 동료와 대련에 매진하라"
1401,True,"","지금 다루는 무기가 잘 맞으니 마음 편히 정진하라"
1402,True,"","패가 잘 돌아 덕망 높은 작패꾼이 될 수 있다"
1403,True,"","악명 높은 마물을 쫓아 각국을 돌면 행운이 따르리라"
1404,True,"","지금 다루는 무기가 잘 맞으니 마음 편히 정진하라"
1405,False,"",""
1406,False,"",""
1500,True,"운세","별의 신 같은 총명함이 있다면 모든 운명이 좋게 흐르리라"
1501,True,"","파괴신 같은 호방함이 있다면 강적도 쓰러뜨릴 수 있으리라"
1502,True,"","제작신 같은 발상력이 있다면 장인으로서 성장하리라"
1503,True,"","상업신 같은 명민함이 있다면 좋은 기회를 잡을 수 있다"
1504,True,"","대지신 같은 포용력이 있다면 새로운 인연이 싹트리라"
2100,True,"모험","자신의 신념을 관철하면 길이 열리리라"
2101,True,"","사건의 조짐이 있으니 사건해결사를 의지하라"
2102,True,"","지역 풍물이나 역사에 눈을 돌리면 새로운 발견을 하리라"
2103,True,"","단체로 자세를 잡고 여행의 추억을 남겨라"
2104,True,"","운명에 몸을 맡기면 성장하리라"
2105,True,"","외딴 섬에서 평온하게 지내라"
2106,True,"","'12'와 관련된 곳으로 가라"
2200,True,"인연","감사를 잊지 않으면 좋은 인연이 닿으리라"
2201,True,"","지금 곁에 있는 동료가 최고의 보물이니 더더욱 소중하게 여겨라"
2202,True,"","이국에서 동지를 만나리니 두려워 말고 교류하라"
2203,True,"","손짓 발짓으로 소통하면 마음이 통하리라"
2204,True,"","인연을 기다리지만 말고 모험가가 주최하는 모임에 참가하라"
2205,True,"","아낌없이 나누면 인덕의 도움을 받으리라"
2206,True,"","전우를 얻어 투기장의 정상을 향해라"
2300,True,"금전","티끌 모아 태산이니 일과를 게을리하지 말라"
2301,True,"","집을 옮기면 행운이 따를지니 기회를 놓치지 말라"
2302,True,"","산과 들에서 채집하면 이익이 있으리라"
2303,True,"","동료의 중개로 장사 기회를 잡으리라"
2304,True,"","하늘과 바다에 재물이 있으니 비공정이나 잠수함을 파견하라"
2305,True,"","훈련장에서 성과가 있으니 상배를 모아라"
2306,True,"","자원을 얻고자 한다면 기한을 잘 확인하라"
2400,True,"투쟁","음식과 약품을 꼼꼼하게 준비하면 이길 수 있다"
2401,True,"","힘겹게 이길 수 있으니 장비를 새로 갖춰라"
2402,True,"","이길 수 있으나 자만하면 질 것이다"
2403,True,"","역량은 충분하니 동료와 손발을 맞춰라"
2404,True,"","역량은 충분하니 동료와 손발을 맞춰라"
2405,False,"",""
2406,False,"",""
2500,True,"운세","시간신 같은 신념이 있다면 다른 이에게 현혹되지 않으리라"
2501,True,"","지식신 같은 지혜가 있다면 나쁜 일도 헤쳐 나갈 수 있으리라"
2502,True,"","전쟁신 같은 의지가 있다면 계속 싸워나갈 수 있으리라"
2503,True,"","달의 신 같은 시야가 있다면 대세를 읽을 수 있으리라"
2504,True,"","태양신 같은 호기가 있다면 동료를 이끌 수 있으리라"
