#,Objective,Requirement,Image,Unknown0,Order
0,,,0,100,0
1,천 마리 기원,달성 조건: 낚시 점수 2500점 이상 획득,65901,110,4
2,만 마리 기원,달성 조건: 낚시 점수 5000점 이상 획득,65902,120,5
3,진귀한 물고기,달성 조건: ★★★★ 물고기 낚기,65903,110,6
4,전설의 물고기,달성 조건: ★★★★★ 물고기 낚기,65904,120,7
5,줄줄이 낚시,달성 조건: 환해류 중에 15마리 이상 물고기 낚기,65905,110,8
6,풍어왕,달성 조건: 환해류 중에 35마리 이상 물고기 낚기,65906,120,9
7,풍어: 갈라디온 만,달성 조건: 갈라디온 만에서 파티 합계로 10종류 이상 물고기 낚기,65907,110,10
8,풍어: 멜토르 해협 남쪽,달성 조건: 멜토르 해협 남쪽에서 파티 합계로 10종류 이상 물고기 낚기,65908,110,13
9,풍어: 멜토르 해협 북쪽,달성 조건: 멜토르 해협 북쪽에서 파티 합계로 10종류 이상 물고기 낚기,65909,110,19
10,풍어: 로타노 해,달성 조건: 로타노 해에서 파티 합계로 10종류 이상 물고기 낚기,65910,110,22
11,전설의 낚시꾼들,달성 조건: 파티 합계로 3마리 이상 ★★★★★ 물고기 낚기,65911,150,31
12,리믈렌의 사랑스러운 아이,달성 조건: 자신이 환해류를 발생시킴,65912,110,32
13,문어 여행자,달성 조건: 파티 합계로 150마리 이상 문어 낚기,65913,120,33
14,상어 사냥꾼,달성 조건: 파티 합계로 200마리 이상 상어 낚기,65914,130,34
15,해파리 애호가,달성 조건: 파티 합계로 150마리 이상 해파리 낚기,65915,120,35
16,해마 기수,달성 조건: 파티 합계로 100마리 이상 해마 낚기,65916,110,36
17,초급 바다낚시꾼,달성 조건: 선상 과제 1개 달성,65923,105,1
18,중급 바다낚시꾼,달성 조건: 선상 과제 2개 달성,65924,110,2
19,상급 바다낚시꾼,달성 조건: 선상 과제 3개 달성,65925,120,3
20,풍선잡이,달성 조건: 파티 합계로 250마리 이상 복어 낚기,65917,130,37
21,게잡이배,달성 조건: 파티 합계로 250마리 이상 게 낚기,65918,130,38
22,가오가오리,달성 조건: 개인 합계로 25마리 이상 가오리 낚기,65919,120,39
23,풍어: 갈라디온 만,달성 조건: 갈라디온 만에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65907,110,11
24,풍어: 갈라디온 만,달성 조건: 갈라디온 만에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65907,110,12
25,풍어: 멜토르 해협 남쪽,달성 조건: 멜토르 해협 남쪽에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65908,110,14
26,풍어: 멜토르 해협 남쪽,달성 조건: 멜토르 해협 남쪽에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65908,110,15
27,풍어: 멜토르 해협 북쪽,달성 조건: 멜토르 해협 북쪽에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65909,110,20
28,풍어: 멜토르 해협 북쪽,달성 조건: 멜토르 해협 북쪽에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65909,110,21
29,풍어: 로타노 해,달성 조건: 로타노 해에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65910,110,23
30,풍어: 로타노 해,달성 조건: 로타노 해에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65910,110,24
31,풍어: 시엘달레 제도,달성 조건: 시엘달레 제도에서 파티 합계로 10종류 이상 물고기 낚기,65920,110,16
32,풍어: 시엘달레 제도,달성 조건: 시엘달레 제도에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65920,110,17
33,풍어: 시엘달레 제도,달성 조건: 시엘달레 제도에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65920,110,18
34,풍어: 붉은물결 바다,달성 조건: 붉은물결 바다에서 파티 합계로 10종류 이상 물고기 낚기,65921,110,25
35,풍어: 붉은물결 바다,달성 조건: 붉은물결 바다에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65921,110,26
36,풍어: 붉은물결 바다,달성 조건: 붉은물결 바다에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65921,110,27
37,풍어: 로들리트 만,달성 조건: 로들리트 만에서 파티 합계로 10종류 이상 물고기 낚기,65922,110,28
38,풍어: 로들리트 만,달성 조건: 로들리트 만에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65922,110,29
39,풍어: 로들리트 만,달성 조건: 로들리트 만에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65922,110,30
40,조개 수집가,달성 조건: 파티 합계로 350마리 이상 조개 낚기,65930,130,52
