key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"유적 랍토르",0,"",0,0,1,0,0
3,"암영양",0,"",0,0,1,0,0
4,"수영양",0,"",0,0,1,0,0
5,"오포오포",0,"",0,0,1,0,0
6,"여우원숭이",0,"",0,0,1,0,0
7,"각다귀",0,"",0,0,1,0,0
8,"말파리",0,"",0,0,1,0,0
9,"작은 거미전갈",0,"",0,0,1,0,0
10,"거미전갈",0,"",0,0,1,0,0
11,"독거미전갈",0,"",0,0,1,0,0
12,"대머리수리",0,"",0,0,1,0,0
13,"독수리",0,"",0,0,1,0,0
14,"야생 어린멧돼지",0,"",0,0,1,0,0
15,"야생 수퇘지",0,"",0,0,1,0,0
16,"야생 멧돼지",0,"",0,0,1,0,0
17,"벌룬",0,"",0,0,1,0,0
18,"좀비",0,"",0,0,1,0,0
19,"좀비 마법사",0,"",0,0,1,0,0
20,"마술 걸린 뼈다귀",0,"",0,0,1,0,0
21,"임프",0,"",0,0,1,0,0
22,"작은 넝쿨장미",0,"",0,0,1,0,0
23,"파리지옥",0,"",0,0,1,0,0
24,"나무정령",0,"",0,0,1,0,0
25,"드라이어드",0,"",0,0,1,0,0
26,"왕두꺼비",0,"",0,0,1,0,0
27,"닉스",0,"",0,0,1,0,0
28,"작은 커얼",0,"",0,0,1,0,0
29,"둘라한",0,"",0,0,1,0,0
30,"찰흙 골렘",0,"",0,0,1,0,0
31,"정신지배자",0,"",0,0,1,0,0
32,"코츄",0,"",0,0,1,0,0
33,"오츄",0,"",0,0,1,0,0
34,"금강거북",0,"",0,0,1,0,0
35,"톤베리",0,"",0,0,1,0,0
36,"바구미",0,"",0,0,1,0,0
37,"청설모",0,"",0,0,1,0,0
38,"검은박쥐",0,"",0,0,1,0,0
39,"나무 민달팽이",0,"",0,0,1,0,0
40,"검은장막 토끼거머리",0,"",0,0,1,0,0
41,"꽃등에 떼",0,"",0,0,1,0,0
42,"긴다리거미",0,"",0,0,1,0,0
43,"벼룩모기",0,"",0,0,1,0,0
44,"빈대모기",0,"",0,0,1,0,0
45,"윌 오 더 위스프",0,"",0,0,1,0,0
46,"플라스마 덩어리",0,"",0,0,1,0,0
47,"숲버섯",0,"",0,0,1,0,0
48,"두꺼비걸상버섯",0,"",0,0,1,0,0
49,"무당벌레",0,"",0,0,1,0,0
50,"고블린 깡패",0,"",0,0,1,0,0
51,"우두머리 아놀도마뱀",0,"",0,0,1,0,0
52,"붉은둔덕 감시병",0,"",0,0,1,0,0
53,"III대대 검투사",0,"",0,0,1,0,0
54,"말벌 떼",0,"",0,0,1,0,0
55,"저승파수꾼",0,"",0,0,1,0,0
56,"물 정령",0,"",0,0,1,0,0
57,"III대대 십인대장",0,"",0,0,1,0,0
58,"III대대 도끼투사",0,"",0,0,1,0,0
59,"III대대 창투사",0,"",0,0,1,0,0
60,"III대대 격투사",0,"",0,0,1,0,0
61,"III대대 군단기수",0,"",0,0,1,0,0
62,"날개도마뱀",0,"",0,0,1,0,0
63,"푸딩",0,"",0,0,1,0,0
64,"실프 소란쟁이",0,"",0,0,1,0,0
65,"실프 한숨쟁이",0,"",0,0,1,0,0
66,"실프 호통쟁이",0,"",0,0,1,0,0
67,"실피드 소란쟁이",0,"",0,0,1,0,0
68,"실피드 한숨쟁이",0,"",0,0,1,0,0
69,"실피드 호통쟁이",0,"",0,0,1,0,0
70,"실피드 노래꾼",0,"",0,0,1,0,0
71,"황혼의 실베리오",0,"",0,0,1,0,0
72,"강철의 병사",0,"",0,0,1,0,0
73,"절대왕 갈반스",0,"",0,0,1,0,0
74,"금강파쇄자",0,"",0,0,1,0,0
75,"아에리코",0,"",0,0,1,0,0
