key,0,1,2,3,4,5,6,7,8,9
#,Type,TimeLimit,MapIcon,Name,TextData{Start},TextData{End},,,ContentFinderCondition,AdditionalData
int32,byte,uint16,Image,str,PublicContentTextData,PublicContentTextData,uint16,uint32,ContentFinderCondition,Row
0,0,0,0,"",0,0,0,0,0,0
1,1,0,0,"영원한 언약식",1000,1143,0,0,0,0
2,2,0,60848,"트리플 트라이어드: 카드 대결장",0,0,0,0,195,0
3,3,180,60851,"금단의 땅 에우레카: 아네모스편",0,0,8,7207922,283,1
4,3,180,60851,"금단의 땅 에우레카: 파고스편",0,0,9,7516174,581,2
5,4,60,60831,"신생제 군사훈련",0,0,10,7536621,583,0
6,3,180,60851,"금단의 땅 에우레카: 피로스편",0,0,11,7646208,598,3
7,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,600,1
8,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,601,2
9,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,602,3
10,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,603,4
11,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,604,5
12,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,605,6
13,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,606,7
14,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,607,8
15,5,10,60848,"뛰어라! 점핑 운동회",3000,3003,0,0,608,9
16,0,0,0,"",0,0,0,0,0,0
