key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name{Rank},
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,"",0,"",0,0,0,0,0,"",""
1,"불멸대 이병",0,"",0,0,0,0,0,"이병",""
2,"불멸대 일병",0,"",0,0,0,0,0,"일병",""
3,"불멸대 상병",0,"",0,0,0,0,0,"상병",""
4,"불멸대 병장",0,"",0,0,0,0,0,"병장",""
5,"불멸대 하사",0,"",0,0,0,0,0,"하사",""
6,"불멸대 중사",0,"",0,0,0,0,0,"중사",""
7,"불멸대 상사",0,"",0,0,0,0,0,"상사",""
8,"불멸대 원사",0,"",0,0,0,0,0,"원사",""
9,"불멸대 소위",0,"",0,0,0,0,0,"소위",""
10,"불멸대 중위",0,"",0,0,0,0,0,"중위",""
11,"불멸대 대위",0,"",0,0,0,0,0,"대위",""
12,"불멸대 소령",0,"",0,0,0,0,0,"소령",""
13,"불멸대 중령",0,"",0,0,0,0,0,"중령",""
14,"불멸대 대령",0,"",0,0,0,0,0,"대령",""
15,"불멸대 준장",0,"",0,0,0,0,0,"준장",""
16,"불멸대 소장",0,"",0,0,0,0,0,"소장",""
17,"불멸대 중장",0,"",0,0,0,0,0,"중장",""
18,"불멸대 대장",0,"",0,0,0,0,0,"대장",""
19,"불멸대 투성",0,"",0,0,0,0,0,"투성",""
