key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,ActionTimeline{Pose}[0],ActionTimeline{Pose}[1],ActionTimeline{Pose}[2],,,,,,,,,,,,,Text[0],Text[1],Text[2]
int32,uint32,byte,byte,byte,byte,ActionTimeline,ActionTimeline,ActionTimeline,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bit&01,bit&01,bit&01,str,str,str
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"강조 대화상황에서 회화 시 움직임","기록 대화상황에서 연설 반복","기분 나쁜 대화상황에서의 선 상태로 분노 회화 반복"
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"멍~","후~","하~"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"아~, 잘 먹었다! ","이 여관 음식 정말 맛있네!","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"기본 서기 및 서기 전용 반응 테스트
(아이템 건네기)","'행동 반응 인사'로 이행합니다.","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"기본 서기 및 서기 전용 반응 테스트
(아이템 받기)","'행동 반응 생각'으로 이행합니다.","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"기본 서기 및 서기 전용 반응 테스트
(아이템 회화)","'행동 반응 분노'로 이행합니다.","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"기본 서기 및 서기 전용 반응 테스트
기본 바닥 앉기→기본 서기→서기 전용 반응","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"기본 서기 및 서기 전용 반응 테스트
멋지게 서기→기본 서기→서기 전용 반응","0","0"
