key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,str,str,str,str,str,str,str,str,str,str,uint32,byte,uint16,uint32,uint32,uint32,int32,uint32,uint32,int32,uint16,int32,int32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"거대 편속성 크리스탈 파괴 지령","터진 파이 껍질 근처에서 중앙 크리스탈의 월면 환경 제어에서 벗어난 거대 편속성 크리스탈이 대량으로 발생한 것이 확인되었다. 파워 로더를 타고 현지에 가서 거대 편속성 크리스탈을 분쇄하고, 속성 변환용 자원으로 회수하라.","파워 로더의 장비를 사용하여
편속성 크리스탈을 파괴하라.","","","우주 드릴로 소형 편속성 크리스탈을 파괴하라.
획득한 자원은 필드 탐지기로 분석하라.","","","기체 작전 '거대 편속성 크리스탈 파괴 지령'이 발령되었습니다.
조종사 희망자는 개척 단말기에서 탑승을 신청하십시오.","곧 기체 작전이 시작됩니다.
지원군 참가 희망자는 임무 지역으로 모여주십시오.",368,5,0,11502159,10921203,11482845,60493,10921201,11482848,60492,600,20172,20171,60809,63889,11759496,6,7,8,0,7,8,1420,1422,1,4259842,4259843,4259844,4259845,4259846,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300
2,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"유해 버섯 제거 지령","버섯방 근처에서 해로운 변이 포자를 내뿜는 야광버섯이 대량으로 발생한 것이 확인되었다. 기지 내부나 행성 외부로 반출하는 기자재에 포자가 붙으면 앞으로의 탐색에 큰 영향을 미칠 수 있다. 휠 로더를 타고 현지에 가서 붉은 야광버섯을 남김없이 제거하여 번식을 막아라.","휠 로더의 장비를 사용하여
거대한 변이 버섯을 제거하라.","","","우주 화염 방사기로 작은 변이 버섯을 소각하라.
소각 후에 얻은 재는 필드 탐지기에 납품해 분석하라.","","","기체 작전 '유해 버섯 제거 지령'이 발령되었습니다.
조종사 희망자는 개척 단말기에서 탑승을 신청하십시오.","곧 기체 작전이 시작됩니다.
지원군 참가 희망자는 임무 지역으로 모여주십시오.",378,5,0,11508987,11170532,11508985,60493,11170531,11508986,60492,600,20173,20171,60809,63889,11759498,9,10,11,0,7,8,1420,1422,5,4259862,4259863,4259864,4259865,4259866,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305
6,3,"파엔나이트 채굴 지령","유리조각 강가 지하에서 급속 냉각으로 인해 변질된 화산 유리 광맥이 발견되었다. 이 유용한 자원을 '파엔나이트'라 명명하고, 파워 로더를 이용한 채굴을 계획했다. 지하자원을 얻는 데는 막대한 번개 이온 에너지가 필요하므로, 에너지가 대량으로 발생한 지금이 절호의 기회다. 기체에 추가로 설치한 파워 흡인기로 필요한 에너지를 보급하며 임무를 수행하라.","모래늪 구멍에 인양 광선을 사용하여
지하에 있는 파엔나이트를 회수하라.
번개 이온 파워 10을 소비하여
인양 광선을 사용할 수 있다.","","","우주 드릴로 땅속에 잠든 파엔나이트를 채굴하라.
획득한 자원은 필드 탐지기에 납품해 분석하라.","","","기체 작전 '파엔나이트 채굴 지령'이 발령되었습니다.
조종사 희망자는 개척 단말기에서 탑승을 신청하십시오.","곧 기체 작전이 시작됩니다.
지원군 참가 희망자는 임무 지역으로 모여주십시오.",404,5,0,11925434,11841658,11925435,60493,11841657,11925436,60492,600,20173,20171,60809,63889,11911477,12,13,14,0,7,8,1420,1422,6,4259924,4259925,4259926,4259927,4259928,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343
7,3,"유리 덩어리 파괴 회수 지령","냉각 주름 동굴 안에서 일어난 지열 변동으로 땅속에서 질 좋은 유리 덩어리가 대량으로 나타났다. 표본을 확인한 연구자에 따르면, 자연 발생했다는 사실을 믿기 힘들 만큼 순도가 높아, 정밀한 렌즈나 기기를 개발하는 데 사용하면 앞으로의 탐색 계획에 요긴하게 쓰일 수도 있다고 한다. 휠 로더를 타고 현지에 가서 유리 덩어리를 파괴한 다음 회수하라.","휠 로더의 장비를 사용하여
유리 덩어리를 파괴하라.","","","우주 흡인기로 유리 조각을 빨아들여라.
획득한 자원은 필드 탐지기에 납품해 분석하라.","","","기체 작전 '유리 덩어리 파괴 회수 지령'이 발령되었습니다.
조종사 희망자는 개척 단말기에서 탑승을 신청하십시오.","곧 기체 작전이 시작됩니다.
지원군 참가 희망자는 임무 지역으로 모여주십시오.",405,5,0,11925453,11842477,11925454,60493,11842314,11925455,60492,600,20172,20171,60809,63889,11911495,15,16,17,0,7,8,1420,1422,7,4259929,4259930,4259931,4259932,4259933,11939524,354,11939478,11939479,11939480,11939484,11939485,344,345,346,347,348
8,4,"중력 뒤틀림 해소","잊힌 당근 주변에서 중력장이 대규모로 뒤틀리는 현상이 관측되었다. 그라비데 계열 마법이 뭉친 것 같은 크고 작은 덩어리들이 나타났는데, 내버려두면 주변 탐색 구역에 큰 영향을 끼칠 우려가 있다. 이런 현상에 대비하여, 갈레안계 기술자들의 도움을 받아 상황 해결에 특화된 마도 중장비를 준비했다. 이 기체에 탑승하여 현지에 발생한 중력 뒤틀림을 없애라.","마도 중장비의 장비를 사용하여, 중력 뒤틀림을 없애라.
중형 그라비데 덩어리에는 우주 발파기가 효과적이다.","마도 중장비의 장비를 사용하여,
거대 그라비데 덩어리를 소멸시켜라.","","우주 땅다짐기를 사용하여,
땅속에 있는 그라비데 덩어리를 소멸시켜라.","우주 땅다짐기를 사용하여,
거대 그라비데 덩어리를 소멸시켜라.","","기체 작전 '중력 뒤틀림 해소'가 발령되었습니다.
조종사 희망자는 개척 단말기에서 탑승을 신청하십시오.","곧 기체 작전이 시작됩니다.
지원군 참가 희망자는 임무 지역으로 모여주십시오.",424,5,0,12171402,12115206,12171403,60493,12115207,12171404,60492,600,20172,20171,60809,63889,12216648,3,2,4,0,7,8,1420,1422,2,4259847,4259848,4259849,4259850,4259851,12201566,377,12201637,12201638,12201639,12201640,12201641,365,366,367,368,369
9,4,"레비테트스톤 수집","게라스 만 부근에서 국소적인 중력 이상을 확인했다. 이 영향으로 땅속에 있던 레비테트스톤이 노출되어 상공에 떠오르는 현상이 발생했다. 떠오른 레비테트스톤은 고밀도 에너지를 띠는데, 이 상태대로 수집할 수 있다면 연구에 큰 도움이 될 것이다. 중력 이상 현상이 사라지기 전에 수집해 다오.","국지용 파워 로더의 장비를 사용하여
떠오른 레비테트스톤을 수집하라.","","","개량형 우주 흡인기로
떠오른 레비테트스톤을 수집하라.
획득한 자원은 필드 탐지기에 납품해 분석하라.","","","기체 작전 '레비테트스톤 수집'이 발령되었습니다.
조종사 희망자는 개척 단말기에서 탑승을 신청하십시오.","곧 기체 작전이 시작됩니다.
지원군 참가 희망자는 임무 지역으로 모여주십시오.",423,5,0,12171427,12115218,12171428,60493,12115219,12171429,60492,600,20173,20171,60809,63889,12216801,18,19,0,20,7,8,1420,1422,3,4259852,4259853,4259854,4259855,4259856,12201585,380,12201642,12201646,12201647,12201648,12201649,370,371,372,373,374
