#,EmergencyInfoTeleportText1,EmergencyInfoTeleportText2,EventLayout,RequiredProgress,Unknown2
0,0,0,0,0,0
1,0,0,11800808,94500,1
2,0,0,11805165,94500,2
3,0,0,11805166,94500,1
4,0,0,11805167,94500,2
5,0,0,11805169,94500,1
6,0,0,11805168,94500,2
7,0,0,11805170,94500,1
8,0,0,11805171,94500,2
9,0,0,11805173,94500,1
10,0,0,11805172,94500,2
11,0,0,11805175,94500,1
12,0,0,11805174,94500,2
13,15,27,11997000,94500,1
14,16,28,11997004,94500,2
15,17,29,11996965,94500,1
16,18,30,11996979,94500,2
17,19,31,11997019,94500,1
18,20,32,11997020,94500,2
19,21,33,11997025,94500,1
20,22,34,11997026,94500,2
21,23,35,11997032,94500,1
22,24,36,11997034,94500,2
23,25,37,11997039,94500,1
24,26,38,11997040,94500,2
