#,Unknown0,Unknown1
0,,0
1,해파리 또는 게 낚기,7
2,★★★ 이상 물고기 낚기,5
3,●★★★★を3匹釣る。,3
4,입질이 약한 물고기(!) 낚기,34
5,입질이 센 물고기(!!) 낚기,18
6,입질이 아주 센 물고기(!!!) 낚기,6
7,상어 낚기,5
8,★★★ 이상 물고기 낚기,5
9,●★★★★を3匹釣る。,3
10,입질이 약한 물고기(!) 낚기,34
11,입질이 센 물고기(!!) 낚기,11
12,입질이 아주 센 물고기(!!!) 낚기,13
13,게 낚기,13
14,★★★ 이상 물고기 낚기,5
15,●★★★★を3匹釣る。,3
16,입질이 약한 물고기(!) 낚기,31
17,입질이 센 물고기(!!) 낚기,27
18,입질이 아주 센 물고기(!!!) 낚기,5
19,복어 낚기,13
20,★★★ 이상 물고기 낚기,5
21,●★★★★を3匹釣る。,3
22,입질이 약한 물고기(!) 낚기,39
23,입질이 센 물고기(!!) 낚기,18
24,입질이 아주 센 물고기(!!!) 낚기,8
25,새우 또는 오징어 낚기,19
26,★★★ 이상 물고기 낚기,5
27,입질이 약한 물고기(!) 낚기,41
28,입질이 센 물고기(!!) 낚기,26
29,입질이 아주 센 물고기(!!!) 낚기,7
30,새우 또는 조개 낚기,17
31,★★★ 이상 물고기 낚기,5
32,입질이 약한 물고기(!) 낚기,49
33,입질이 센 물고기(!!) 낚기,16
34,입질이 아주 센 물고기(!!!) 낚기,8
