key,0
#,Text
int32,str
0,""
1,"맨손"
2,"무인도 회관 1"
3,"무인도 회관 2"
4,"무인도 회관 3"
5,"개척공방 1"
6,"개척공방 2"
7,"개척공방 3"
8,"재료 저장고 1"
9,"재료 저장고 2"
10,"재료 저장고 3"
11,"험한 땅바닥"
12,"흙바닥"
13,"석재 바닥"
14,"험한 길"
15,"흙길"
16,"석재 도로"
17,"험한 오르막길"
18,"나무 계단"
19,"돌 계단"
20,"풍차"
21,"나무기지"
22,"온천 오두막"
23,"등대"
24,"달달이 샘"
25,"건축지"
26,"이름 없는 해변"
27,"무인도 광장"
28,"개척 거점 언덕 북쪽"
29,"광장 옆 개척지"
30,"고지대 개척지"
31,"개척 거점 언덕 동쪽"
32,"개척 거점 언덕 남쪽"
33,"1호 경작지"
34,"2호 경작지"
35,"3호 경작지"
36,"1호 방목지"
37,"2호 방목지"
38,"3호 방목지"
39,"초원"
40,"시냇물"
41,"삼림"
42,"해변"
43,"산"
44,"발아"
45,"묘목"
46,"결실"
47,"무인도 개척의 발판이 될 건물.
　　　있는 재료로 간신히 지었다."
48,"무인도 개척의 초석이 될 건물.
　　　증축 및 개축이 진행되어 조금은 볼만해졌다."
49,"무인도 개척의 중심이 될 건물.
　　　마법인형의 건축 기술이 향상되어, 기능성도 외관도 정돈되었다."
50,"신입 장인 마법인형이 모여 특산품을 제작하는 시설.
　　　외관도 수공예 느낌이 난다."
51,"성실한 장인 마법인형이 모여 특산품을 제작하는 시설.
　　　외관에서도 꼼꼼함이 느껴진다."
52,"뛰어난 장인 마법인형이 모여 특산품을 제작하는 시설.
　　　외관에서도 장인의 손길이 느껴진다."
53,"섬 탐색을 담당하는 마법인형의 거점 겸 개척재료 집적 시설.
　　　저장고로서 그럭저럭 정비되어 있다."
54,"섬 탐색을 담당하는 마법인형의 거점 겸 개척재료 집적 시설.
　　　저장고로서 제법 잘 정비되어 있다."
55,"섬 탐색을 담당하는 마법인형의 거점 겸 개척재료 집적 시설.
　　　저장고로서 아주 잘 정비되어 있다."
56,"건물을 지을 수 있도록 정비된 토지."
57,"날개로 풍력을 얻어, 제분 등에 이용하는 특수 건물.
　　　개척 거점 시설에서 일하는 마법인형들의 능력이 향상된다."
58,"높다란 나무를 이용해 전망 좋은 오두막에서 휴식을 취할 수 있는 특수 건물.
　　　개척 거점 시설에서 일하는 마법인형들의 능력이 향상된다."
59,"온천에 들어가 느긋하게 쉴 수 있는 특수 건물.
　　　개척 거점 시설에서 일하는 마법인형들의 능력이 향상된다."
60,"시엘달레 제도를 오가는 배들이 길잡이로 삼는 특수 건물.
　　　개척 거점 시설에서 일하는 마법인형들의 능력이 향상된다."
61,"달달이 조각상 분수가 마음에 평화를 주는 특수 건물.
　　　개척 거점 시설에서 일하는 마법인형들의 능력이 향상된다."
62,"경작지"
63,"방목지"
64,"섬에서 자라는 식물을 작물로 재배할 수 있는, 비옥한 밭."
65,"섬에서 포획한 동물을 방목 사육할 수 있는 목장."
66,"개척 관리판"
67,"무인도 정원"
68,"흐르는 물소리에 마음이 편안해지는, 정원형 특수 건물.
　　　개척 거점 시설에서 일하는 마법인형들의 능력이 향상된다."
