#,Name,Order,RequiredItem[0],RequiredItem[1],RequiredItem[2],CompanyCraftDraftCategory,RequiredItemCount[0],RequiredItemCount[1],RequiredItemCount[2]
0,비공정 설계도: 제2집,1,12923,0,0,1,6,0,0
1,비공정 설계도: 제3집,2,12924,12923,0,1,10,4,0
2,비공정 설계도: 제4집,3,12925,12923,0,1,10,4,0
3,비공정 설계도: 제5집,4,12926,12924,0,1,14,4,0
4,비공정 설계도: 제6집,5,12927,12925,12923,1,14,4,4
5,건물 설계도: 식료품 상점,1,12920,0,0,2,10,0,0
6,건물 설계도: 방어구 상점,2,12921,0,0,2,10,0,0
7,건물 설계도: 무기 상점,3,12922,12921,0,2,9,8,0
8,에테르석 설계도: 제2집,1,12928,0,0,0,6,0,0
9,에테르석 설계도: 제3집,2,12928,0,0,0,6,0,0
10,에테르석 설계도: 제4집,3,12928,0,0,0,6,0,0
11,에테르석 설계도: 제5집,4,12929,12922,0,0,4,2,0
12,에테르석 설계도: 제6집,5,12929,12922,0,0,4,2,0
13,에테르석 설계도: 제7집,6,12929,12922,0,0,4,2,0
14,에테르 충전대 설계도: 제2집,7,12929,12922,12920,0,6,3,8
15,건물 설계도: 모그모그 집,4,12922,12921,12923,2,11,10,8
16,에테르 충전대 설계도: 제3집,8,12929,12922,12920,0,8,5,10
17,비공정 설계도: 제7집,6,12927,12926,12925,1,18,8,8
18,에테르 충전대 설계도: 제4집,9,12929,12922,12920,0,10,7,12
19,에테르 충전대 설계도: 제5집,10,12929,12922,12920,0,12,9,14
20,건물 설계도: 초코보 집,5,12922,12921,12923,2,14,12,10
21,건물 설계도: 파이싸 집,6,12922,12921,12923,2,16,14,12
22,건물 설계도: 카벙클 집,7,12922,12921,12923,2,18,16,14
23,건물 설계도: 동방의 성곽,8,12922,12921,12923,2,20,18,16
24,잠수함 설계도: 제1집,7,5374,0,0,1,6,0,0
25,잠수함 설계도: 제2집,8,12924,12923,0,1,10,4,0
26,잠수함 설계도: 제3집,9,12925,12923,0,1,10,4,0
27,건물 설계도: 달달이 집,9,12922,12921,12923,2,21,19,17
28,잠수함 설계도: 제4집,10,12926,12924,0,1,14,4,0
29,잠수함 설계도: 제5집,11,12927,12925,12923,1,14,4,4
30,잠수함 설계도: 제6집,12,26528,12926,12924,1,18,8,8
31,건물 설계도: 반목조 주택,10,12922,29590,26528,2,18,10,8
32,건물 설계도: 대장간,10,12922,29590,26528,2,18,10,8
33,건물 설계도: 꽃집,10,12922,29590,26528,2,18,10,8
34,건물 설계도: 제련소,10,12922,29590,26528,2,18,10,8
35,건물 설계도: 카페,10,12922,29590,26528,2,18,10,8
36,건물 설계도: 과자집,10,29590,37083,26528,2,18,10,8
37,건물 설계도: 온천장,10,29590,37083,26528,2,18,10,8
38,건물 설계도: 시골풍 주택,10,29590,37083,26528,2,18,10,8
