#,Text,Label,Unknown0,Param,Platform,Category,BacklightColor,Required
0,,,0,255,255,0,0,False
1,,,0,0,0,0,0,False
2,,,0,0,0,0,0,False
3,,,0,0,0,0,0,False
4,,,0,0,0,0,0,False
5,,,0,0,0,0,0,False
6,,,0,0,0,0,0,False
7,,,0,0,0,0,0,False
8,,,0,0,0,0,0,False
9,,,0,0,0,0,0,False
10,,,0,0,0,0,0,False
11,마우스 양버튼 클릭 이동,MOVE_AND_STEER,1,255,255,1,0,False
12,전진 / 앞으로 이동,MOVE_FORE,2,255,255,1,3,False
13,후퇴 / 뒤로 이동,MOVE_BACK,3,255,255,1,3,False
14,왼쪽으로 회전 / 왼쪽으로 이동,MOVE_LEFT,4,255,255,1,3,False
15,오른쪽으로 회전 / 오른쪽으로 이동,MOVE_RIGHT,5,255,255,1,3,False
16,왼쪽으로 횡이동,MOVE_STRIFE_L,6,255,255,1,3,False
17,오른쪽으로 횡이동,MOVE_STRIFE_R,7,255,255,1,3,False
18,점프,JUMP,8,255,255,1,3,False
19,걷기 전환,WALK,9,255,255,1,3,False
20,자동 달리기 전환,AUTORUN_KEY,10,255,255,1,3,False
21,무기 넣기/꺼내기,SWARD,11,255,255,1,3,False
22,대상 고정,CAMERA_FOCUS,12,255,255,1,6,False
23,비행 / 잠수 조작: 하강,MOVE_DESCENT,13,255,255,1,3,False
24,비행 / 잠수 조작: 고도 유지,MOVE_RETENTION,14,255,255,1,3,False
25,비행 / 잠수 조작: 경사각 위로,MOVE_ANGLE_RISING,15,255,255,1,3,False
26,비행 / 잠수 조작: 경사각 아래로,MOVE_ANGLE_DESCENT,16,255,255,1,3,False
27,,,0,0,0,0,0,False
28,,,0,0,0,0,0,False
29,,,0,0,0,0,0,False
30,,,0,0,0,0,0,False
31,,,0,0,0,0,0,False
32,,,0,0,0,0,0,False
33,,,0,0,0,0,0,False
34,,,0,0,0,0,0,False
35,,,0,0,0,0,0,False
36,,,0,0,0,0,0,False
37,,,0,0,0,0,0,False
38,,,0,0,0,0,0,False
39,,,0,0,0,0,0,False
40,,,0,0,0,0,0,False
41,,,0,0,0,0,0,False
42,,,0,0,0,0,0,False
43,,,0,0,0,0,0,False
44,,,0,0,0,0,0,False
45,,,0,0,0,0,0,False
46,,,0,0,0,0,0,False
47,,,0,0,0,0,0,False
48,,,0,0,0,0,0,False
49,,,0,0,0,0,0,False
50,,,0,0,0,0,0,False
51,위로 시선 이동,CAMERA_UP,17,255,255,1,6,False
