#,Icon,PlaceNameSubtext,DataKey,X,Y,SubtextOrientation,MapMarkerRegion,Type,DataType,Unknown0,Unknown1
0.0,0,0,0,0,0,0,0,0,0,255,0
1.0,60436,153,0,256,128,3,0,0,0,255,0
1.1,60436,152,0,300,500,2,0,0,0,255,0
1.2,60436,151,0,500,600,1,0,0,0,255,0
2.0,60436,151,0,256,128,1,0,0,0,255,0
2.1,60436,152,0,300,500,2,0,1,0,255,0
2.2,60436,151,0,500,600,1,0,0,0,255,0
2.3,60441,52,4,1024,500,2,0,0,1,5,10
3.0,60436,548,0,1078,1222,2,0,0,0,255,0
3.1,60314,547,0,1078,1260,3,0,0,0,255,0
3.2,60352,549,0,1035,1280,1,0,0,0,255,0
3.3,60442,551,0,1025,1058,1,0,0,0,255,0
3.4,60442,552,0,1326,1329,4,0,0,0,255,0
3.5,60321,554,0,948,1130,4,0,0,0,255,0
3.6,60442,556,0,1010,1205,1,0,0,0,255,0
3.7,60442,557,0,878,1130,1,0,0,0,255,0
3.8,60442,559,0,813,1199,4,0,0,0,255,0
3.9,60442,560,0,985,1238,1,0,0,0,255,0
3.10,60320,563,0,1460,1102,2,0,0,0,255,0
3.11,0,585,0,950,925,2,0,0,0,255,0
3.12,0,587,0,935,1315,2,0,0,0,255,0
3.13,60453,590,2,1094,1080,2,0,0,3,255,0
3.14,60568,591,0,886,1010,4,0,0,0,255,0
3.15,60311,593,0,1085,1160,2,0,0,0,255,0
3.16,60441,53,3,1225,1054,2,0,0,1,16,0
3.17,60441,53,3,1046,998,2,0,0,1,17,0
3.18,60441,53,3,815,1044,1,0,0,1,18,0
3.19,0,54,0,792,1211,0,0,0,0,255,0
3.20,60441,54,4,1364,1348,2,0,0,1,0,0
3.21,0,54,0,1364,1348,0,0,0,0,255,0
3.22,60412,0,0,1007,1020,2,0,0,0,255,0
3.23,60434,0,0,1074,1207,2,0,0,0,255,0
3.24,60412,0,0,991,1110,2,0,0,0,255,0
3.25,60430,0,782,1356,1199,2,0,0,4,255,0
3.26,60412,0,0,1050,1028,2,0,0,0,255,0
3.27,60460,0,0,866,1019,2,0,0,0,255,0
3.28,60442,473,0,795,1211,1,0,0,0,255,0
3.29,0,54,4,735,1231,2,0,0,1,41,0
3.30,60412,0,0,888,1002,2,0,0,0,255,0
3.31,60935,0,0,875,1031,2,0,0,0,255,0
3.32,60571,0,0,868,1028,2,0,0,0,255,0
3.33,60581,0,0,997,1040,2,0,0,0,255,0
3.34,60467,0,0,795,1200,3,0,0,0,255,0
3.35,60442,1800,0,860,1009,1,0,0,0,255,0
3.36,0,0,28,1078,1222,8,0,0,2,255,0
3.37,0,0,0,0,0,0,0,0,0,255,0
3.38,0,0,308,860,1009,8,0,0,2,255,0
3.39,0,0,0,0,0,0,0,0,0,0,0
3.40,63922,0,0,1140,1118,2,0,0,0,255,0
3.41,63919,0,0,1098,1135,2,0,0,0,255,231
