#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0.0,0,0,0,0,0,0,0,0
1.0,0,0,1,2,0,0,1,0
1.1,80,0,0,0,0,0,3,0
1.2,0,0,3,5,0,0,1,0
1.3,0,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0,0
2.0,0,0,6,7,0,0,1,0
2.1,60,0,0,0,0,0,3,0
2.2,0,0,10,11,9,0,1,0
2.3,30,0,0,0,0,0,3,0
2.4,0,0,111,13,0,0,1,0
2.5,0,0,0,0,0,0,0,0
2.6,0,0,0,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0
3.0,2,0,16,17,18,19,2,0
3.1,10,0,0,0,0,0,3,0
3.2,0,0,112,0,0,0,1,0
3.3,0,0,32,113,0,0,1,0
3.4,10,0,0,0,0,0,3,0
3.5,1,0,20,21,22,23,2,0
3.6,0,0,24,25,0,0,1,0
3.7,80,0,0,0,0,0,3,0
3.8,0,0,131,132,0,0,1,0
3.9,1,0,36,37,38,0,2,0
3.10,10,0,0,0,0,0,3,0
3.11,1,0,115,116,0,0,2,0
3.12,0,0,0,0,0,0,0,0
3.13,0,0,0,0,0,0,0,0
3.14,0,0,0,0,0,0,0,0
3.15,0,0,0,0,0,0,0,0
3.16,0,0,0,0,0,0,0,0
3.17,0,0,0,0,0,0,0,0
3.18,0,0,0,0,0,0,0,0
3.19,0,0,0,0,0,0,0,0
3.20,0,0,0,0,0,0,0,0
4.0,0,0,41,42,43,0,1,0
4.1,10,0,0,0,0,0,3,0
4.2,2,0,44,45,46,0,2,0
4.3,2,0,105,106,107,108,2,0
4.4,10,0,0,0,0,0,3,0
4.5,0,0,117,118,0,0,1,0
4.6,60,0,0,0,0,0,3,0
4.7,0,0,119,120,133,109,1,0
4.8,10,0,0,0,0,0,3,0
4.9,0,0,47,48,49,50,1,0
4.10,0,0,0,0,0,0,0,0
4.11,0,0,0,0,0,0,0,0
4.12,0,0,0,0,0,0,0,0
5.0,30,0,0,0,0,0,3,0
5.1,0,0,51,53,0,0,1,1
5.2,10,0,0,0,0,0,3,0
5.3,0,0,59,57,63,0,1,1
5.4,30,0,0,0,0,0,3,0
5.5,0,0,52,56,78,0,1,1
5.6,30,0,0,0,0,0,3,0
5.7,0,0,62,64,70,79,1,1
5.8,20,0,0,0,0,0,3,0
5.9,0,0,121,80,0,0,1,1
5.10,0,0,126,127,0,0,1,0
5.11,10,0,0,0,0,0,3,0
5.12,0,0,55,61,66,81,1,1
5.13,0,0,128,129,0,0,1,0
5.14,30,0,0,0,0,0,3,0
5.15,0,0,71,72,82,0,1,1
5.16,20,0,0,0,0,0,3,0
5.17,0,0,60,73,0,0,1,1
5.18,20,0,0,0,0,0,3,0
5.19,0,0,77,123,83,0,1,1
5.20,0,0,130,134,0,0,1,0
5.21,20,0,0,0,0,0,3,0
5.22,0,0,122,75,76,0,1,1
5.23,1,0,0,0,0,0,4,0
5.24,0,0,0,0,0,0,0,0
5.25,0,0,0,0,0,0,0,0
11.0,0,0,1000,1001,0,0,1,0
11.1,30,0,0,0,0,0,3,0
11.2,0,0,1002,1004,0,0,1,0
11.3,0,0,0,0,0,0,0,0
11.4,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0
11.6,0,0,0,0,0,0,0,0
11.7,0,0,0,0,0,0,0,0
11.8,0,0,0,0,0,0,0,0
11.9,0,0,0,0,0,0,0,0
11.10,0,0,0,0,0,0,0,0
12.0,2,0,1005,1006,1007,0,2,0
12.1,1,0,1103,1104,0,0,2,0
12.2,10,0,0,0,0,0,3,0
12.3,0,0,1008,1009,0,0,1,0
12.4,0,0,1105,0,0,0,1,0
12.5,10,0,0,0,0,0,3,0
12.6,1,0,1106,1107,0,0,2,0
12.7,0,0,0,0,0,0,0,0
12.8,0,0,0,0,0,0,0,0
12.9,0,0,0,0,0,0,0,0
12.10,0,0,0,0,0,0,0,0
12.11,0,0,0,0,0,0,0,0
12.12,0,0,0,0,0,0,0,0
12.13,0,0,0,0,0,0,0,0
12.14,0,0,0,0,0,0,0,0
12.15,0,0,0,0,0,0,0,0
13.0,2,0,1027,1028,1029,1030,2,0
13.1,10,0,0,0,0,0,3,0
13.2,2,0,1031,1032,1033,1034,2,0
13.3,0,0,1050,1051,1108,0,1,0
13.4,10,0,0,0,0,0,3,0
13.5,0,0,1109,0,0,0,1,0
13.6,10,0,0,0,0,0,3,0
13.7,0,0,1111,1113,0,0,1,0
13.8,0,0,1110,0,0,0,1,0
13.9,0,0,0,0,0,0,1,0
13.10,0,0,1114,1115,0,0,1,0
13.11,0,0,0,0,0,0,0,0
13.12,0,0,0,0,0,0,0,0
13.13,0,0,0,0,0,0,0,0
13.14,0,0,0,0,0,0,0,0
13.15,0,0,0,0,0,0,0,0
14.0,2,0,1057,1058,1059,1060,2,0
14.1,10,0,0,0,0,0,3,0
14.2,2,0,1061,1062,1063,1064,2,0
14.3,0,0,1065,1066,1117,1118,1,0
14.4,150,0,0,0,0,0,3,0
14.5,0,0,1067,1122,1082,0,1,0
14.6,30,0,0,0,0,0,3,0
14.7,0,0,1123,1070,1071,0,1,0
14.8,30,0,0,0,0,0,3,0
14.9,0,0,1079,1125,1126,0,1,0
14.10,0,0,0,0,0,0,0,0
14.11,0,0,0,0,0,0,0,0
14.12,0,0,0,0,0,0,0,0
14.13,0,0,0,0,0,0,0,0
14.14,0,0,0,0,0,0,0,0
14.15,0,0,0,0,0,0,0,0
15.0,30,0,0,0,0,0,3,0
15.1,0,0,1128,1129,1130,1131,1,1
15.2,20,0,0,0,0,0,3,0
15.3,0,0,1132,1134,1135,1145,1,1
15.4,0,0,1138,1133,0,0,1,0
15.5,20,0,0,0,0,0,3,0
15.6,0,0,1139,1136,1137,1152,1,1
15.7,30,0,0,0,0,0,3,0
15.8,0,0,1140,1141,1143,1144,1,1
15.9,0,0,1196,1194,0,0,1,0
15.10,10,0,0,0,0,0,3,0
15.11,0,0,1146,1197,1150,1151,1,1
15.12,30,0,0,0,0,0,3,0
15.13,0,0,1192,0,0,0,1,0
15.14,10,0,0,0,0,0,3,0
15.15,0,0,1195,0,0,0,1,0
15.16,20,0,0,0,0,0,3,0
15.17,0,0,1153,1193,1149,1191,1,1
15.18,30,0,0,0,0,0,3,0
15.19,0,0,1148,1154,1155,1147,1,1
15.20,1,0,0,0,0,0,4,0
15.21,0,0,0,0,0,0,0,0
15.22,0,0,0,0,0,0,0,0
15.23,0,0,0,0,0,0,0,0
15.24,0,0,0,0,0,0,0,0
15.25,0,0,0,0,0,0,0,0
21.0,2,0,2000,2001,2002,2003,2,0
21.1,50,0,0,0,0,0,3,0
21.2,0,0,2004,2008,0,0,1,0
21.3,0,0,0,0,0,0,0,0
21.4,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0
21.6,0,0,0,0,0,0,0,0
21.7,0,0,0,0,0,0,0,0
21.8,0,0,0,0,0,0,0,0
21.9,0,0,0,0,0,0,0,0
21.10,0,0,0,0,0,0,0,0
21.11,0,0,0,0,0,0,0,0
21.12,0,0,0,0,0,0,0,0
21.13,0,0,0,0,0,0,0,0
21.14,0,0,0,0,0,0,0,0
21.15,0,0,0,0,0,0,0,0
22.0,0,0,2010,2011,0,0,1,0
22.1,30,0,0,0,0,0,3,0
22.2,0,0,2016,2017,0,0,1,0
22.3,40,0,0,0,0,0,3,0
22.4,1,0,2083,2084,2085,0,2,0
22.5,0,0,2020,2021,0,0,1,0
22.6,0,0,0,0,0,0,0,0
22.7,0,0,0,0,0,0,0,0
22.8,0,0,0,0,0,0,0,0
22.9,0,0,0,0,0,0,0,0
22.10,0,0,0,0,0,0,0,0
22.11,0,0,0,0,0,0,0,0
22.12,0,0,0,0,0,0,0,0
22.13,0,0,0,0,0,0,0,0
22.14,0,0,0,0,0,0,0,0
22.15,0,0,0,0,0,0,0,0
23.0,0,0,2022,2023,0,0,1,0
23.1,10,0,0,0,0,0,3,0
23.2,0,0,2029,2030,0,0,1,0
23.3,20,0,0,0,0,0,3,0
23.4,0,0,2042,2044,2089,0,1,0
23.5,10,0,0,0,0,0,3,0
23.6,0,0,2087,2088,0,0,1,0
23.7,30,0,0,0,0,0,3,0
23.8,0,0,2090,2046,0,0,1,0
23.9,0,0,2091,0,0,0,1,0
23.10,0,0,0,0,0,0,0,0
23.11,0,0,0,0,0,0,0,0
23.12,0,0,0,0,0,0,0,0
23.13,0,0,0,0,0,0,0,0
23.14,0,0,0,0,0,0,0,0
23.15,0,0,0,0,0,0,0,0
24.0,2,0,2051,2052,2053,2054,2,0
24.1,10,0,0,0,0,0,3,0
24.2,2,0,2055,2056,2057,2058,2,0
24.3,10,0,0,0,0,0,3,0
24.4,0,0,2059,2060,2061,2072,1,0
24.5,10,0,0,0,0,0,3,0
24.6,0,0,2067,2068,2073,2069,1,0
24.7,70,0,0,0,0,0,3,0
24.8,0,0,2070,2071,2092,0,1,0
24.9,10,0,0,0,0,0,3,0
24.10,0,0,2093,2094,0,0,1,0
24.11,0,0,0,0,0,0,0,0
24.12,0,0,0,0,0,0,0,0
24.13,0,0,0,0,0,0,0,0
24.14,0,0,0,0,0,0,0,0
24.15,0,0,0,0,0,0,0,0
25.0,30,0,0,0,0,0,3,0
25.1,0,0,2095,2096,2097,2098,1,1
25.2,20,0,0,0,0,0,3,0
25.3,0,0,2099,2100,2101,2102,1,1
25.4,20,0,0,0,0,0,3,0
25.5,0,0,2115,2116,2117,2118,1,1
25.6,20,0,0,0,0,0,3,0
25.7,0,0,2160,2120,2123,2124,1,1
25.8,20,0,0,0,0,0,3,0
25.9,0,0,2103,2104,2125,2127,1,1
25.10,0,0,2156,2119,0,0,1,0
25.11,20,0,0,0,0,0,3,0
25.12,0,0,2126,2157,2122,0,1,1
25.13,20,0,0,0,0,0,3,0
25.14,0,0,2159,2109,0,0,1,0
25.15,20,0,0,0,0,0,3,0
25.16,0,0,2110,2128,2161,0,1,1
25.17,0,0,2105,2081,0,0,1,0
25.18,30,0,0,0,0,0,3,0
25.19,0,0,2107,2108,2158,0,1,1
25.20,1,0,0,0,0,0,4,0
25.21,0,0,0,0,0,0,0,0
