key,0,1,2,3,4
#,LegacyQuestID,Text,String,SortKey,Genre
int32,uint16,str,str,uint16,uint32
0,0,"","",0,0
1,0,"姿なき声","",1,344
2,1,"碧海の宝","",2,344
3,2,"リムレーンの伝説","",3,344
4,3,"別想","",4,344
5,4,"降り注ぐ光","",5,344
6,5,"眠れる鬼","",6,344
7,6,"那由他の精霊","",7,344
8,7,"招かれざる客","",8,344
9,8,"ほむらの日","",9,344
10,9,"太陽の都","",10,344
11,10,"小さな犠牲","",11,344
12,11,"災厄来たれり","",12,344
13,12,"ある始まり","",13,344
14,13,"決死の救出作戦","",14,344
15,14,"利害の調停者","",15,344
16,15,"異質なるもの","",16,344
17,16,"炎獄の神","",17,344
18,17,"アラミゴ解放軍","",18,344
19,18,"重なる未来","",19,344
20,59,"債鬼繁盛記","",20,346
21,60,"守護者の旅立ち","",21,346
22,61,"コインの裏と表と","",22,346
23,79,"噛ませ犬","",23,346
24,80,"自由の権利","",24,346
25,81,"興奮の代償","",25,346
26,99,"断罪党の洗礼","",26,346
27,100,"俺たちの海賊","",27,346
28,101,"笑って見てろ","",28,346
29,139,"バデロンのお勧め","",29,346
30,140,"ミューヌのお勧め","",30,346
31,141,"モモディのお勧め","",31,346
32,143,"相棒を変更したい","",32,346
33,159,"神勇隊","",33,346
34,160,"昏い森","",34,346
35,161,"過去より伸びる手","",35,346
36,179,"鬼哭隊","",36,346
37,180,"石と黄金","",37,346
38,181,"したたかに","",38,346
39,239,"復讐依頼","",39,346
40,240,"やっつけ伝道師","",40,346
41,241,"ナル・ザル教団特約","",41,346
42,259,"木霊が務め","",42,346
43,260,"竜騎士の夢","",43,346
44,261,"呼び声","",44,346
45,299,"小さな先生","",45,346
46,300,"小さな鬼","",46,346
47,301,"精霊たちの贈り物","",47,346
48,319,"左耳の男","",48,346
49,320,"セイレーンの歌声","",49,346
50,321,"魅惑の島","",50,346
51,359,"貴方のかたち","",51,346
52,360,"フ・ラミンの花","",52,346
53,361,"心の臓の刃","",53,346
54,379,"物言わぬもの","",54,346
55,380,"第二のアトリエ","",55,346
56,381,"師弟評価制度","",56,346
57,399,"赤の章","",57,346
58,400,"灰の章","",58,346
59,401,"白の章","",59,346
60,419,"眠りの淵","",60,346
61,420,"ドラゴンになった少年","",61,346
62,421,"夢か現か","",62,346
63,439,"プルプル対決","",63,346
64,440,"消えた美食家","",64,346
65,441,"湯けむり毒殺事件","",65,346
66,459,"時のかけら","",66,346
67,460,"とっておき大作戦","",67,346
68,461,"彼女の逃避行","",68,346
69,479,"グリダニアの根っこ","",69,346
70,480,"憧れの大都会","",70,346
71,481,"モーグリの花畑","",71,346
72,499,"サハギン族をやっつけろ","",72,346
73,500,"いけすのヌシ","",73,346
74,501,"うはうは期間","",74,346
75,626,"業火の試練","",75,345
76,632,"メルヴァン税関公社の失敗","",76,345
77,633,"希望の橋","",77,345
78,635,"バラクーダの復讐","",78,345
79,637,"愛情たっぷり","",79,345
80,638,"海賊うっかり","",80,345
81,639,"息子の消息","",81,345
82,640,"気合がっつり","",82,345
83,641,"さざなみの音色","",83,345
84,642,"お魚革命","",84,345
85,643,"月の胸騒ぎ","",85,345
86,645,"黒い関係","",86,345
87,647,"彫刻家の野望","",87,345
88,652,"バラクーダ騎士団特務","",88,345
89,653,"夜道に注意","",89,345
90,654,"猛る炎","",90,345
91,655,"お野菜革命","",91,345
92,657,"いたずらの序曲","",92,345
93,658,"伝説のシクサ","",93,345
94,659,"いたずらの輪舞曲","",94,345
95,661,"息子の苦闘","",95,345
96,662,"失われた日記","",96,345
97,663,"秘められた想い","",97,345
