#,Type,AssignmentTalk,Quest[0],Quest[1],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
393216,길드 의뢰,1,65756,65756,0,0,False,False,False,False,False
393217,길드 의뢰,2,65756,65756,1,0,False,False,False,False,False
393218,길드 의뢰,3,65757,65757,1,0,False,False,False,False,False
393219,길드 의뢰,4,65979,65979,1,0,False,False,False,False,False
393220,길드 의뢰,5,65756,65756,1,0,False,False,False,False,False
393221,길드 의뢰,6,66229,66229,1,0,False,False,False,False,False
393222,길드 의뢰,7,66223,66223,1,0,False,False,False,False,False
393223,길드 의뢰,8,66223,66223,1,0,False,False,False,False,False
393224,길드 의뢰,9,66224,66224,1,0,False,False,False,False,False
393225,길드 의뢰,10,66229,66229,1,0,False,False,False,False,False
393226,길드 의뢰,11,66230,66230,1,0,False,False,False,False,False
393227,길드 의뢰,12,65756,65536,1,0,False,False,False,False,False
393228,길드 의뢰,13,66228,66228,1,0,False,False,False,False,False
393229,길드 의뢰,14,65550,65550,1,0,False,False,False,False,False
393230,길드 의뢰,15,65552,65552,1,0,False,False,False,False,False
393231,길드 의뢰,16,65553,65553,1,0,False,False,False,False,False
393232,길드 의뢰,17,65980,65980,1,0,False,False,False,False,False
393233,길드 의뢰,18,65551,65551,1,0,False,False,False,False,False
393234,길드 의뢰,19,66223,65536,1,0,False,False,False,False,False
393235,길드 의뢰,20,66229,65536,1,0,False,False,False,False,False
393236,길드 의뢰,21,66232,66232,1,0,False,False,False,False,False
393237,길드 의뢰,22,66231,66231,1,0,False,False,False,False,False
393238,길드 의뢰,23,65554,65554,1,0,False,False,False,False,False
393239,총사령부 의뢰,24,66229,65536,2,1,True,False,False,False,False
393240,총사령부 의뢰,25,66229,65536,2,5,True,False,False,False,False
393241,총사령부 의뢰,26,65756,65536,2,1,False,True,False,False,False
393242,총사령부 의뢰,27,65756,65536,2,5,False,True,False,False,False
393243,총사령부 의뢰,28,66223,65536,2,1,False,False,True,False,False
393244,총사령부 의뢰,29,66223,65536,2,5,False,False,True,False,False
393245,총사령부 의뢰,30,65756,65536,2,5,True,True,True,False,False
393246,총사령부 의뢰,31,65756,65536,2,5,True,True,True,False,False
393247,총사령부 의뢰,32,66223,65536,2,8,True,True,True,False,False
393248,신전기사단 의뢰,33,67642,67642,3,0,False,False,False,True,False
393249,길드 의뢰,34,68457,68457,4,0,False,False,False,False,True
393250,중용의 공예관 의뢰,35,69138,69138,5,0,False,False,False,False,True
393251,조달꾼 의뢰,36,69706,69706,7,0,False,False,False,False,True
393252,툴라이욜라 의뢰,37,70539,70539,8,0,False,False,False,False,True
