#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
0,,,,0,0,0,0
1,,,,150011,0,0,0
2,,,,150012,0,0,0
3,,,,0,0,0,0
4,,,,0,0,0,0
5,"머리 위에 **퀘스트 아이콘**이 떠 있는 캐릭터를 **오른쪽 클릭**하면 퀘스트가 시작됩니다.

리스플로를 오른쪽 클릭해서 퀘스트를 시작해보세요.","머리 위에 **퀘스트 아이콘**이 떠 있는 캐릭터를 **오른쪽 클릭**하면 퀘스트가 시작됩니다.

베르테낭을 오른쪽 클릭해서 퀘스트를 시작해보세요.","머리 위에 **퀘스트 아이콘**이 떠 있는 캐릭터를 **오른쪽 클릭**하면 퀘스트가 시작됩니다.

와이먼드를 오른쪽 클릭해서 퀘스트를 시작해보세요.",150021,1,1,1
6,"머리 위에 **퀘스트 아이콘**이 떠 있는 캐릭터를 선택하면 퀘스트가 시작됩니다.

리스플로를 선택해서 퀘스트를 시작해보세요.","머리 위에 **퀘스트 아이콘**이 떠 있는 캐릭터를 선택하면 퀘스트가 시작됩니다.

베르테낭을 선택해서 퀘스트를 시작해보세요.","머리 위에 **퀘스트 아이콘**이 떠 있는 캐릭터를 선택하면 퀘스트가 시작됩니다.

와이먼드를 선택해서 퀘스트를 시작해보세요.",150022,1,1,1
7,,,,0,0,0,0
8,,,,0,0,0,0
9,,,,0,0,0,0
10,"퀘스트 받기 창이 나타났습니다.

이 창에서는 퀘스트의 대략적인 내용이나 보상을 확인할 수 있습니다.

**수락** 버튼을 클릭해서 퀘스트를 받아보세요.",,,150121,1,1,0
11,"퀘스트 받기 창이 나타났습니다.

이 창에서는 퀘스트의 대략적인 내용이나 보상을 확인할 수 있습니다.

**수락** 버튼을 눌러서 퀘스트를 받아보세요.",,,150121,1,1,0
12,,,,0,0,0,0
13,,,,0,0,0,0
14,,,,0,0,0,0
15,"퀘스트 목표를 모두 달성하면 경험치나 길 등의 **보상**을 받을 수 있습니다.

바데론에게 말을 걸어서 퀘스트를 완료해보세요.","퀘스트 목표를 모두 달성하면 경험치나 길 등의 **보상**을 받을 수 있습니다.

뮨에게 말을 걸어서 퀘스트를 완료해보세요.","퀘스트 목표를 모두 달성하면 경험치나 길 등의 **보상**을 받을 수 있습니다.

모모디에게 말을 걸어서 퀘스트를 완료해보세요.",150811,1,1,1
16,"퀘스트 목표를 모두 달성하면 경험치나 길 등의 **보상**을 받을 수 있습니다.

바데론에게 말을 걸어서 퀘스트를 완료해보세요.","퀘스트 목표를 모두 달성하면 경험치나 길 등의 **보상**을 받을 수 있습니다.

뮨에게 말을 걸어서 퀘스트를 완료해보세요.","퀘스트 목표를 모두 달성하면 경험치나 길 등의 **보상**을 받을 수 있습니다.

모모디에게 말을 걸어서 퀘스트를 완료해보세요.",150812,1,1,1
17,,,,0,0,0,0
18,,,,0,0,0,0
19,,,,0,0,0,0
20,"**'주 메뉴'**에는 게임을 하면서 자주 쓰는 기능이 모여있습니다.

장비나 상태를 확인할 수 있는 **내 캐릭터**, 퀘스트 관련 정보를 확인할 수 있는 **퀘스트** 등 다양한 기능이 있습니다.",,,150141,1,0,0
21,"**시스템 메뉴**에는 키보드의 조작 방식을 변경하는 **조작 설정**, 조작 방법과 카메라 시점을 조정하는 **캐릭터 설정** 등이 있습니다.
지나간 **도움말**을 확인하고 싶을 때는
**도움말**을 누르면 목록에서 원하는 항목을 확인할 수 있습니다.",,,150142,1,0,0
22,"게임 진행도는 자동으로 저장됩니다.

게임을 종료하고 싶을 때는 **게임 종료**를 선택하세요.

이 밖에도 주 메뉴에는 다양한 기능이 있습니다.",,,150143,1,0,0
23,,,,0,0,0,0
24,,,,0,0,0,0
25,"**데존**은 **귀환 지점**으로 돌아갈 수 있는 마법입니다.

데존을 쓰고 싶을 때는 주 메뉴에 있는 **지도 및 여행**에서 **데존**을 선택하세요.

**※ 데존은 현실 시간으로 15분마다 1회만 사용할 수 있습니다.**",,,150131,1,0,0
26,"에테라이트 중 **한 곳**을 **귀환 지점으로 등록**할 수 있습니다.

자주 이용하는 에테라이트를 **오른쪽 클릭**해서 귀환 지점으로 설정해보세요.",,,150132,1,0,0
27,"**데존**은 **귀환 지점**으로 돌아갈 수 있는 마법입니다.

데존을 쓰고 싶을 때는 주 메뉴에 있는 **지도 및 여행**에서 **데존**을 선택하세요.

**※ 데존은 현실 시간으로 15분마다 1회만 사용 수 있습니다.**",,,150131,1,0,0
28,"에테라이트 중 **한 곳**을 **귀환 지점으로 등록**할 수 있습니다.

에테라이트를 대상으로 선택하면 귀환 지점으로 설정할 수 있습니다.

자주 들르는 장소를 귀환 지점으로 등록해 보세요.",,,150133,1,0,0
29,,,,0,0,0,0
30,"진행 중인 퀘스트가 있는 경우, 퀘스트에서 가야 할 곳이나 만날 대상이 지도에 표시됩니다.

지도를 보고 싶을 때는 주 메뉴에 있는 **지도 및 여행**에서 **지도**를 클릭하거나, [M] 키를 누르세요.",,,150041,1,1,0
31,"특정 퀘스트의 목적지를 찾고 싶을 때는 **할 일 목록**에서 지금 할 일을 클릭하면 목적지가 지도에 표시됩니다.

지도 상에 표시된 곳으로 가서 퀘스트를 진행하세요.",,,150042,1,1,0
32,"진행 중인 퀘스트가 있는 경우, 퀘스트에서 가야 할 곳이나 만날 대상이 지도에 표시됩니다.

지도를 보고 싶을 때는 주 메뉴에 있는 **지도 및 여행**에서 **지도**를 선택하세요.",,,150041,1,1,0
33,"특정 퀘스트의 목적지를 찾고 싶을 때는 **할 일 목록**에서 지금 할 일을 선택하면 목적지가 지도에 표시됩니다.

지도 상에 표시된 곳으로 가서 퀘스트를 진행하세요.",,,150042,1,1,0
34,,,,0,0,0,0
35,"현재 장비는 **캐릭터**에서 확인할 수 있습니다.

캐릭터 창을 띄우려면 주 메뉴에서 **내 캐릭터**를 선택하거나, [C] 키를 누르세요.",,,150181,1,0,0
36,"장비 변경도 **캐릭터**에서 할 수 있습니다.

장비 칸에서 변경할 부위를 선택하면 **장비함**이 나타납니다.
장비하고 싶은 아이템을 선택해 장비품을 변경하세요.",,,150182,1,0,0
37,"현재 장비는 **캐릭터**에서 확인할 수 있습니다.

캐릭터 창을 띄우려면 주 메뉴에서 **내 캐릭터**를 선택하세요.",,,150181,1,0,0
38,,,,0,0,0,0
39,,,,0,0,0,0
40,"**모그레터**는 **친구 목록에 등록되어 있는 플레이어**와 편지를 주고 받을 수 있는 기능입니다.

**배달부 모그리** 또는 가구 **모그레터 우편함**을 통해 모그레터를 이용할 수 있습니다.",,,150221,1,0,0
