#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
0,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
1,개척 목표: 무인도 회관 건축하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
2,개척 목표: 무인도 회관 건축하기,**야옹 선생과 다시 대화하기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
3,개척 목표: 무인도 회관 건축하기,"**'수확 모드'로 개척재료를 모으고
야옹 선생에게 말하기**",야옹 선생과 다시 대화하기,0,0,0,2,3,0,255,255,2,2,3,0,0,3,4,1,0,0,1,0
4,개척 목표: 무인도 회관 건축하기,"**개척 제작으로 무인도 개척용 돌도끼를 만들고
야옹 선생에게 말하기**","'수확 모드'로 개척재료를 모으고, 야옹 선생에게 말하기",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
5,개척 목표: 무인도 회관 건축하기,**개척재료를 모아 무인도 회관 건축하기**,"개척 제작으로 무인도 개척용 돌도끼를 만들고, 야옹 선생에게 말하기",0,0,0,10,0,11,3,8,10,10,5,5,5,11,1,12,4,9,0,0
6,개척 목표: 무인도 회관 건축하기,**야옹 선생에게 말하기**,개척재료를 모아 무인도 회관 건축하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
7,개척 목표: 경작지에서 작물 키우기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
8,개척 목표: 경작지에서 작물 키우기,**일굼이에게 땅고르기 부탁하기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
9,개척 목표: 경작지에서 작물 키우기,**일굼이와 대화하기**,일굼이에게 땅고르기 부탁하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
