#,Name,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Sort,Category,Announce
0,,0,0,0,0,0,0,0,0,0,0,0,0,False
1,이동 및 카메라 조작,1,0,0,0,0,2,0,0,0,0,1,2,False
2,퀘스트 시작하기,5,0,0,0,0,6,0,0,0,0,1,5,True
3,할 일 목록 확인하기,60,61,0,0,0,60,62,0,0,0,3,5,False
4,지도에서 퀘스트 목적지 찾기,30,31,0,0,0,32,33,0,0,0,4,5,True
5,임무용 아이템 사용,65,0,0,0,0,66,0,0,0,0,11,5,True
6,사물 조작하기,70,0,0,0,0,71,0,0,0,0,12,5,True
7,적과의 전투,150,151,152,153,0,190,191,192,193,153,1,4,True
8,적에게서 얻을 수 있는 경험치와 보상,1200,0,0,0,0,0,0,0,0,0,2,4,True
9,요구 들어주기,200,0,0,0,0,201,0,0,0,0,13,5,True
10,클래스 체인지 방법,110,111,0,0,0,0,0,0,0,0,9,2,True
11,퀘스트 완료하기,15,0,0,0,0,16,0,0,0,0,5,5,False
12,퀘스트 받기,10,0,0,0,0,11,0,0,0,0,2,5,False
13,데존에 대해서,25,26,0,0,0,27,28,0,0,0,1,3,True
14,주 메뉴와 게임 종료,20,21,22,0,0,0,0,0,0,0,2,2,True
15,에테라이트와 텔레포,50,51,52,0,0,0,0,0,0,0,2,3,True
16,전투불능이 되었을 때,90,91,0,0,0,0,0,0,0,0,2,4,True
17,링크셸에 대해서,290,291,0,0,0,0,0,0,0,0,11,2,True
18,장비에 대해서,35,36,0,0,0,37,36,0,0,0,1,7,True
19,도시 내 에테라이트,45,0,0,0,0,0,0,0,0,0,3,3,True
20,상점에 대해서,135,136,0,0,0,137,136,0,0,0,6,6,True
21,추억의 보관함,1320,1321,0,0,0,0,0,0,0,0,11,7,True
22,모그레터에 대해서,40,41,0,0,0,40,42,0,0,0,8,2,True
23,성목 찾기,890,891,892,0,0,890,893,894,0,0,3,13,True
24,채집으로 아이템 얻기,900,901,902,0,0,0,0,0,0,0,4,13,True
25,채집 가능한 아이템 조사,910,911,912,0,0,0,0,0,0,0,5,13,True
26,은신하기,920,0,0,0,0,0,0,0,0,0,10,13,True
27,풀 베기,930,931,0,0,0,0,0,0,0,0,16,13,True
28,제작수첩 사용법,700,701,702,0,0,0,0,0,0,0,1,12,True
29,제작하기,710,711,712,713,0,714,711,712,713,0,2,12,True
30,품질 높이기,720,721,722,0,0,720,723,722,0,0,3,12,True
31,장비 내구도 감소,750,751,752,0,0,0,0,0,0,0,5,7,True
32,장비를 직접 수리하기,760,761,0,0,0,0,0,0,0,0,6,7,True
33,길드 의뢰 받는 법,500,501,0,0,0,0,0,0,0,0,1,9,True
34,길드 의뢰 시작하기,510,511,512,0,0,513,514,515,0,0,2,9,True
35,길드 의뢰 난이도 변경,520,521,0,0,0,0,0,0,0,0,3,9,True
36,휴식 지역,170,171,172,173,0,0,0,0,0,0,7,2,True
37,장비함에 대해서,160,161,162,0,0,160,161,163,0,0,3,7,True
38,클래스 체인지에 대해서,115,116,0,0,0,0,0,0,0,0,4,2,True
39,감정 표현으로 기분 전하기,80,81,82,0,0,80,83,0,0,0,3,2,True
40,,0,0,0,0,0,0,0,0,0,0,0,0,False
41,,0,0,0,0,0,0,0,0,0,0,0,0,False
42,길드 의뢰 수행,530,531,0,0,0,0,0,0,0,0,4,9,True
43,길드 의뢰 보상 받기,540,0,0,0,0,0,0,0,0,0,5,9,True
44,길드 의뢰에 다시 도전하려면,550,0,0,0,0,551,0,0,0,0,6,9,True
45,토벌수첩 사용법,400,401,402,0,0,403,404,405,0,0,9,4,True
46,꼬마 친구들,940,941,942,943,0,940,944,945,943,0,12,2,True
47,장터에 대해서,800,801,802,0,0,0,0,0,0,0,11,6,True
48,장터에서 원하는 아이템 찾기,810,811,812,813,0,0,0,0,0,0,12,6,True
49,장터에서 아이템 사기,820,821,0,0,0,0,0,0,0,0,13,6,True
50,장터에서 아이템 팔기,830,831,832,0,0,0,0,0,0,0,14,6,True
51,집사에 대해서,840,841,0,0,0,0,0,0,0,0,21,6,True
52,집사 고용하기,850,851,0,0,0,0,0,0,0,0,22,6,True
53,집사가 하는 일,860,861,0,0,0,0,0,0,0,0,23,6,True
54,채집장의 특성,870,871,0,0,0,0,0,0,0,0,22,13,True
55,미지의 채집 장소,1000,1001,1002,0,0,0,0,0,0,0,30,13,True
56,,0,0,0,0,0,0,0,0,0,0,0,0,False
57,던전 공략하기,105,106,107,0,0,0,0,0,0,0,4,8,True
58,제작 상태에 대해서,730,731,0,0,0,0,0,0,0,0,4,12,True
59,,0,0,0,0,0,0,0,0,0,0,0,0,False
60,HQ 아이템,770,771,0,0,0,0,0,0,0,0,2,6,True
61,한 개만 가질 수 있는 아이템,780,0,0,0,0,0,0,0,0,0,3,6,True
62,귀속된 아이템,790,791,0,0,0,0,0,0,0,0,2,7,True
63,플레이어 검색 및 검색 정보,210,211,212,213,214,210,211,215,213,216,13,2,True
64,돌발 임무 참가하기,610,611,612,613,0,0,0,0,0,0,1,8,True
65,콤보 시스템에 대해서,1210,1211,1212,1213,0,0,0,0,0,0,4,4,True
66,돌발 임무 보상과 공헌도,620,621,0,0,0,0,0,0,0,0,2,8,True
67,제작업 의뢰에 대해서,560,0,0,0,0,0,0,0,0,0,11,9,True
68,의뢰 납품,570,0,0,0,0,571,0,0,0,0,12,9,True
69,채집업 의뢰에 대해서,580,581,0,0,0,0,0,0,0,0,13,9,True
70,채집업 의뢰 달성조건,590,591,0,0,0,0,0,0,0,0,14,9,True
71,길드 작전 참가하기,630,631,0,0,0,0,0,0,0,0,11,8,True
72,길드 작전 설명,640,0,0,0,0,0,0,0,0,0,12,8,True
73,길드 작전의 위험 지역 표시,650,0,0,0,0,0,0,0,0,0,13,8,True
74,길드 작전 중 전투불능이 된 경우,660,0,0,0,0,0,0,0,0,0,14,8,True
75,길드 작전 보상,670,0,0,0,0,0,0,0,0,0,15,8,True
76,의뢰 협동에 대해서,600,0,0,0,0,0,0,0,0,0,9,9,True
77,,0,0,0,0,0,0,0,0,0,0,0,0,False
78,파티 참가하기,180,181,182,183,184,180,181,185,183,184,5,2,True
79,특별한 전투 지역,120,121,0,0,0,0,0,0,0,0,15,5,True
80,중요한 퀘스트,125,126,0,0,0,0,0,0,0,0,6,5,True
81,초코보 대여에 대해서,300,0,0,0,0,0,0,0,0,0,6,3,True
82,대여한 초코보에서 내리기,310,0,0,0,0,311,0,0,0,0,7,3,True
83,수송에 대해서,320,0,0,0,0,0,0,0,0,0,4,3,True
84,수송 중에 내리기,330,0,0,0,0,331,0,0,0,0,5,3,True
85,내 초코보에 대해서,340,341,343,0,0,0,0,0,0,0,8,3,True
86,내 초코보에서 내리기,350,0,0,0,0,351,0,0,0,0,9,3,True
87,총사령부 선택,410,411,412,0,0,0,0,0,0,0,1,10,True
88,클래스 퀘스트 보상,130,0,0,0,0,0,0,0,0,0,14,5,True
89,군수품 및 보급품 조달,420,421,0,0,0,0,0,0,0,0,3,10,True
90,희귀품 조달,430,431,0,0,0,0,0,0,0,0,4,10,True
91,자유부대에 대해서,440,441,442,0,0,0,0,0,0,0,1,11,True
92,리미트 브레이크 사용법,240,241,242,243,0,0,0,0,0,0,13,4,True
93,레벨 조율에 대해서,250,251,252,0,0,0,0,0,0,0,5,8,True
94,잡에 대해서,260,261,262,0,0,0,0,0,0,0,10,2,True
95,염색하기,950,951,952,953,0,0,0,0,0,0,8,7,True
96,초코보와 함께 싸우기,360,361,0,0,0,0,0,0,0,0,21,4,True
97,마테리아 만들기,960,961,962,0,0,0,0,0,0,0,21,7,True
98,마테리아로 장비품 강화하기,970,971,0,0,0,0,0,0,0,0,22,7,True
99,금단의 마테리아 장착,980,981,0,0,0,0,0,0,0,0,24,7,True
100,마테리아 장착법,990,991,992,0,0,0,0,0,0,0,23,7,True
101,거래할 수 없는 아이템,270,0,0,0,0,0,0,0,0,0,4,6,True
102,아이템 사용하기,280,281,0,0,0,280,283,0,0,0,1,6,True
103,,0,0,0,0,0,0,0,0,0,0,0,0,False
104,파티원 보충 기능,1190,0,0,0,0,0,0,0,0,0,23,8,True
105,광맥 찾기,1020,1021,1022,0,0,0,0,0,0,0,2,13,True
106,암석 캐기,1030,1031,0,0,0,0,0,0,0,0,13,13,True
107,,0,0,0,0,0,0,0,0,0,0,0,0,False
108,버디 키우기,380,381,382,383,0,0,0,0,0,0,22,4,True
109,초코보에게 지시하기,370,371,372,0,0,0,0,0,0,0,23,4,True
110,보물상자 열기,1110,0,0,0,0,0,0,0,0,0,7,9,True
111,현상수배 마물,1120,0,0,0,0,0,0,0,0,0,8,9,True
112,총사령부 의뢰에 대해서,1130,0,0,0,0,0,0,0,0,0,5,10,True
113,자유부대 서명,450,0,0,0,0,0,0,0,0,0,2,11,True
114,자유부대 가입을 환영합니다!,460,461,462,463,0,0,0,0,0,0,3,11,True
115,총사령부 옮기기,680,0,0,0,0,0,0,0,0,0,2,10,True
116,부대 금고 사용하기,470,471,0,0,0,0,0,0,0,0,4,11,True
117,부대 문장 만들기,480,481,0,0,0,0,0,0,0,0,5,11,True
118,부대 혜택에 대해서,490,491,492,0,0,0,0,0,0,0,6,11,True
119,낚시 준비하기,1040,1041,1042,0,0,0,0,0,0,0,1,14,True
120,낚시수첩 사용하기,1050,0,0,0,0,0,0,0,0,0,3,14,True
121,루어 사용하기,1060,1061,0,0,0,0,0,0,0,0,4,14,True
122,생미끼 낚시,1070,1071,0,0,0,0,0,0,0,0,5,14,True
123,특수한 낚시터에 대해서,1080,1081,0,0,0,0,0,0,0,0,6,14,True
124,물고기 크기,1090,0,0,0,0,0,0,0,0,0,7,14,True
125,숨은 명당,1100,0,0,0,0,0,0,0,0,0,8,14,True
126,간이 제작에 대해서,690,691,692,0,0,0,0,0,0,0,6,12,True
