key,0,1,2,3,4,5,6,7,8
#,Name,,,,StartsWithVowel,,,,Description
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str
0,"0",0,"0",0,0,1,0,0,""
1,"도도",0,"0",0,0,1,0,0,"마즐라야 섬 원산의 날지 못하는 대형 조류. 몸집이 통통하며 가슴살이 특히 일품이다. 알을 얻기 위해 키키룬족이 대륙에 들여왔으며, 지금은 에오르제아 모든 도시에서 널리 사육되고 있다. 스스로를 보호하기 위해 입에서 최면 효과가 있는 분비물을 뱉는다."
2,"톤베리",0,"0",0,0,1,0,0,"제5성력 시대에 번영했던 '니므' 문명의 유적 내부에 사는 정체불명의 민족. 인간처럼 의복을 착용하고 도구도 능숙하게 다루는 것으로 보아, 높은 지능을 가진 것으로 여겨진다. 니므 시대의 석판에는 '역병을 옮기는 자' 등, 불길한 존재로 표현되어 있다고 한다."
3,"사보텐더",0,"0",0,0,1,0,0,"건조한 지방에 서식하는 이동형 선인장. 몸속에 수분을 저장함으로써 물이 없는 곳에서도 오랫동안 견딜 수 있다고 한다. 또 가혹한 환경에서 살아남기 위해, 포식자를 발견하면 줄기에 박힌 침을 발사하여 적극적인 방어 행동을 취하기도 한다."
4,"스프리건",0,"0",0,0,1,0,0,"암반 지대나 광산에 출몰하는 칠흑색 마물. 항상 희귀한 광석을 소중하게 들고 다니기 때문에, 광부들은 스프리건을 '재물의 수호자'로 숭상하고 있다. 스프리건이 주술강으로 분류되는 이유는, 고전서 '백석대도감'에서 언급된 ""그들은 돌에 조종당하고 있을 뿐이다""라는 구절 때문이다."
5,"푸딩",0,"0",0,0,1,0,0,"이계 보이드의 오염된 물이 고인 늪에서 태어난 괴이한 마물. 사냥감을 유인하기 위해 사람 목소리를 흉내 내곤 한다. 그러나 지능은 낮으며, 요마학자가 분류한 요마 12계급 중에서도 제10위에 해당하는 하급 요마이다."
6,"봄",0,"0",0,0,1,0,0,"요마 12계급 중 제11위에 해당하는 불덩이 형태의 가스 생명체. 인간은 물론, 지방분을 보유한 동식물을 발견하면 자신의 연료로 삼기 위해 앞뒤 가리지 않고 공격한다. 비교적 온도가 높은 개체는 '그레네이드'라 불리며, 계급도 제10위에 해당한다."
7,"만드라고라",0,"0",0,0,1,0,0,"제7재해 후 나타나기 시작한 식물형 생물. 어디서 왔는지 전혀 알려진 바가 없다. 지능이 있으며 비언어적 의사소통 수단이 있는 것으로 보이지만, 아직 연구가 미비하여 확실한 것은 알 수 없다."
8,"코브란",0,"0",0,0,1,0,0,"자기 껍데기에 쓸 광석을 찾아 기어다니는 기묘한 마물. 호신 용도로 등에 광석을 심은 동물로 보는 그리다니아 학자와, 번식을 위해 동물의 기관을 도입한 광석으로 보는 울다하 학자 간에 견해가 엇갈리고 있다."
