#,Name,WKSMissionText,ClassJobCategory[0],ClassJobCategory[1],MissionTime,MissionReward,SilverStarRequirement,GoldStarRequirement,MissionToDo[0],MissionToDo[1],MissionToDo[2],LockedBehind,WKSMissionSupplyItem,WKSMissionRecipe,PlaceName,SortKey,WKSFunction,LevelGroup,Unknown0,WKSMissionLotterySpecialCond,IsSynced,IsSpecialQuest
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1, 범용 섬유판 제작,17,9,0,0,1,1200,2400,143,0,0,0,50,2,0,0,0,1,0,0,1,False
2, 거점 외부 활동용 연료 조달,20,9,0,0,2,1200,2400,144,0,0,0,51,3,0,0,0,1,0,0,1,False
3, 채집용 장신구 제작,22,9,0,0,3,1200,2400,145,0,0,0,52,4,0,0,0,1,0,0,1,False
4, 연구용 필수 소재 조달,29,9,0,0,4,1200,2400,146,0,0,0,53,5,0,0,0,1,0,0,1,False
5, 목탄 장기 지속성 검증,20,9,0,0,5,1200,2400,147,0,0,0,54,6,0,0,0,1,0,0,1,False
6, 범용 침구 제작,19,9,0,0,6,1200,2400,148,0,0,0,55,7,0,0,0,1,0,0,1,False
7, 얇은 섬유판 제작,17,9,0,0,7,1200,2400,149,0,0,0,56,8,0,0,0,2,0,0,1,False
8, 목수용 지원 물자 제작,20,9,0,0,8,1200,2400,150,0,0,0,57,9,0,0,0,2,0,0,1,False
9, 작업원용 재봉도구 조달,26,9,0,0,9,1300,3000,151,0,0,0,58,10,0,0,3,2,0,0,1,False
10, 데이터 기입용 종이 제작,18,9,0,0,10,700,1500,152,0,0,0,59,11,0,0,3,2,0,0,1,False
11, 단열 내장재 제작,19,9,0,0,11,1100,2500,153,0,0,0,60,12,0,0,3,2,0,0,1,False
12, 우주 라이너용 기본 자재 조달,28,9,0,0,12,1200,2250,154,0,0,0,61,13,0,0,3,2,0,0,1,False
13, 신소재를 사용한 귀걸이 제작,22,9,0,0,13,700,1500,155,0,0,0,62,14,0,0,3,2,0,0,1,False
14, 보급용 용기 제작,20,9,0,0,14,1600,2400,156,0,0,0,63,15,0,0,0,3,0,0,1,False
15, 두꺼운 섬유판 제작,17,9,0,0,15,1600,2400,157,0,0,0,64,16,0,0,0,3,0,0,1,False
16, 고품질 단열재 제작,19,9,0,0,16,1700,2000,158,0,0,0,65,17,0,0,3,3,0,0,1,False
17, 내열성 수지 제작,31,9,0,0,17,2700,3000,159,0,0,0,66,18,0,0,3,3,0,0,1,False
18, 장기 보존용 종이 제작,18,9,0,0,18,1600,2400,160,0,0,0,67,19,0,0,0,3,0,0,1,False
19, 거주구용 의자 제작,30,9,0,0,19,2700,3000,161,0,0,0,68,20,0,0,3,3,0,0,1,False
20, 시험 소재를 사용한 채집도구 제작,22,9,0,0,20,1000,1300,162,0,0,0,69,21,0,0,0,3,0,0,1,False
21, 휴식용 고품질 침대 제작,24,9,0,0,21,1000,1300,163,0,0,0,70,22,0,0,0,3,0,0,1,False
22,고강도 섬유판 제작,17,9,0,1200,22,1800,2400,164,0,0,0,71,23,0,1200,0,4,0,0,0,False
23,최고급 종이 제작,18,9,0,1200,23,2300,3000,165,0,0,0,72,24,0,1200,3,4,0,0,0,False
24,우주선용 단열재 조달,19,9,0,0,24,700,1000,166,0,0,0,73,25,0,1200,3,4,0,0,0,False
25,고화력 목탄 제작,20,9,0,1200,25,700,1000,167,0,0,0,74,26,0,1200,3,4,0,0,0,False
26,월면 식물 가공 검증,21,9,0,1200,26,2600,3000,168,0,0,0,75,27,0,1200,3,4,0,0,0,False
27,EX: 시험용 소재 최종 가공 검증,22,9,0,1200,27,2500,3000,169,0,0,0,76,28,0,1100,3,5,0,0,0,False
28,EX: 배식용 쟁반 제작,23,9,0,1200,28,840,1000,170,0,0,0,77,29,0,1100,3,5,0,0,0,False
29,EX: 이층 침대 제작,24,9,0,1200,29,840,1000,171,0,0,0,78,30,0,1100,3,5,2,0,0,False
30,EX: 작업 보조 설비 제작,25,9,0,1200,30,2800,3000,172,0,0,0,79,31,0,1100,3,5,1,13,0,False
31,EX+: 고품질 제작도구 보충,26,9,0,420,31,560,880,173,0,0,0,80,32,0,1000,0,6,0,14,0,False
32,EX+: 상부용 발판 제작,27,9,0,330,32,560,880,174,0,0,0,81,33,0,1000,0,6,0,13,0,False
33,동력 전달용 샤프트 제작,28,9,0,1200,33,2300,3000,175,0,0,0,82,34,0,1200,3,4,0,0,0,False
34,EX: 동력 전달용 샤프트 제작 2,28,9,0,1200,34,2500,3000,176,0,0,33,83,35,0,1100,3,5,0,0,0,False
35,성질 특화 소재 조달,29,9,0,1200,35,1000,1600,177,0,0,0,84,36,0,1200,0,4,0,0,0,False
36,EX: 성질 특화 소재 조달 2,29,9,0,1200,36,1000,1600,178,0,0,35,85,37,0,1100,0,5,0,0,0,False
37,EX+: 연구용 대형 수조 제작,29,9,0,300,37,1000,1600,179,0,0,36,86,38,0,1000,0,6,0,0,0,False
38,EX: 휴식 시설용 소재 제작,30,9,0,1200,38,850,1000,180,0,0,0,87,39,0,1100,3,5,0,0,0,False
39,EX+: 휴식 시설용 가구 제작,30,9,0,240,39,900,1000,181,0,0,38,88,40,0,1000,3,6,2,0,0,False
40,화물 포장 소재 제작,31,9,0,1200,40,2300,3000,182,0,0,0,89,41,0,1200,3,4,0,1,0,False
41,EX: 화물 포장 소재 제작 2,31,9,0,1200,41,2500,3000,183,0,0,40,90,42,0,1100,3,5,1,0,0,False
42,EX+: 탐사차용 화물 포장재 제작,31,9,0,270,42,2700,3000,184,0,0,41,91,43,0,1000,3,6,2,0,0,False
43,EX+: 생물연료 제작,32,9,0,600,43,980,1080,185,0,0,0,92,44,0,1000,3,6,1,7,0,False
44,EX+: 생물연료 제작 2,32,9,0,600,44,980,1080,186,0,0,43,93,45,0,1000,3,6,1,0,0,False
45,EX+: 생물연료 제작 최종 공정,32,9,0,420,45,1000,1080,187,0,0,44,94,46,0,1000,0,6,1,0,0,False
46, 범용 장갑판 제작,1,10,0,0,46,1200,2400,188,0,0,0,95,47,0,0,0,1,0,0,1,False
47, 우주선용 예비 부품 제작,14,10,0,0,47,1200,2400,189,0,0,0,96,48,0,0,0,1,0,0,1,False
48, 합금 제작 검증,2,10,0,0,48,1200,2400,190,0,0,0,97,49,0,0,0,1,0,0,1,False
49, 초급 맞춤형 부품 제작,15,10,0,0,49,1200,2400,191,0,0,0,98,50,0,0,0,1,0,0,1,False
50, 범용 금속 부품 제작,3,10,0,0,50,1200,2400,192,0,0,0,99,51,0,0,0,1,0,0,1,False
51, 필수품 대량 생산,3,10,0,0,51,1200,2400,193,0,0,0,100,52,0,0,0,1,0,0,1,False
52, 두꺼운 규격 장갑판 제작,1,10,0,0,52,1200,2400,194,0,0,0,101,53,0,0,0,2,0,0,1,False
53, 우주선용 전동축 제작,14,10,0,0,53,1200,2400,195,0,0,0,102,54,0,0,0,2,0,0,1,False
54, 작업원용 암석 분쇄도구 조달,4,10,0,0,54,1300,3000,196,0,0,0,103,55,0,0,3,2,0,0,1,False
55, 규격 합금 이음못 제작,3,10,0,0,55,700,1500,197,0,0,0,104,56,0,0,3,2,0,0,1,False
56, 작업원용 목공도구 제작,4,10,0,0,56,1100,2500,198,0,0,0,105,57,0,0,3,2,0,0,1,False
57, 중급 맞춤형 부품 제작,15,10,0,0,57,1200,2250,199,0,0,0,106,58,0,0,3,2,0,0,1,False
58, 단열 설비 제작,9,10,0,0,58,700,1500,200,0,0,0,107,59,0,0,3,2,0,0,1,False
59, 탐사차용 전동축 제작,3,10,0,0,59,1600,2400,201,0,0,0,108,60,0,0,0,3,0,0,1,False
60, 얇은 규격 장갑판 제작,1,10,0,0,60,1600,2400,202,0,0,0,109,61,0,0,0,3,0,0,1,False
61, 작업원용 금속 정제도구 조달,4,10,0,0,61,1700,2000,203,0,0,0,110,62,0,0,3,3,0,0,1,False
62, 입욕용 가구 제작,6,10,0,0,62,2700,3000,204,0,0,0,111,63,0,0,3,3,0,0,1,False
63, 이동식 청린 난로 제작,9,10,0,0,63,1600,2400,205,0,0,0,112,64,0,0,0,3,0,0,1,False
64, 거주구용 조명 제작,12,10,0,0,64,2700,3000,206,0,0,0,113,65,0,0,3,3,0,0,1,False
65, 월면 소재 도구 가공 의뢰,4,10,0,0,65,1000,1300,207,0,0,0,114,66,0,0,0,3,0,0,1,False
66, 월면 소재 부품 가공 의뢰,7,10,0,0,66,1000,1300,208,0,0,0,115,67,0,0,0,3,0,0,1,False
67,중요 시설용 장갑판 제작,1,10,0,1200,67,1800,2400,209,0,0,0,116,68,0,2200,0,4,0,0,0,False
68,희귀 소재 가공,2,10,0,1200,68,2300,3000,210,0,0,0,117,69,0,2200,3,4,0,0,0,False
69,설비 공사 필수품 보충,3,10,0,0,69,700,1000,211,0,0,0,118,70,0,2200,3,4,0,0,0,False
70,작업원용 판금도구 조달 의뢰,4,10,0,1200,70,700,1000,212,0,0,0,119,71,0,2200,3,4,0,0,0,False
71,운철 소재 가공 검증,5,10,0,1200,71,2600,3000,213,0,0,0,120,72,0,2200,3,4,0,0,0,False
72,EX: 동방 가구 재현 의뢰,6,10,0,1200,72,2500,3000,214,0,0,0,121,73,0,2100,3,5,0,0,0,False
73,EX: 정밀한 소재 가공,7,10,0,1200,73,840,1000,215,0,0,0,122,74,0,2100,3,5,0,0,0,False
74,EX: 달 관문 기지 비품 보충,8,10,0,1200,74,840,1000,216,0,0,0,123,75,0,2100,3,5,2,0,0,False
75,EX: 작업 보조 설비 제작,9,10,0,1200,75,2800,3000,217,0,0,0,124,76,0,2100,3,5,1,14,0,False
76,EX+: 소재 내구도 향상 가공,10,10,0,420,76,560,880,218,0,0,0,125,77,0,2000,0,6,0,13,0,False
77,EX+: 소재 충격 내성 향상 가공,11,10,0,330,77,560,880,219,0,0,0,126,78,0,2000,0,6,0,14,0,False
78,기지 내 가구 비품 제작,12,10,0,1200,78,2300,3000,220,0,0,0,127,79,0,2200,3,4,0,0,0,False
79,EX: 기지 내 가구 비품 제작 2,12,10,0,1200,79,2500,3000,221,0,0,78,128,80,0,2100,3,5,0,0,0,False
80,성질 특화 소재 조달,13,10,0,1200,80,1000,1600,222,0,0,0,129,81,0,2200,0,4,0,0,0,False
81,EX: 성질 특화 소재 조달 2,13,10,0,1200,81,1000,1600,223,0,0,80,130,82,0,2100,0,5,0,0,0,False
82,EX+: 연구용 대형 수조 제작,13,10,0,300,82,1000,1600,224,0,0,81,131,83,0,2000,0,6,0,0,0,False
83,EX: 우주선 건조용 소재 제작,14,10,0,1200,83,850,1000,225,0,0,0,132,84,0,2100,3,5,0,0,0,False
84,EX+: 우주선 건조용 소재 가공,14,10,0,240,84,900,1000,226,0,0,83,133,85,0,2000,3,6,2,0,0,False
85,고성능 무인기 소재 제작,15,10,0,1200,85,2300,3000,227,0,0,0,134,86,0,2200,3,4,0,3,0,False
86,EX: 고성능 무인기 소재 제작 2,15,10,0,1200,86,2500,3000,228,0,0,85,135,87,0,2100,3,5,1,0,0,False
87,EX+: 고성능 무인기 제작,15,10,0,270,87,2700,3000,229,0,0,86,136,88,0,2000,3,6,2,0,0,False
88,EX+: 특수 장비 소재 제작,16,10,0,600,88,980,1080,230,0,0,0,137,89,0,2000,3,6,1,9,0,False
89,EX+: 특수 장비 소재 제작 2,16,10,0,600,89,980,1080,231,0,0,88,138,90,0,2000,3,6,1,0,0,False
90,EX+: 특수 장비 제작 최종 공정,16,10,0,420,90,1000,1080,232,0,0,89,139,91,0,2000,0,6,1,0,0,False
91, 범용 장갑판 제작,1,11,0,0,91,1200,2400,233,0,0,0,140,92,0,0,0,1,0,0,1,False
92, 우주선용 예비 부품 제작,14,11,0,0,92,1200,2400,234,0,0,0,141,93,0,0,0,1,0,0,1,False
93, 합금 제작 검증,2,11,0,0,93,1200,2400,235,0,0,0,142,94,0,0,0,1,0,0,1,False
94, 초급 맞춤형 부품 제작,15,11,0,0,94,1200,2400,236,0,0,0,143,95,0,0,0,1,0,0,1,False
