key,0,1,2
#,,,
int32,str,str,str
0,"테스트","알아요","뭐야!?"
1,"마도 전지를 획득하시겠습니까?","예","아니요"
2,"","",""
3,"","",""
4,"사교의 염주를 파괴하시겠습니까?","예","아니요"
5,"마도 전지를 사용하시겠습니까?","예","아니요"
6,"정말 <Highlight>ObjectParameter(56)</Highlight>에서 나가시겠습니까?","예","아니요"
7,"","",""
8,"던전에서 나가시겠습니까?","예","아니요"
9,"작은 열쇠를 사용하여 문을 여시겠습니까?","예","아니요"
10,"","",""
11,"폭파하시겠습니까?","예","아니요"
12,"스위치를 누르시겠습니까?","예","아니요"
13,"열쇠를 획득하시겠습니까?","예","아니요"
14,"전용 열쇠 A를 획득하시겠습니까?","예","아니요"
15,"전용 열쇠 B를 획득하시겠습니까?","예","아니요"
16,"전용 열쇠 C를 획득하시겠습니까?","예","아니요"
17,"전용 열쇠 D를 획득하시겠습니까?","예","아니요"
18,"작은 열쇠를 사용하여 문을 여시겠습니까?","예","아니요"
19,"겨우살이 열쇠를 사용하여 문을 여시겠습니까?","예","아니요"
20,"패랭이꽃 열쇠를 사용하여 문을 여시겠습니까?","예","아니요"
21,"백합 열쇠를 사용하여 문을 여시겠습니까?","예","아니요"
22,"장미 열쇠를 사용하여 문을 여시겠습니까?","예","아니요"
23,"","",""
24,"","",""
25,"등불을 끄시겠습니까?","예","아니요"
26,"레버를 당기시겠습니까?","예","아니요"
27,"","",""
28,"","",""
29,"사교의 염주를 사용하시겠습니까?","예","아니요"
30,"마도 전송기를 사용하시겠습니까?","예","아니요"
31,"피로 쓴 쪽지를 사용하시겠습니까?","예","아니요"
32,"승강기 레버를 당기시겠습니까?","예","아니요"
33,"승강기 레버를 당기시겠습니까?","예","아니요"
34,"폭파 장치를 작동시키시겠습니까?","예","아니요"
35,"폭약 12온즈를 투입구에 넣으시겠습니까?","예","아니요"
36,"최근 완료 지점으로 이동하시겠습니까?","예","아니요"
37,"피난처 정문을 여시겠습니까?","예","아니요"
38,"<Sheet(EventItem,IntegerParameter(1),0)/><13>FF1302280FFF0A4576656E744974656DE8020103FF04EBA5BCFF04EC9D84</13> 사용하시겠습니까?","예","아니요"
39,"스위치를 누르시겠습니까?","예","아니요"
40,"마력의 흐름을 타고 이동하시겠습니까?","예","아니요"
41,"마력의 흐름을 타고 이동하시겠습니까?","예","아니요"
