#,Name,SeparateType,DataType,JournalSection,MapCondition
0,무효 카테고리,0,0,255,0
1,주요 퀘스트: 신생 에오르제아,1,1,0,0
2,주요 퀘스트: 제7성력 스토리,1,1,0,0
3,주요 퀘스트: 창천의 이슈가르드,1,1,0,0
4,주요 퀘스트: 용시전쟁 완결편,1,1,0,0
5,주요 퀘스트: 용시전쟁 전후편,1,1,0,0
6,주요 퀘스트: 홍련의 해방자,1,1,0,0
7,주요 퀘스트: 해방전쟁 전후편,1,1,0,0
8,주요 퀘스트: 칠흑의 반역자,1,1,0,0
9,주요 퀘스트: 새벽의 귀환편,1,1,0,0
10,주요 퀘스트: 종말의 서곡편,1,1,0,0
11,주요 퀘스트: 효월의 종언,1,1,0,0
12,주요 퀘스트: 새로운 모험편,1,1,0,0
13,주요 퀘스트: 황금의 유산,1,1,1,0
14,주요 퀘스트: 황금의 유산 완결편,1,1,1,0
15,연대기 퀘스트: 야만신의 위협,1,1,2,0
16,연대기 퀘스트: 바하무트,1,1,2,0
17,연대기 퀘스트: 크리스탈 타워,1,1,2,0
18,연대기 퀘스트: 알렉산더,1,1,2,0
19,연대기 퀘스트: 고대의 신들,1,1,2,0
20,연대기 퀘스트: 마하의 그림자,1,1,2,0
21,연대기 퀘스트: 오메가,2,1,2,0
22,연대기 퀘스트: 이발리스로의 귀환,1,1,2,0
23,연대기 퀘스트: 사성수기담,1,1,2,0
24,연대기 퀘스트: 에덴,1,1,2,0
25,요르하: 어둠의 묵시록,1,1,2,0
26,연대기 퀘스트: 웰리트 군사 작전,1,1,2,0
27,연대기 퀘스트: 판데모니움,2,1,2,0
28,연대기 퀘스트: 에오르제아의 신화,1,1,2,0
29,연대기 퀘스트: 아르카디아,1,1,2,0
30,연대기 퀘스트: 바나딜의 반향,1,1,2,0
31,우호부족 퀘스트: 요카후이,2,1,5,0
32,우호부족 퀘스트: 마무쟈,2,1,5,0
33,우호부족 퀘스트: 펠루펠루,2,1,5,0
34,우호부족 외전 퀘스트,2,1,5,0
35,우호부족 퀘스트: 아말쟈,2,1,4,0
36,우호부족 퀘스트: 실프,2,1,4,0
37,우호부족 퀘스트: 코볼드,2,1,4,0
38,우호부족 퀘스트: 사하긴,2,1,4,0
39,우호부족 퀘스트: 이크살,2,1,4,0
40,우호부족 퀘스트: 바누바누,2,1,4,0
41,우호부족 퀘스트: 그나스,2,1,4,0
42,우호부족 퀘스트: 모그리,2,1,4,0
43,우호부족 퀘스트: 코우진,2,1,4,0
44,우호부족 퀘스트: 아난타,2,1,4,0
45,우호부족 퀘스트: 나마즈오,2,1,4,0
46,우호부족 퀘스트: 픽시,2,1,4,0
47,우호부족 퀘스트: 키타리,2,1,4,0
48,우호부족 퀘스트: 드워프,2,1,4,0
49,우호부족 퀘스트: 아르카소다라,2,1,4,0
50,우호부족 퀘스트: 오미크론,2,1,4,0
51,우호부족 퀘스트: 레포릿,2,1,4,0
52,우호부족 외전 퀘스트,2,1,4,0
53,부가 퀘스트: 주요 퀘스트 번외편,2,1,3,0
54,부가 퀘스트: 사건해결사 힐디브랜드,2,1,3,0
55,부가 퀘스트: 무기 강화,2,1,3,0
56,부가 퀘스트: 특수 임무,2,1,3,0
57,외전 퀘스트,2,1,3,0
58,부가 퀘스트: 라노시아,3,1,3,0
59,부가 퀘스트: 검은장막 숲,3,1,3,0
60,부가 퀘스트: 다날란,3,1,3,0
61,부가 퀘스트: 커르다스,3,1,3,0
62,부가 퀘스트: 모르도나,3,1,3,0
63,부가 퀘스트: 이슈가르드,3,1,3,0
64,부가 퀘스트: 아발라시아,3,1,3,0
65,부가 퀘스트: 드라바니아,3,1,3,0
66,부가 퀘스트: 아지스 라,3,1,3,0
67,부가 퀘스트: 기라바니아,3,1,3,0
68,부가 퀘스트: 오사드,3,1,3,0
69,부가 퀘스트: 동쪽 나라,3,1,3,0
70,부가 퀘스트: 레이크랜드,3,1,3,0
71,부가 퀘스트: 콜루시아 섬,3,1,3,0
72,부가 퀘스트: 아므 아랭,3,1,3,0
73,부가 퀘스트: 일 메그,3,1,3,0
74,부가 퀘스트: 라케티카 대삼림,3,1,3,0
75,부가 퀘스트: 템페스트,3,1,3,4
76,부가 퀘스트: 샬레이안,3,1,3,0
77,부가 퀘스트: 사베네어 섬,3,1,3,0
78,부가 퀘스트: 갈레말드,3,1,3,0
79,부가 퀘스트: 비탄의 바다,3,1,3,7
80,부가 퀘스트: 엘피스,3,1,3,9
81,부가 퀘스트: 울티마 툴레,3,1,3,8
82,부가 퀘스트: 요카 투랄,3,1,3,0
83,부가 퀘스트: 사카 투랄,3,1,3,0
84,부가 퀘스트: 언로스트 월드,3,1,3,27
85,클래스 퀘스트: 투사,2,1,6,0
86,클래스 퀘스트: 마법사,2,1,6,0
87,클래스 퀘스트: 제작자,2,1,6,0
88,클래스 퀘스트: 채집가,2,1,6,0
89,클래스 퀘스트: 중용의 공예관,2,1,6,0
90,클래스 퀘스트: 마법대학,2,1,6,0
91,클래스 퀘스트: 와추메키메키 종합상가,2,1,6,0
92,잡 퀘스트: 투사,2,1,6,0
93,잡 퀘스트: 마법사,2,1,6,0
94,역할 퀘스트,2,1,6,0
95,총사령부 퀘스트,2,1,7,0
96,기간 한정 이벤트,2,1,7,0
97,기타 퀘스트,2,1,7,0
98,길드 의뢰: 용병업,3,2,8,0
99,길드 의뢰: 광부,3,2,8,0
100,길드 의뢰: 원예가,3,2,8,0
101,길드 의뢰: 어부,3,2,8,0
102,길드 의뢰: 목수,3,2,8,0
103,길드 의뢰: 대장장이,3,2,8,0
104,길드 의뢰: 갑주제작사,3,2,8,0
105,길드 의뢰: 보석공예가,3,2,8,0
106,길드 의뢰: 가죽공예가,3,2,8,0
107,길드 의뢰: 재봉사,3,2,8,0
108,길드 의뢰: 연금술사,3,2,8,0
109,길드 의뢰: 요리사,3,2,8,0
110,신전기사단 의뢰: 용병업,3,2,8,0
111,신전기사단 의뢰: 광부,3,2,8,0
112,신전기사단 의뢰: 원예가,3,2,8,0
113,신전기사단 의뢰: 어부,3,2,8,0
114,신전기사단 의뢰: 목수,3,2,8,0
115,신전기사단 의뢰: 대장장이,3,2,8,0
116,신전기사단 의뢰: 갑주제작사,3,2,8,0
117,신전기사단 의뢰: 보석공예가,3,2,8,0
118,신전기사단 의뢰: 가죽공예가,3,2,8,0
119,신전기사단 의뢰: 재봉사,3,2,8,0
120,신전기사단 의뢰: 연금술사,3,2,8,0
121,신전기사단 의뢰: 요리사,3,2,8,0
122,길드 의뢰: 진영,2,2,8,0
123,총사령부 의뢰,2,2,8,0
124,임무: 신생 에오르제아,2,3,9,0
125,임무: 창천의 이슈가르드,2,3,9,0
126,임무: 홍련의 해방자,2,3,9,0
127,임무: 칠흑의 반역자,2,3,9,0
128,임무: 효월의 종언,2,3,9,0
129,임무: 황금의 유산,2,3,9,0
130,구 버전 퀘스트,2,4,7,0
