key,0,1,2,3,4,5,6
#,Name,Description,Icon,FCRank,Cost,Order,Purchasable
int32,str,str,Image,FCRank,uint32,byte,bit&01
0,"","",0,0,0,0,True
1,"처치 경험치 향상","24시간(현실 시간) 동안 적 처치 시 얻는 경험치가 5% 향상됩니다.",64213,5,3500,1,True
2,"채집 경험치 향상","24시간(현실 시간) 동안 채집 시 얻는 경험치가 5% 향상됩니다.",64215,5,3500,2,True
3,"제작 경험치 향상","24시간(현실 시간) 동안 제작 시 얻는 경험치가 5% 향상됩니다.",64216,5,3500,3,True
4,"버디 경험치 향상","24시간(현실 시간) 동안 버디가 얻는 경험치가 10% 향상됩니다.",64214,5,2800,4,True
5,"명예 점수 향상","24시간(현실 시간) 동안 명예 점수 획득량이 5% 향상됩니다.",64217,5,2800,5,True
6,"군표 증가","24시간(현실 시간) 동안 군표 획득량이 5% 향상됩니다.",64218,5,2800,6,True
7,"초보자 지원","24시간(현실 시간) 동안 레벨 25 이하 전투 클래스의 모든 캐릭터 능력치가 10% 향상됩니다.",64201,5,1750,8,True
8,"획득력 향상","24시간(현실 시간) 동안 채집가의 획득력이 5 향상됩니다.",64202,5,2800,9,True
9,"기술력 향상","24시간(현실 시간) 동안 채집가의 기술력이 5 향상됩니다.",64203,5,2800,10,True
10,"작업 숙련도 향상","24시간(현실 시간) 동안 제작자의 작업 숙련도가 5 향상됩니다.",64204,5,2800,11,True
11,"가공 숙련도 향상","24시간(현실 시간) 동안 제작자의 가공 숙련도가 5 향상됩니다.",64205,5,2800,12,True
12,"결속도 증가량 향상","24시간(현실 시간) 동안 결속도가 더 잘 오릅니다.",64209,5,3500,13,True
13,"식사 지속시간 연장","24시간(현실 시간) 동안 식사 효과 지속시간이 5분 연장됩니다.",64208,5,2800,14,True
14,"장비 소모 절감","24시간(현실 시간) 동안 장비 내구도 감소 속도가 10% 느려집니다.",64210,5,3500,15,True
15,"도시 내 전력 질주 연장","24시간(현실 시간) 동안 도시 내에서 전력 질주 사용 시 지속시간이 25% 연장됩니다.",64220,5,2800,16,True
16,"텔레포 할인","24시간(현실 시간) 동안 텔레포 비용이 20% 할인됩니다.",64212,5,3500,17,True
17,"MGP 증가","24시간(현실 시간) 동안 맨더빌 골드 소서 포인트 획득량이 5% 증가합니다.",64219,5,2800,7,True
18,"","",0,0,0,0,False
19,"","",0,0,0,0,False
20,"","",0,0,0,0,False
21,"","",0,0,0,0,False
22,"","",0,0,0,0,False
23,"","",0,0,0,0,False
24,"","",0,0,0,0,False
25,"","",0,0,0,0,False
26,"","",0,0,0,0,False
27,"","",0,0,0,0,False
28,"","",0,0,0,0,False
29,"","",0,0,0,0,False
30,"","",0,0,0,0,False
31,"처치 경험치 향상 2","24시간(현실 시간) 동안 적 처치 시 얻는 경험치가 10% 향상됩니다.",64238,8,7000,18,True
32,"채집 경험치 향상 2","24시간(현실 시간) 동안 채집 시 얻는 경험치가 10% 향상됩니다.",64240,8,7000,19,True
33,"제작 경험치 향상 2","24시간(현실 시간) 동안 제작 시 얻는 경험치가 10% 향상됩니다.",64241,8,7000,20,True
34,"버디 경험치 향상 2","24시간(현실 시간) 동안 버디가 얻는 경험치가 15% 향상됩니다.",64239,8,7000,21,True
35,"명예 점수 향상 2","24시간(현실 시간) 동안 명예 점수 획득량이 10% 향상됩니다.",64242,8,7000,22,True
36,"군표 증가 2","24시간(현실 시간) 동안 군표 획득량이 10% 향상됩니다.",64243,8,7000,23,True
37,"초보자 지원 2","24시간(현실 시간) 동안 레벨 49 이하 전투 클래스의 모든 캐릭터 능력치가 5% 향상됩니다.",64226,8,3500,25,True
38,"획득력 향상 2","24시간(현실 시간) 동안 채집가의 획득력이 10 향상됩니다.",64227,8,7000,26,True
39,"기술력 향상 2","24시간(현실 시간) 동안 채집가의 기술력이 10 향상됩니다.",64228,8,7000,27,True
40,"작업 숙련도 향상 2","24시간(현실 시간) 동안 제작자의 작업 숙련도가 10 향상됩니다.",64229,8,7000,28,True
41,"가공 숙련도 향상 2","24시간(현실 시간) 동안 제작자의 가공 숙련도가 10 향상됩니다.",64230,8,7000,29,True
42,"결속도 증가량 향상 2","24시간(현실 시간) 동안 결속도가 더 잘 오릅니다.",64234,8,7000,30,True
43,"식사 지속시간 연장 2","24시간(현실 시간) 동안 식사 효과 지속시간이 10분 연장됩니다.",64233,8,7000,31,True
44,"장비 소모 절감 2","24시간(현실 시간) 동안 장비 내구도 감소 속도가 20% 느려집니다.",64235,8,7000,32,True
45,"도시 내 전력 질주 연장 2","24시간(현실 시간) 동안 도시 내에서 전력 질주 사용 시 지속시간이 50% 연장됩니다.",64245,8,5600,33,True
46,"텔레포 할인 2","24시간(현실 시간) 동안 텔레포 비용이 30% 할인됩니다.",64237,8,7000,34,True
47,"MGP 증가 2","24시간(현실 시간) 동안 맨더빌 골드 소서 포인트 획득량이 10% 증가합니다.",64244,8,7000,24,True
48,"","",0,0,0,0,False
49,"","",0,0,0,0,False
50,"","",0,0,0,0,False
51,"","",0,0,0,0,False
52,"","",0,0,0,0,False
53,"","",0,0,0,0,False
54,"","",0,0,0,0,False
55,"","",0,0,0,0,False
56,"","",0,0,0,0,False
57,"","",0,0,0,0,False
58,"","",0,0,0,0,False
59,"","",0,0,0,0,False
60,"","",0,0,0,0,False
61,"처치 경험치 향상 3","24시간(현실 시간) 동안 적 처치 시 얻는 경험치가 15% 향상됩니다.",64263,8,10500,35,False
62,"채집 경험치 향상 3","24시간(현실 시간) 동안 채집 시 얻는 경험치가 20% 향상됩니다.",64265,8,10500,36,False
63,"제작 경험치 향상 3","24시간(현실 시간) 동안 제작 시 얻는 경험치가 20% 향상됩니다.",64266,8,10500,37,False
64,"버디 경험치 향상 3","24시간(현실 시간) 동안 버디가 얻는 경험치가 20% 향상됩니다.",64264,8,10500,38,False
65,"명예 점수 향상 3","24시간(현실 시간) 동안 명예 점수 획득량이 15% 향상됩니다.",64267,8,10500,39,False
