#,Name,Icon,AltIcon,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown10,Category,Unknown12,Unknown13,Unknown14,Unknown15
0,,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,0,-1,False,False,False
1,円形白無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
2,円形白タイルフィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
3,円形グレー無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
4,체크무늬(원형),240001,0,0,1,2,3,0,0,1,256,256,255,255,255,255,255,1,-1,True,False,False
5,四角形白無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
6,四角形白タイルフィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
7,四角形グレー無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
8,체크무늬(정사각형),240002,0,0,1,2,3,0,0,2,256,256,255,255,255,255,255,1,-1,True,False,False
9,원형 범위 공격,240212,0,0,12,2,3,0,0,101,512,512,255,255,255,255,255,6,-1,True,False,False
10,부채꼴 범위 공격,240212,0,0,12,2,3,6,0,102,512,512,255,255,255,255,255,6,-1,True,True,True
11,직선 범위 공격,240303,0,0,4,5,2,3,0,103,128,128,255,255,255,255,255,6,10,True,False,False
12,직선,240305,0,0,2,3,11,0,0,999,256,6,255,255,6,255,255,4,10,True,False,False
13,시선 공격,240201,0,0,1,2,3,0,0,105,128,128,255,255,255,255,255,6,-1,True,False,False
14,나눠 맞기 공격,240202,0,0,1,2,3,0,0,106,128,128,255,255,255,255,255,6,-1,True,False,False
15,나눠 맞기 공격(직선),240204,0,0,1,2,3,8,0,107,128,128,255,255,255,255,255,6,-1,True,False,True
16,거리 경감 피해 공격,240205,0,0,1,2,3,0,0,108,256,256,255,255,255,255,255,6,-1,True,False,False
17,고리형 범위 공격,240218,0,0,12,2,3,6,7,109,512,512,255,255,30,360,255,6,-1,True,True,True
18,검술사,230904,0,1,1,2,3,0,0,200,32,32,255,255,255,255,255,2,-1,True,False,False
19,격투사,230905,0,2,1,2,3,0,0,203,32,32,255,255,255,255,255,2,-1,True,False,False
20,도끼술사,230906,0,3,1,2,3,0,0,201,32,32,255,255,255,255,255,2,-1,True,False,False
21,창술사,230907,0,4,1,2,3,0,0,204,32,32,255,255,255,255,255,2,-1,True,False,False
22,궁술사,230908,0,5,1,2,3,0,0,206,32,32,255,255,255,255,255,2,-1,True,False,False
23,환술사,230909,0,6,1,2,3,0,0,202,32,32,255,255,255,255,255,2,-1,True,False,False
24,주술사,230910,0,7,1,2,3,0,0,207,32,32,255,255,255,255,255,2,-1,True,False,False
25,비술사,230929,0,26,1,2,3,0,0,208,32,32,255,255,255,255,255,2,-1,True,False,False
26,쌍검사,230932,0,29,1,2,3,0,0,205,32,32,255,255,255,255,255,2,-1,True,False,False
27,나이트,230922,0,19,1,2,3,0,0,20,32,32,255,255,255,255,255,2,-1,True,False,False
28,몽크,230923,0,20,1,2,3,0,0,40,32,32,255,255,255,255,255,2,-1,True,False,False
29,전사,230924,0,21,1,2,3,0,0,21,32,32,255,255,255,255,255,2,-1,True,False,False
30,용기사,230925,0,22,1,2,3,0,0,41,32,32,255,255,255,255,255,2,-1,True,False,False
31,음유시인,230926,0,23,1,2,3,0,0,50,32,32,255,255,255,255,255,2,-1,True,False,False
32,백마도사,230927,0,24,1,2,3,0,0,30,32,32,255,255,255,255,255,2,-1,True,False,False
33,흑마도사,230928,0,25,1,2,3,0,0,60,32,32,255,255,255,255,255,2,-1,True,False,False
34,소환사,230930,0,27,1,2,3,0,0,61,32,32,255,255,255,255,255,2,-1,True,False,False
35,학자,230931,0,28,1,2,3,0,0,31,32,32,255,255,255,255,255,2,-1,True,False,False
36,닌자,230933,0,30,1,2,3,0,0,42,32,32,255,255,255,255,255,2,-1,True,False,False
37,기공사,230934,0,31,1,2,3,0,0,51,32,32,255,255,255,255,255,2,-1,True,False,False
38,암흑기사,230935,0,32,1,2,3,0,0,22,32,32,255,255,255,255,255,2,-1,True,False,False
39,점성술사,230936,0,33,1,2,3,0,0,32,32,32,255,255,255,255,255,2,-1,True,False,False
40,사무라이,230937,0,34,1,2,3,0,0,43,32,32,255,255,255,255,255,2,-1,True,False,False
41,적마도사,230938,0,35,1,2,3,0,0,62,32,32,255,255,255,255,255,2,-1,True,False,False
42,청마도사,230939,0,36,1,2,3,0,0,70,32,32,255,255,255,255,255,2,-1,True,False,False
43,건브레이커,230940,0,37,1,2,3,0,0,23,32,32,255,255,255,255,255,2,-1,True,False,False
44,무도가,230941,0,38,1,2,3,0,0,52,32,32,255,255,255,255,255,2,-1,True,False,False
45,리퍼,230942,0,39,1,2,3,0,0,44,32,32,255,255,255,255,255,2,-1,True,False,False
46,현자,230943,0,40,1,2,3,0,0,33,32,32,255,255,255,255,255,2,-1,True,False,False
47,방어 역할,230901,0,0,1,2,3,0,0,1,32,32,255,255,255,255,255,2,-1,True,False,False
48,방어 역할 1,230946,0,0,1,2,3,0,0,2,32,32,255,255,255,255,255,2,-1,True,False,False
49,방어 역할 2,230947,0,0,1,2,3,0,0,3,32,32,255,255,255,255,255,2,-1,True,False,False
50,회복 역할,230902,0,0,1,2,3,0,0,4,32,32,255,255,255,255,255,2,-1,True,False,False
51,회복 역할 1,230948,0,0,1,2,3,0,0,5,32,32,255,255,255,255,255,2,-1,True,False,False
52,회복 역할 2,230949,0,0,1,2,3,0,0,6,32,32,255,255,255,255,255,2,-1,True,False,False
53,공격 역할,230903,0,0,1,2,3,0,0,9,32,32,255,255,255,255,255,2,-1,True,False,False
54,공격 역할 1,230950,230955,0,1,2,3,0,0,10,32,32,255,255,255,255,255,2,-1,True,False,False
55,공격 역할 2,230951,230956,0,1,2,3,0,0,11,32,32,255,255,255,255,255,2,-1,True,False,False
56,공격 역할 3,230952,230958,0,1,2,3,0,0,12,32,32,255,255,255,255,255,2,-1,True,False,False
57,공격 역할 4,230953,230959,0,1,2,3,0,0,13,32,32,255,255,255,255,255,2,-1,True,False,False
58,DPS5,230900,0,0,1,2,3,0,0,999,32,32,255,255,255,255,255,2,-1,False,False,False
59,DPS6,230900,0,0,1,2,3,0,0,999,32,32,255,255,255,255,255,2,-1,False,False,False
60,소형 적,240101,0,0,1,2,3,0,0,1,64,64,255,255,255,255,255,3,-1,True,False,True
61,エネミー小2,61707,0,0,1,2,3,0,0,999,64,64,255,255,255,255,255,3,-1,False,True,True
62,중형 적,240102,0,0,1,2,3,0,0,3,64,64,255,255,255,255,255,3,-1,True,False,True
63,エネミー中2,61712,0,0,1,2,3,0,0,999,64,64,255,255,255,255,255,3,-1,False,True,True
64,대형 적,240103,0,0,1,2,3,0,0,5,64,64,255,255,255,255,255,3,-1,True,False,True
65,공격1,61301,0,0,1,2,3,0,0,10,32,32,255,255,255,255,255,3,-1,True,False,False
66,공격2,61302,0,0,1,2,3,0,0,11,32,32,255,255,255,255,255,3,-1,True,False,False
67,공격3,61303,0,0,1,2,3,0,0,12,32,32,255,255,255,255,255,3,-1,True,False,False
68,공격4,61304,0,0,1,2,3,0,0,13,32,32,255,255,255,255,255,3,-1,True,False,False
69,공격5,61305,0,0,1,2,3,0,0,14,32,32,255,255,255,255,255,3,-1,True,False,False
70,속박1,61311,0,0,1,2,3,0,0,18,32,32,255,255,255,255,255,3,-1,True,False,False
71,속박2,61312,0,0,1,2,3,0,0,19,32,32,255,255,255,255,255,3,-1,True,False,False
72,속박3,61313,0,0,1,2,3,0,0,20,32,32,255,255,255,255,255,3,-1,True,False,False
73,금지1,61321,0,0,1,2,3,0,0,21,32,32,255,255,255,255,255,3,-1,True,False,False
74,금지2,61322,0,0,1,2,3,0,0,22,32,32,255,255,255,255,255,3,-1,True,False,False
75,네모,61331,0,0,1,2,3,0,0,23,32,32,255,255,255,255,255,3,-1,True,False,False
76,동그라미,61332,0,0,1,2,3,0,0,24,32,32,255,255,255,255,255,3,-1,True,False,False
77,십자,61333,0,0,1,2,3,0,0,25,32,32,255,255,255,255,255,3,-1,True,False,False
78,세모,61334,0,0,1,2,3,0,0,26,32,32,255,255,255,255,255,3,-1,True,False,False
79,지면 표식 A,61341,0,0,1,2,3,0,0,27,48,48,255,255,255,255,255,3,-1,True,False,False
80,지면 표식 B,61342,0,0,1,2,3,0,0,28,48,48,255,255,255,255,255,3,-1,True,False,False
81,지면 표식 C,61343,0,0,1,2,3,0,0,29,48,48,255,255,255,255,255,3,-1,True,False,False
82,지면 표식 D,61347,0,0,1,2,3,0,0,30,48,48,255,255,255,255,255,3,-1,True,False,False
83,지면 표식 1,61344,0,0,1,2,3,0,0,31,48,48,255,255,255,255,255,3,-1,True,False,False
84,지면 표식 2,61345,0,0,1,2,3,0,0,32,48,48,255,255,255,255,255,3,-1,True,False,False
85,지면 표식 3,61346,0,0,1,2,3,0,0,33,48,48,255,255,255,255,255,3,-1,True,False,False
86,지면 표식 4,61348,0,0,1,2,3,0,0,34,48,48,255,255,255,255,255,3,-1,True,False,False
87,동그라미표,240026,0,0,1,2,3,0,0,2,48,48,255,255,255,255,255,4,-1,True,False,False
88,가위표,240027,0,0,1,2,3,0,0,3,48,48,255,255,255,255,255,4,-1,True,False,False
89,삼각형,240028,0,0,1,2,3,0,0,4,48,48,255,255,255,255,255,4,-1,True,False,True
90,사각형,240029,0,0,1,2,3,0,0,5,48,48,255,255,255,255,255,4,-1,True,False,False
91,동그라미(강조),61334,0,0,1,2,3,0,0,6,128,128,255,255,255,255,255,4,-1,False,True,True
92,삼각형(강조),61332,0,0,1,2,3,0,0,7,128,128,255,255,255,255,255,4,-1,False,True,True
93,사각형(강조),61331,0,0,1,2,3,0,0,8,128,128,255,255,255,255,255,4,-1,False,True,True
94,화살표,240030,0,0,1,2,3,0,0,9,48,48,255,255,255,255,255,4,-1,True,False,True
95,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
96,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
97,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
98,느낌표,230206,0,0,1,2,3,0,0,15,128,128,255,255,255,255,255,4,-1,False,True,True
99,물음표,230207,0,0,1,2,3,0,0,16,128,128,255,255,255,255,255,4,-1,False,True,True
100,글자,240301,0,0,0,0,0,0,0,1,0,0,255,255,255,255,255,4,0,True,False,False
101,바이퍼,230944,0,41,1,2,3,0,0,45,32,32,255,255,255,255,255,2,-1,True,False,False
102,픽토맨서,230945,0,42,1,2,3,0,0,63,32,32,255,255,255,255,255,2,-1,True,False,False
103,회전,240031,0,0,1,2,3,0,0,13,48,48,255,255,255,255,255,4,-1,True,True,True
104,図形：矢印右回り,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
105,그룹,240106,0,0,1,2,3,0,0,0,32,32,255,255,255,255,255,5,-1,True,False,False
106,나눠 맞기 공격(연속),240203,0,0,1,2,3,0,0,110,128,128,255,255,255,255,255,6,-1,True,False,False
107,거리 경감 피해 공격(대상 중심),240206,0,0,1,2,3,0,0,111,128,128,255,255,255,255,255,6,-1,True,False,True
108,강력한 공격,240207,0,0,1,2,3,0,0,112,64,64,255,255,255,255,255,6,-1,True,False,False
109,밀쳐내기 공격(방사형),240208,0,0,1,2,3,0,0,113,256,256,255,255,255,255,255,6,-1,True,False,False
