key,0
#,
int32,str
0,""
1,"늑대우리"
2,"늑대우리(일반전)"
3,"전장"
4,"트리플 트라이어드"
5,"꼬마 친구 공방전"
6,"던전(신생 에오르제아)"
7,"던전(창천의 이슈가르드)"
8,"토벌전(신생 에오르제아)"
9,"토벌전(창천의 이슈가르드)"
10,"레이드(신생 에오르제아)"
11,"일반 레이드(창천의 이슈가르드)"
12,"영웅 레이드(신생 에오르제아)"
13,"영웅 레이드(창천의 이슈가르드)"
14,"연합 레이드(신생 에오르제아)"
15,"연합 레이드(창천의 이슈가르드)"
16,"일반 레이드(홍련의 해방자)"
17,"영웅 레이드(홍련의 해방자)"
18,"연합 레이드(홍련의 해방자)"
19,"고난도 토벌전(신생 에오르제아)"
20,"고난도 토벌전(창천의 이슈가르드)"
21,"토벌전(홍련의 해방자)"
22,"고난도 토벌전(홍련의 해방자)"
23,"경쟁의 날개"
24,"늑대우리(친선 경기)"
25,"늑대우리(팀 친선 경기)"
26,"초코보 경주"
27,"초코보 경주(파티원 한정)"
28,"일일 도전"
29,"작패유희"
30,"던전(홍련의 해방자)"
31,"던전(칠흑의 반역자)"
32,"토벌전(칠흑의 반역자)"
33,"고난도 토벌전(칠흑의 반역자)"
34,"일반 레이드(칠흑의 반역자)"
35,"영웅 레이드(칠흑의 반역자)"
36,"연합 레이드(칠흑의 반역자)"
37,"던전(효월의 종언)"
38,"토벌전(효월의 종언)"
39,"고난도 토벌전(효월의 종언)"
40,"일반 레이드(효월의 종언)"
41,"영웅 레이드(효월의 종언)"
42,"연합 레이드(효월의 종언)"
