key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,byte,byte,byte,str,str,str,str,str,str,str,str
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,3,0,0,0,0,0,0,"자네! 수확을 좀 도와주지 않겠나!서두르지 않으면 오포오포가 귀한 열매를 다 훔쳐갈 거야!","수확을 도와주시겠습니까?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ 이 돌발 임무의 권장 레벨은 <Value>IntegerParameter(1)</Value>입니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","부탁할게!","","그래…….그럼 다른 사람한테 부탁해야지 뭐.",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"열매를 가지고 왔나?","","","","고맙군!","","응? 아니라고?",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"열매를 모아서 가져와 줘!","","","","","","",""
7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"으으으, 약삭빠른 밀렵꾼 놈들!
놈들은 사냥감을 어딘가에 감추고 딱 잡아뗄 셈이야!","그래도 우리 귀곡부대 눈은 속일 수 없지!
이보게 모험가, 놈들이 밀렵한 증거를 모아야 하니
도와주게!","증거품을 모으시겠습니까?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ 이 돌발 임무의 권장 레벨은 <Value>IntegerParameter(1)</Value>입니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","좋아, 그럼 부탁하네!","","으음, 하는 수 없지…….
우리 힘으로 어떻게든 증거를 찾아보겠네!",""
8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"밀렵 증거품은 가지고 왔나?","","","","아주 잘했어! 혹시 또 발견하면 가져와 주게.","","그런가? 혹시 발견하면 바로 가져와 주게.",""
9,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"밀렵꾼이 발뺌할 수 없는 증거를 가져다주게!","","","","","","",""
10,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"고블린족 이놈들……
아무리 우리가 방심했다지만, 상품을 송두리째 훔쳐 가다니…….","거기 모험가!
망할 고블린족 놈들한테서
내 상품을 되찾아 와주겠나!?","상품을 되찾아오시겠습니까?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ 이 돌발 임무의 권장 레벨은 <Value>IntegerParameter(1)</Value>입니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","놈들한테 본때를 보여주라고!","","뭐? 쳇, 네 얼굴 기억했으니까 나중에 두고 보자!",""
11,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"오, 내 상품은 무사해?","","","","이거 말고 더 있을 거야!
전부 찾아와 줘!","","에잇, 주둥이만 놀리지 말고 손을 움직이라고!",""
12,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"고블린족한테 빼앗긴 상품을 찾아와 줘!","","","","","","",""
13,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"자네가 가진 그 돌덩어리……
나한테 넘겨주지 않겠나?","넘겨주시겠습니까?","","","흠…… 아주 좋은 돌이군.
혹시 또 발견하면 그것도 넘겨주게나.","","그런가? 그것 참 아쉽군.",""
14,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"골렘 몸을 이루는 석재……
내가 요즘 가장 눈여겨보는 물건이지.","혹시 발견하면 가져와 주게나.
기다리겠네.","","","","","",""
15,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"이 정도면 충분하겠지.","","","","","","",""
16,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"꽤 많이 모인 것 같군. 고맙네.","","","","","","",""
17,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"하나, 둘, 셋…… 그래, 이만큼 모은 게 어딘가.","","","","","","",""
18,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"좋은 돌이 모인 것 같군. 이걸로 만족했네.","","","","","","",""
19,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"……저, 저기, 잠깐 시간 괜찮으십니까?","다음 시험은 교관님하고 모의 전투를 치르는 건데
그, 조 단위로 움직이는 게 규칙입니다만, 저어……","지금 인원수가 안 맞아서……
같은 조에 들어올 사람을 찾는 중입니다만
혹시 생각 있으십니까……?","모의 전투에 함께하시겠습니까?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ 이 돌발 임무의 권장 레벨은 <Value>IntegerParameter(1)</Value>입니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","휴우……
왜 조 단위로 행동하라는 건지…….",""
20,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"이 근처의 나무 민달팽이가
꿀벌이 꿀 만들 때 쓰는 소중한 꽃을
마구 먹어치우고 있습니다.","요즘엔 수도 점점 늘어서
날마다 무리지어 나타나곤 하죠.
이제 슬슬 올 때가 된 것 같은데…….","모험가님, 어떻게든 해주시면 안 될까요?","처리를 도와주시겠습니까?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ 이 돌발 임무의 권장 레벨은 <Value>IntegerParameter(1)</Value>입니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","오, 역시 모험가님!
저기 보세요, 벌써 몰려오고 있어요!","","이러다간 벌꿀 수확량도 줄어들 겁니다…….",""
21,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"제발 나무 민달팽이를 물리쳐주세요!","","","","","","",""
22,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"이봐! 자네 모험가 맞지!?
나 좀 도와줘, 이제 더는 안 되겠어!","저 술버릇 고약한 '스펜서' 말이야.
술만 마시면 난폭해지는데 정말 손도 못 댈 지경이라니까.
술집에서 지켜야 할 규칙을 뻔히 아는 녀석이!","지금까지는 내가 몇 대 맞아주고 끝내려 했는데
더는 못 참겠어……!
부탁이야, 저 녀석한테 따끔한 맛을 보여줘!","부탁을 들어주시겠습니까?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ 이 돌발 임무의 권장 레벨은 <Value>IntegerParameter(1)</Value>입니다.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","뭐? 그, 그럴 수가…….",""
23,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"저 술주정뱅이를 어떻게 좀 해줘~!","","","","","","",""
24,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,3,0,0,0,0,0,0,0,"붉은둔덕 요새 안으로 들어가시겠습니까?","안으로 들어가시겠습니까?","","","","","",""
