#,Name,Description,Icon
0,아이템 없음,"경주 아이템을 소지하지 않은 상태.
보물상자에 닿으면 경주 아이템을 획득할 수 있다.",70101
1,초코 포션,전체 체력의 10%를 회복한다.,70102
2,체력의 약,"10초 동안 체력이 소모되지 않으며, 체력이 0일 경우에는 약간 회복된다.",70104
3,질주 신발,초코보가 전력 질주한다.,70105
4,초코 에테르,이미 사용한 기술 중 하나를 다시 사용할 수 있다.,70108
5,바커스의 물,자기 앞을 달리는 초코보를 광분 상태로 만든다.,70107
6,중력 구체,자기 앞을 달리는 초코보를 과중력 상태로 만든다.,70109
7,가시나무 씨앗,자신 주위에 가시나무를 생성하여 범위 안에 들어온 초코보의 체력을 소모시킨다.,70103
8,영웅의 약,"15초 동안 자기 초코보의 모든 능력이 상승하며, 모든 약화 효과를 무효화한다.",70106
9,초코 메테오,자기 앞을 달리는 모든 초코보에게 초코 메테오가 떨어진다.,70110
10,체력 교환,앞서 달리는 초코보 중 하나를 무작위로 선택하여 체력을 맞바꾼다. 이때 자신보다 체력이 적은 초코보는 대상에서 제외된다.,70111
11,거미줄,바로 뒤에 따라오는 초코보를 아이템 사용 불가 상태로 만든다.,70112
