#,Description,Unknown1,Level,Category
0,이 임무는 최신 또는 직전 업데이트의 던전을 2종류 이상 완료해야 합니다.,5,0,0
1,,8,0,0
2,,1,0,0
3,,1252,0,1
4,이 임무는 그리다니아의 부가 퀘스트로 딥 던전을 개방 및 완료한 후 크리스타리움의 부가 퀘스트를 진행해야 합니다.,1281,11875001,2
5,이 임무는 하나 위의 임무를 개방하고 대상 퀘스트를 완료해야 합니다.,1311,11875001,2
6,이 임무는 올드 샬레이안의 특수 던전 탐색 부가 퀘스트를 진행해야 합니다.,1315,0,3
7,이 임무는 하나 위의 임무를 완료하고 NPC에게서 개방해야 합니다.,1316,0,3
8,이 임무는 하나 위의 임무를 완료하고 NPC에게서 개방해야 합니다.,1317,0,3
9,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 레이드를 개방해야 합니다.,1320,0,4
10,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 레이드를 개방해야 합니다.,1322,0,4
11,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 레이드를 개방해야 합니다.,1324,0,4
12,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 레이드를 개방해야 합니다.,1326,0,4
13,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 NPC에게서 고난도 레이드를 개방해야 합니다.,1321,0,4
14,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 NPC에게서 고난도 레이드를 개방해야 합니다.,1323,0,4
15,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 NPC에게서 고난도 레이드를 개방해야 합니다.,1325,0,4
16,이 임무는 '황금의 유산' 연대기 퀘스트를 진행하여 NPC에게서 고난도 레이드를 개방해야 합니다.,1327,0,4
17,'황금의 유산' 주요 퀘스트를 진행하여 토벌전을 완료한 후 떠돌이 시인에게서 고난도 임무를 개방해야 합니다.,1308,0,5
18,,1187,0,6
19,,1188,0,6
20,,1189,0,6
21,,1190,0,6
22,,1191,0,6
23,,1192,0,6
