key,0,1,2
#,,,
int32,bit&01,str,str
0,True,"희생을 동반한 승리 1","전투불능인 사역마수가 3마리인 상태로 완료"
1,True,"희생을 동반한 승리 2","전투불능인 사역마수가 2마리인 상태로 완료"
2,True,"희생을 동반한 승리 3","전투불능인 사역마수가 1마리인 상태로 완료"
3,True,"희생 없는 승리","모든 사역마수가 생존한 상태로 완료"
4,True,"소수 정예 1","사역마수를 6~7마리 편성한 상태로 완료"
5,True,"소수 정예 2","사역마수를 4~5마리 편성한 상태로 완료"
6,True,"소수 정예 3","사역마수를 1~3마리 편성한 상태로 완료"
7,True,"온전한 승리[주]","플레이어의 HP가 100%인 상태로 완료"
8,True,"온전한 승리[종]","모든 사역마수의 HP가 100%인 상태로 완료"
9,False,"연계에 통달한 자 1","'만상유전' 5회 이상 성공"
10,False,"연계에 통달한 자 2","'만상유전' 10회 이상 성공"
11,False,"연계에 통달한 자 3","'만상유전' 15회 이상 성공"
12,True,"회피의 극의","'주는 피해량 감소'와 '받는 피해량 증가' 효과를 받지 않고 완료"
13,True,"맨몸","마수 장비를 획득하지 않고 완료"
14,True,"장비 상인","마수 장비를 10개 소지한 상태로 완료"
15,True,"절약가","시련장 아이템을 한 번도 사용하지 않고 완료"
16,True,"수집가","시련장 아이템을 10개 소지한 상태로 완료"
17,True,"배고픈 왕","사역마수에게 먹이를 주지 않고 완료"
18,True,"배부른 왕","사역마수에게 먹이를 20개 이상 준 상태로 완료"
19,True,"검약가","마수 동전을 소비하지 않고 완료"
20,True,"자산가","마수 동전을 2000개 이상 소지한 상태로 완료"
21,True,"강행군","야영지에서 휴식하지 않고 완료"
22,True,"백수강을 통솔하는 자","백수강 사역마수만 편성한 상태로 완료"
23,True,"백충강을 통솔하는 자","백충강 사역마수만 편성한 상태로 완료"
24,True,"유익강을 통솔하는 자","유익강 사역마수만 편성한 상태로 완료"
25,True,"초목강을 통솔하는 자","초목강 사역마수만 편성한 상태로 완료"
26,True,"수서강을 통솔하는 자","수서강 사역마수만 편성한 상태로 완료"
27,True,"갑린강을 통솔하는 자","갑린강 사역마수만 편성한 상태로 완료"
28,True,"주술강을 통솔하는 자","주술강 사역마수만 편성한 상태로 완료"
29,True,"시체강을 통솔하는 자","시체강 사역마수만 편성한 상태로 완료"
30,False,"짐승길 1","짐승길 1로 완료"
31,False,"짐승길 2","짐승길 2로 완료"
32,False,"짐승길 3","짐승길 3으로 완료"
