#,Name,Description,Icon
0,,,0
1,할로네,"빙하와 전쟁을 관장하는 여신이자 도시국가 이슈가르드의 수호신. 얼음속성 신력을 가지며 별빛1월의 운행을 담당한다.
파괴신 랄거의 딸이자 땅의 신 노피카의 숙적으로 여겨진다.
흔히 거대한 청동 방패를 든 늠름한 전사로 그려지며, 3자루의 창 문양으로 상징된다.",61601
2,메느피나,"두 개의 달과 자애를 관장하는 여신. 얼음속성 신력을 가지며 그림자1월의 운행을 담당한다.
태양신 아제마의 배다른 동생이자 산신 오쉬온의 연인으로 여겨진다.
흔히 평평한 냄비를 든 근면한 시녀로 그려지며, 두 개의 달 문양으로 상징된다.",61602
3,살리아크,"하천과 지식을 관장하는 남신이자 도시국가 샬레이안의 수호신. 물속성 신력을 가지며 별빛2월의 운행을 담당한다.
해신 리믈렌의 아버지이자 제작신 비레고의 스승으로 여겨진다.
흔히 물푸레나무 지팡이를 든 내성적인 학자로 그려지며, 두루마리 문양으로 상징된다.",61603
4,니메이아,"행성과 운명을 관장하는 여신. 물속성 신력을 가지며 그림자2월의 운행을 담당한다.
시간의 신 알디크의 동생이자 파괴신 랄거의 주인으로 여겨진다.
흔히 흰 면사포를 쓰고 베를 짜는 총명한 여인으로 그려지며, 물레 문양으로 상징된다.",61604
5,리믈렌,"바다와 항해를 관장하는 여신이자 도시국가 림사 로민사의 수호신. 바람속성 신력을 가지며 별빛3월의 운행을 담당한다.
강의 신 살리아크의 딸이자 땅의 신 노피카의 언니로 여겨진다.
흔히 긴 작살을 든 강건한 어부로 그려지며, 거친 파도 문양으로 상징된다.",61605
6,오쉬온,"산악과 방랑을 관장하는 남신. 바람속성 신력을 가지며 그림자3월의 운행을 담당한다.
상업신 날달의 의형제이자 전쟁신 할로네의 벗으로 여겨진다.
흔히 주목나무 활을 든 태평한 사냥꾼으로 그려지며, 등산용 지팡이 문양으로 상징된다.",61606
7,비레고,"건축과 공예를 관장하는 남신. 번개속성 신력을 가지며 별빛4월의 운행을 담당한다.
강의 신 살리아크의 제자이자 전쟁신 할로네의 오빠로 여겨진다.
흔히 망치머리가 두 개인 철망치를 든 성실한 대장장이로 그려지며 손가락 문양으로 상징된다.",61607
8,랄거,"혜성과 파괴를 관장하는 남신이자 도시국가 알라미고의 수호신. 번개속성 신력을 가지며 그림자4월의 운행을 담당한다.
별의 신 니메이아의 종이자, 제작신 비레고와 전쟁신 할로네의 양아버지로 여겨지고 있다.
흔히 황동 지팡이를 든 영리한 마법사로 그려지며, 별똥별 문양으로 상징된다.",61608
9,아제마,"태양과 재판을 관장하는 여신. 불속성 신력을 가지며 별빛5월의 운행을 담당한다.
시간신 알디크의 딸이자 사랑의 신 메느피나의 언니로 여겨진다.
흔히 황금 부채를 든 호쾌한 귀부인으로 그려지며, 태양 문양으로 상징된다.",61609
10,날달,"지하와 상업을 관장하는 남신이자 도시국가 울다하의 수호신. 불속성 신력을 가지며 그림자5월의 운행을 담당한다.
'날'과 '달'이라는 두 얼굴을 가진 쌍둥이 신으로 여겨진다.
흔히 천칭을 든 영민한 상인으로 그려지며, 조가비 화폐 문양으로 상징된다.",61610
11,노피카,"대지와 풍요를 관장하는 여신이자 도시국가 그리다니아의 수호신. 땅속성 신력을 가지며 별빛6월의 운행을 담당한다.
태양신 아제마의 딸이자 해신 리믈렌의 여동생으로 여겨진다.
흔히 강철 낫을 든 쾌활한 농부로 그려지며, 새싹 문양으로 상징된다.",61611
12,알디크,"중력과 시간을 관장하는 남신. 땅속성 신력을 가지며 그림자6월의 운행을 담당한다.
별의 신 니메이아의 오빠이자, 태양신 아제마와 달의 신 메느피나의 아버지로 여겨진다.
흔히 미스릴 도끼를 든 준엄한 제왕으로 그려지며, 모래시계 문양으로 상징된다.",61612
