key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,byte,uint32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str
0,0,0,0,"",0,"",0,0,1,0,0,"","",""
1,1,243001,98,"체력의 허리띠",0,"",0,0,1,0,0,"체력의 허리띠","최대 HP +20%","최대 HP 증가"
2,1,243002,35,"대역 반지",0,"",0,0,1,0,0,"대역 반지","특수 효과: 전투불능 시 사역마수를 희생해 플레이어가 되살아납니다. 사역마수를 소환했을 때만 효과가 발동합니다.","전투불능 시 사역마수를 희생해 생환"
3,1,243003,175,"치유의 반지",0,"",0,0,1,0,0,"치유의 반지","특수 효과: 전투 이벤트 종료 시 플레이어의 HP를 25% 회복합니다.","전투 이벤트 종료 시 HP 회복"
4,1,243004,35,"약사의 가방",0,"",0,0,1,0,0,"약사의 가방","특수 효과: 야영지에서 휴식 시 '마수 포션' 중 1개를 무작위로 획득합니다.","야영지 이벤트에서 마수 포션 획득"
5,1,243005,56,"주술 모자",0,"",0,0,1,0,0,"주술 모자","받는 마법 피해량 -10%","받는 마법 피해량 감소"
6,1,243006,63,"강철 갑옷",0,"",0,0,1,0,0,"강철 갑옷","받는 물리 피해량 -15%","받는 물리 피해량 감소"
7,1,243007,190,"야생의 왕관",0,"",0,0,1,0,0,"야생의 왕관","주는 물리 피해량 +10%
극대화 발동률 +3%
특수 효과: 이 마수 장비의 성능은 소환 중인 사역마수에게도 영향을 줍니다.","주는 물리 피해량 증가, 극대화 발동률 증가, 사역마수에게도 영향"
8,1,243008,190,"이성의 지팡이",0,"",0,0,1,0,0,"이성의 지팡이","주는 마법 피해량 +20%
특수 효과: 이 마수 장비의 성능은 소환 중인 사역마수에게도 영향을 줍니다.","주는 마법 피해량 증가, 사역마수에게도 영향"
9,1,243009,174,"힘의 손목띠",0,"",0,0,1,0,0,"힘의 손목띠","주는 물리 피해량 +12%
회피율 +3%","주는 물리 피해량 증가, 회피율 증가"
10,1,243010,84,"꼬아 만든 머리띠",0,"",0,0,1,0,0,"꼬아 만든 머리띠","주는 물리 피해량 +5%
받는 물리 피해량 -5%","주는 물리 피해량 증가, 받는 물리 피해량 감소"
