#,PlaceName,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7]
1179648,이벤트 1 방면,1,0,0,0,0,0,0,0
1179649,이벤트 2 방면,0,0,0,0,0,0,0,0
1179650,그리다니아,16,2,4,18,8,12,0,0
1179651,호손 일가의 산장,6,0,0,0,0,0,0,0
1179652,주점 '버스카론 맘대로',21,24,0,0,0,0,0,0
1179653,채석공방,10,25,23,0,0,0,0,0
1179654,고요한 야영지,14,20,22,108,0,0,0,0
1179655,숲언덕 공방,17,27,0,0,0,0,0,0
1179656,가을박 마을,19,26,94,0,0,0,0,0
1179657,굽은가지 목장,3,0,0,0,0,0,0,0
1179658,울다하,42,32,44,30,48,52,38,28
1179659,지평선 관문,33,36,34,0,0,0,0,0
1179660,저녁별 만,31,37,0,0,0,0,0,0
1179661,은 장터,29,35,0,0,0,0,0,0
1179662,검은솔 정류소,43,0,0,0,0,0,0,0
1179663,마른뼈 야영지,46,56,110,0,0,0,0,0
1179664,리틀 알라미고,50,58,0,0,0,0,0,0
1179665,잊힌 오아시스,54,59,0,0,0,0,0,0
1179666,푸른안개 야영지,40,60,0,0,0,0,0,0
1179667,금 장터,57,0,0,0,0,0,0,0
1179668,청린 정제소,61,0,0,0,0,0,0,0
1179669,림사 로민사,62,88,64,86,68,72,76,82
1179670,여름여울 농장,63,0,0,0,0,0,0,0
1179671,칼새횃대 개척지,66,93,0,0,0,0,0,0
1179672,맥주 항구,70,92,0,0,0,0,0,0
1179673,포도주 항구,74,0,0,0,0,0,0,0
1179674,청동호수 야영지,79,0,0,0,0,0,0,0
1179675,모라비 조선소,87,90,0,0,0,0,0,0
1179676,붉은수탉 농장,89,91,0,0,0,0,0,0
1179677,코스타 델 솔,84,0,0,0,0,0,0,0
1179678,（空き）,0,0,0,0,0,0,0,0
1179679,아도넬 점성대,98,0,0,0,0,0,0,0
1179680,용머리 전진기지,99,101,102,96,0,0,0,0
1179681,하얀테 전초지,100,0,0,0,0,0,0,0
1179682,망자의 종소리,104,106,0,0,0,0,0,0
1179683,성 코이나크 재단 조사지,107,0,0,0,0,0,0,0
1179684,이슈가르드 하층,140,0,0,0,0,0,0,0
1179685,매의 보금자리,141,112,114,0,0,0,0,0
1179686,성 피네아 연대 야영지,113,118,0,0,0,0,0,0
1179687,꼬리깃 마을,116,120,122,124,0,0,0,0
1179688,부정한 삼탑,123,128,0,0,0,0,0,0
1179689,유격수 야영지,126,130,0,0,0,0,0,0
1179690,모그모그 고향,132,134,0,0,0,0,0,0
1179691,아사 구름다리,135,136,0,0,0,0,0,0
1179692,하얀 궁전,137,133,0,0,0,0,0,0
1179693,오크 준두,138,0,0,0,0,0,0,0
1179694,구름마루 초소,139,0,0,0,0,0,0,0
1179695,랄거의 손길,145,148,151,152,0,0,0,0
1179696,카스트룸 오리엔스,146,155,0,0,0,0,0,0
1179697,굽어보는 바위,149,156,157,0,0,0,0,0
1179698,알라가나,143,161,163,0,0,0,0,0
1179699,알라기리,153,159,162,166,0,0,0,0
1179700,포르타 프라이토리아,165,168,169,0,0,0,0,0
1179701,알라미고인 거주구,170,0,0,0,0,0,0,0
1179702,쿠가네,171,174,0,0,0,0,0,0
1179703,오노코로 섬,172,177,179,195,0,0,0,0
1179704,푸른 물구슬,175,178,183,0,0,0,0,0
1179705,나마이 마을,181,185,187,0,0,0,0,0
1179706,열사암,188,189,201,0,0,0,0,0
1179707,재회시장,191,193,197,206,0,0,0,0
1179708,몰 일로,198,203,0,0,0,0,0,0
1179709,여명의 옥좌,199,205,204,0,0,0,0,0
1179710,톰라 마을,207,212,213,0,0,0,0,0
1179711,직공 마을,208,209,216,0,0,0,0,0
1179712,멈춘 물결,210,211,219,0,0,0,0,0
1179713,율모어,215,218,221,0,0,0,0,0
1179714,플라 엔니 버섯굴,222,224,0,0,0,0,0,0
1179715,볼레크도르프,223,227,0,0,0,0,0,0
1179716,리다 란,225,226,236,251,0,0,0,0
1179717,파노브 마을,229,0,0,0,0,0,0,0
1179718,똬리가지 마을,228,240,255,0,0,0,0,0
1179719,타래 마을,230,247,262,267,0,0,0,0
1179720,모르드 수크,231,265,0,0,0,0,0,0
1179721,크리스타리움,244,259,0,0,0,0,0,0
1179722,오스탈 엄명성,233,249,253,257,260,0,0,0
1179723,좁 요새,232,234,238,242,245,0,0,0
1179724,여행길 여관,264,266,0,0,0,0,0,0
1179725,라자한,288,291,294,0,0,0,0,0
1179726,예드리만,280,283,286,0,0,0,0,0
1179727,데미르의 유열향,281,285,289,0,0,0,0,0
1179728,팔라카 마을,282,284,292,0,0,0,0,0
1179729,깨진 유리 전초지,295,0,0,0,0,0,0,0
1179730,테르티움 역,296,0,0,0,0,0,0,0
1179731,기교의 강당,305,308,311,0,0,0,0,0
1179732,아르케이온 보관원,297,301,303,0,0,0,0,0
1179733,리틀 샬레이안,298,299,306,0,0,0,0,0
1179734,아포리아 본부,302,300,309,0,0,0,0,0
1179735,툴라이욜라,312,315,0,0,0,0,0,0
1179736,와춘 펠로,313,318,0,0,0,0,0,0
1179737,워라의 잔향,319,0,0,0,0,0,0,0
1179738,오크 하누,316,320,322,0,0,0,0,0
1179739,동무의 등불,321,324,0,0,0,0,0,0
1179740,어슨샤이어,323,325,0,0,0,0,0,0
